questions,option_A,option_B,option_C,option_D,correct_answer
"Antes de realizar un procedimiento en la toma del PAP, como por ejemplo colocar el espéculo; debo solicitar la 
autorización del mismo y explicar los beneficios del procedimiento. ¿En qué documento debe quedar la evidencia?",Consentimiento informado,Libro de reportes,Ficha de vigilancia,Registro de atención,A
"El médico responsable del CS Lince ha sido designado a realizar la intervención para el control de brechas designando 
equipos con los médicos de guardia, estableciendo responsables y objetivos por día para el cumplimiento de la meta 
designada. ¿Qué herramienta técnica está aplicando?",Plan local de salud,Asignación de personal,Plan operativo institucional,ASIS,A
Para realizar una refracción objetiva a una distancia de 50 cm. ¿Qué poder de lente se requiere?,- 1.00 D,+2.00 D,+1.50 D,+2.50 D,B
"En una localidad, el agente comunitario del EESS, realiza visitas domiciliarias a los recién nacidos, para brindar 
orientación con respecto a la lactancia materna exclusiva. Esta acción fortalece la:",Tasa de natalidad,Prevención secundaria,Transición epidemiológica,Participación comunitaria,D
"Las Redes Integradas de Salud (RIS) cuentan con población y territorio definido, según el modelo de la RIS. Este atributo 
corresponde a la dimensión:",Prestación,Gestión,Gobernanza,Financiamiento,A
"El centro de salud donde realiza su SERUMS ha registrado varios casos de leucemia infantil en los últimos años, por lo 
que tiene interés de investigar los factores asociados. ¿Qué tipo de estudio será el más conveniente?",Descriptivo,Cohortes prospectiva,Ensayo clínico,Casos y controles,D
"Con el objetivo de brindar una mejor calidad de servicio, las instituciones de salud realizan diversas implementaciones 
para impulsar sus productos y/o servicios a través de estándares internacionales como las ISO. ¿A qué corresponde este 
proceso?",Sistema control,Programa operativo,Mejora continua,Plan estratégico,C
"Al asumir la responsabilidad de su servicio, encuentra como línea base una gran cantidad de problemas a resolver, para 
destinar los recursos disponibles de manera racional y eficiente, debe priorizar los problemas raíz. Bajo el supuesto que 
el 20% de las causas genera el 80% de los problemas. ¿Qué herramienta de gestión debe elegir para establecer la 
priorización?",Rueda de Deming,Diagrama de Ichikawa,Análisis FODA,Diagrama de Paretto,D
"Dentro de los factores de riesgo de un paciente obeso que sigue un plan nutricional, el desequilibrio o circunstancias de 
alteración puede dar la probabilidad de padecer la enfermedad. ¿Cómo se denomina a este fenómeno?",Enfermedad transmisible,Enfermedad no transmisible,Proceso mórbido,Interacción negativo,D
"La investigación ...... permite identificar problemas, describir sus características, desarrollar conceptos y describir su punto 
de intervención mientras que, la investigación ...... añade nuevos datos a fenómenos previamente explorados, utilizando 
marcos de referencia concretos y centrándose en problemas específicos.",experimental-correlacional,cualitativa-correlacional,cuantitativa-correlacional,cualitativa-cuantitativa,D
"En su establecimiento de salud se ha verificado problemas en la segregación de  residuos contaminados por la  falta de 
recipientes, 
utilizando tachos 
de 
residuos 
generales 
lo que 
constituye 
un 
problema 
dentro 
de 
los 
factores ambientales  ocasionando ...",calidad sanitaria.,contaminación atmosférica.,riesgos laborales.,riesgos higiénicos.,C
"En un establecimiento de salud I-4, el personal de salud realiza campaña ecográfica y detecta a tiempo litiasis vesicular 
en la población, según la historia natural de la enfermedad. ¿En qué etapa de prevención se ha intervenido?",Primaria,Primordial,Terciaria,Secundaria,D
¿Indique los rangos de los valores normales de la presión intraocular en mmHg?,0 a 10,12 a 22,10 a 21,0 a 7,C
