questions,option_A,option_B,option_C,option_D,correct_answer
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Confirmado sin signos de alarma,Probable con signos de alarma,Hemorrágico con signos de alarma,Grave,B
"Debido a que se observaron muchos casos de suicidios en adolescentes en la comunidad donde usted labora, le encargan 
realizar un estudio descriptivo sobre la depresión en adolescentes en su comunidad ¿Cuál será la principal limitante del 
estudio?",Sus resultados no serán extrapolables,No permitirá hallar asociación de variables,Demandará costos económicos muy elevados,El análisis estadístico será muy complejo,B
"La ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el 
derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios debe cumplir en la atención a la población 
objetivo?","Solidaridad, orden, deber y derecho","Fraternidad, moral, deber y orden","Orden, fraternidad, moral y derecho","Orden, moral, deber y derecho",D
"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",Al alta de los pacientes,Hasta las 48 horas,Cuando se reporta el VEA de la semana,De manera inmediata,D
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",controlar o mantener,restringir o acortar,atenuar o eliminar,diferir o mitigar,C
"Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no 
respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?",Consejería,Queja,Sugerencia,Consulta,B
"Un servidor público, brinda información de un diagnóstico médico, a personas de la comunidad. ¿Qué principio ético 
está vulnerando?",Seguridad,Individualidad,Confidencialidad,Respeto,C
"El personal T.M. realiza una atención de rehabilitación en domicilio como parte de la estrategia de RBC, a una niña de 3 años 
con diagnóstico de parálisis cerebral, la madre refiere que nunca antes recibió atención médica ni educativa, ya que no cuenta 
con seguro médico ni con medios económicos. ¿Quién detecta a las personas con discapacidad en la comunidad?",Coordinador de RBC,Jefe del servicio de terapia,Responsable de OMAPED,Agente comunitario,D
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Comisión de ética,Deontología,Moral,Responsabilidad,B
"Dentro de las intervenciones de promoción de la salud. El programa “Familia Saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.",soporte,análisis,intervención,riesgo,C
"Varón de 58 años acude al servicio de terapia ocupacional con una hemiparesia derecha, asimetría corporal, dificultad para 
comunicarse y realizar las actividades básicas de la vida diaria, se mostró ansioso, sobre todo por la dependencia hacia otra 
persona. ¿Qué tipo de evaluación se realiza para objetivar su desempeño en las ABVD?",Escala de SMAF,Índice de Lawton,Índice de Barthel,Test de PFEIFFER,C
Según Kielhofner. ¿Cuáles son las tres áreas de la ocupación humana?,"AIVD, trabajo y roles","Desempeño, ocupación y trabajo","Contexto cultural, hábitos y roles","AVD, juego y productividad",D
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",instrumento de gestión,herramienta de articulación,instrumento de articulación,herramienta de gestión,A
"La pertinencia cultural en los servicios de salud implica que durante todo el proceso de la atención se tome en cuenta las 
características de la población a la que se atiende, en función a su cultura y contexto social. Evaluando cuatro dimensiones: 
gestión para la calidad de la atención, revaloración del sistema de salud tradicional, recursos humanos que promueven la 
salud intercultural y la …",interculturalidad en salud.,atención intercultural.,inclusión social.,participación ciudadana.,D
"En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?",Deben estar calibrados,Dependientes del sistema de monitoreo,Áreas con poca variabilidad en temperatura,Con exactitud de aproximadamente 0.3°C,A
"En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?",Matriz de consistencia,Matriz de operacionalización,Lista de verificación,Revisión de Turnitin,A
"Personal de serenazgo, lleva al centro de salud a un paciente adulto mayor con problemas de salud y sin familiares, 
presenta indigencia y sin documentos. ¿Qué derecho se le atribuye?",Acceso a servicios de salud,Consentimiento informado,Recuperación,Acceso a la información,A
"Usted desea motivar a su personal de salud para realizar una investigación científica sobe la anemia infantil en su comunidad, 
para ello les dice que el principal propósito de la investigación científica es...",captar inversiones en salud.,mejorar la gestión de la salud.,generar conocimiento científico útil.,consolidar el trabajo en equipo.,C
"Es parte integrante tanto del Sistema Nacional de Salud, del que constituye la función central y el núcleo principal, como del 
desarrollo social y económico global de la comunidad. ¿A qué corresponde esta definición?",Salud pública,Salud integral,Atención temprana de la salud,MINSA,C
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Marco teórico,Resultados,Metodología,Introducción,C
"Niño de 6 años con espectro autista, presenta tono postural bajo, torpe, rompe los juguetes fácilmente, muerde a los 
compañeros en el salón de clases, busca saltar constantemente. ¿Qué tipo de disfunción sensorial presenta?",Hiperrespuesta,Registro sensorial,Planificación motriz,Hiporrespuesta,D
"Todos los años en el mes abril por la semana de vacunación en las Américas, se realizan campañas de vacunación. ¿Cuál 
es la finalidad?",Prevenir enfermedades dentro del territorio nacional,Posicionar a la vacunación en la comunidad como un derecho,Implementar políticas públicas a través del MINSA en la comunidad,Obligar a las instituciones de salud según nivel de responsabilidad a gastar,B
"Varón de 17 años con artritis reumatoide juvenil, se realiza una valoración funcional, social, del entorno y psíquica, en la 
intervención de terapia ocupacional se realizó adaptaciones de la vivienda, ayudas técnicas y adaptación del puesto de estudio 
con el fin de mejorar su...",ergonomía.,rehabiltación laboral.,inserción laboral.,orientación vocacional.,A
"Como parte de la prevención y control de infecciones durante la atención los centros de salud deben realizar programas 
educativos; los cuales tienen el objetivo de:",Orientación y capacitación,Desinfección y esterilización,Aprendizaje y enseñanza,Prevención y control,A
"Mujer de 32 años, con discapacidad motora moderada, labora en un centro de salud, fue contratada como parte de la cuota 
de empleo de personas con discapacidad, según la Ley 29973, su empleador no cumple con realizar la adaptación de las 
herramientas, las maquinarias y el entorno de trabajo según sus necesidades. ¿Qué debe exigir?",Infraestructura adaptada,Modificaciones razonables,Ayudas técnicas,Ajustes razonables,D
"Se reportan 2 casos de peste en el hospital y se ha restringido el ingreso. Los casos son de la comunidad y no se sabe si hay 
más casos. ¿Cuál es la medida inicial a tomar?",Ordenamiento ambiental,Medidas de control químico de pulgas,Medidas de bioseguridad e identificar las casas de infectados,Control de roedores,C
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",La aparición de enfermedades epidémicas,El surgimiento de nuevas enfermedades,Las crisis psicosociales,El aumento en la incidencia de enfermedades,D
"Milena, una obstetra serumista coloca una ampolla intramuscular de metamizol a una gestante que viene con fiebre, minutos 
después siente mareos, náuseas y se observa en la zona de aplicación un rash; por tanto ella debe consignar en la historia 
clínica de manera obligatoria las sospechas de reacciones adversas, reportarlas en el formato correspondiente y remitirlo al 
comité de ...... y tecnovigilancia de la IPRESS en los plazos correspondientes.",farmacovigilancia,auditoría externa,control interno,auditoría interna,A
"Son objetivos esenciales para una atención como cobertura universal, servicios centrados en las personas, políticas públicas 
saludables y liderazgo. ¿A qué pertenecen?",MINSA,Salud integral,Atención primaria de la salud,Salud pública,C
¿Cuáles son los principales ejes estratégicos que garantizan el éxito de la participación comunitaria en la planeación en salud?,La actitud política y el esfuerzo de la administración local,"El abordaje territorial, espacios participativos y la familia como base",Los cambios en la realidad económico-social y ordenanzas municipales,La participación comunitaria y escuelas saludables,B
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Interculturalidad en salud,Población indígena,Cultura,Salud pública,A
"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?",Externa,Regular,Dirimente,De caso,D
"Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de 
las enfermedades...",infecciosas / prevalentes.,degenerativas / infecciosas.,infecciosas / crónicas.,crónicas / infecciosas.,C
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.",proporción / frecuencia,virulencia / frecuencia,casos antiguos / casos nuevos,velocidad / magnitud,D
Respecto a la recuperación de TB. ¿Qué acciones realizan los establecimientos de primer nivel?,Consulta ambulatoria por médico especialista,"Detección, diagnóstico y tratamiento de casos de TB",Atención de urgencias y emergencias,Hospitalización según capacidad resolutiva y necesidad,B
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-1,I-4,I-2,I-3,C
"La vacuna contra el virus del papiloma humano (VPH) a niños y niñas desde los nueve años hasta los dieciocho años, según 
el esquema nacional de vacunación vigente, con el fin de disminuir la incidencia de cáncer de cuello uterino, además de otros 
tipos de cáncer asociados al VPH y verrugas genitales. ¿Qué tipo de prevención es?",Cuaternaria,Primaria,Primordial,Secundaria,B
"Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el 
establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo 
procedes ante este caso?",Constatar con la policía y autoridad comunal,Solicitar presidente de la comunidad que intervenga,Discrepas con su decisión porque no es correcto,"Llegas a un acuerdo en la terapia del niño, respetando sus creencias",D
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:",Fortalezas,Estrategias,Amenazas,Oportunidades,A
"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como 
profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Denegarle la atención,Enviarla a otro establecimiento,Persuadir su deseo,Respetar su pedido,D
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Básicos,Comunes,Esenciales,Genéricos,C
"Este programa pretende intervenir en el comportamiento ocupacional del niño dentro y fuera del colegio, apoyando a la 
comunidad educativa y a las familias. ¿A qué postulado pertenece?",Habilidades y relaciones sociales,Ocio y tiempo libre,Cuidando la mente,Apoyo escolar,D
"En su comunidad observa con mucha frecuencia casos de alcoholismo en varones y también violencia física de ellos contra 
sus esposas, para investigar en el menor tiempo posible, si hay asociación entre el alcoholismo y la violencia familiar. ¿Qué 
diseño de estudio elegirá?",Cuasi experimental,Descriptivo,Cohortes,Analítico,D
"En pro de la salud y el desarrollo social entre los diferentes actores, en los distintos niveles de gobierno y de la sociedad, lo 
primero que se debe fortalecer son las...",decisiones multisectoriales.,alianzas estratégicas.,coordinaciones intersectoriales.,capacidades de gestión.,B
"En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",no necesaria pero suficiente.,necesaria y suficiente.,de tipo ambiental.,necesaria pero no suficiente.,D
"Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer 
una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?",Definir sus instrumentos de medición,Elaborar su pregunta de investigación,Revisar literatura científica sobre el tema,Elegir los objetivos de estudio,C
"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario 
según normativa?",Depósito y lavado de carros,Área de internamiento,Zona de almacenamiento de residuos contaminados,Zona de selección de residuos sólidos,D
