questions,option_A,option_B,option_C,option_D,correct_answer
"En los establecimientos de salud categoría I-4 cuenta como mínimo para la atención ambulatoria e internamiento 
con capacidad resolutiva con las UPSS de consulta externa, ....... y farmacia.",nutrición,central de esterilización,patología clínica,hospitalización,C
"La cosmovisión es la manera colectiva de ver e interpretar el mundo que comprende el entendimiento que cada 
cultura tiene de la vida y del orden de las cosas que la rodean. En este contexto es importante que el personal...",eduque a la población sobre los riesgos de la medicina tradicional y popular.,realice sesiones educativas en idioma originario o con traductor.,"conozca, valore y comprenda las prácticas y actitudes que componen la medicina tradicional y popular.",implemente mecanismos holísticos que favorezcan las metas institucionales.,C
"Los pueblos indígenas tienen derecho a establecer y controlar sus sistemas e instituciones docentes que impartan 
educación en sus propios idiomas, en consonancia con sus métodos culturales de enseñanza y aprendizaje. Por 
tanto, tienen derecho a todos los niveles y formas de educación del estado sin:",Comprensión,Diversidad,Tolerancia,Discriminación,D
"Se ha confirmado un caso de rabia canina en su jurisdicción, usted ha programado una sesión informativa a la 
población para que reconozca a un perro sospechoso de rabia, que consiste en: cambio de conducta, agresivo, se 
esconde en lugares oscuros, intranquilidad, sialorrea, alteración del ladrido y tiende a fugar de su domicilio, 
finalmente parálisis de las extremidades posteriores y muerte. ¿Cuánto es el tiempo de enfermedad en días?",30,12,15,<=10,D
"Mujer de 56 años, viene al establecimiento de salud, refiere preocupación porque está subiendo de peso en los 
últimos 3 meses. Hace 6 meses menopáusica con tratamiento no hormonal. ¿Sobre la prevención o control de qué 
riesgo debe orientarla?",De obesidad,De ACV,De depresión,De insuficiencia renal,A
"La participación de la comunidad en la campaña de vacunación antirrábica canina que se realiza cada año es 
primordial para lograr la meta a vacunar, que es como mínimo, el 80% de la población canina...",estimada.,censada.,con dueño.,abandonada.,A
"¿Cuál es la enfermedad zoonótica relacionada al acceso a saneamiento básico, se contagia a través del contacto 
con la orina de animales infectados o agua contaminada y su prevención a través de la protección de fuentes de 
agua, disposición adecuada de basuras y excretas, control de roedores y protección personal?",Leptospirosis,Peste,Carbunco,Tifus,A
"¿Cuál es la función esencial de salud pública que corresponde a la prevención primaria y está orientada a contribuir 
a la reducción del riesgo de enfermar por enfermedades zoonóticas?",Vigilancia epidemiológica,Gestión de medicamentos,Gobernanza y rectoría,Promoción de la salud,D
"Varón acude al establecimiento I–2 y solicita al jefe del PS información acerca del tratamiento que su señora esposa 
se realiza en planificación familiar todos los meses, está muy alterado. El jefe del establecimiento informa que debe 
guardar reserva respecto a la información referente a su esposa. ¿Qué deber del servidor público se está aplicando 
en este caso?",Discreción,Transparencia,Neutralidad,Responsabilidad,A
"¿Cuál es la mayor dificultad que afrontan los estados en lo concerniente a cuestiones normativas relacionadas con 
la práctica de la medicina tradicional y complementaria?",Falta de mecanismos para controlar y reglamentar publicidad,Falta de apoyo financiero a la investigación,Falta de control y reglamentación a productos herbarios,Falta de datos de investigación,D
"Los establecimientos de salud antes de iniciar el proceso de categorización, deben haber comunicado, dentro del 
plazo de treinta (30) días, el inicio de actividades a la Autoridad Sanitaria Regional o Dirección de Salud de Lima 
Metropolitana, según corresponda y encontrarse registrados en:",Registro municipal de establecimientos de salud,Registro nacional de establecimientos de salud y servicios médicos de apoyo,Ministerio de salud,Registro de la unidad productora de servicios de salud,B
Se considera un principio de los deberes del ciudadano en el sistema de salud:,Responsabilidad social,Universalidad,Responsabilidad ciudadana,Equidad,C
"Son las intervenciones basadas en evidencias derivadas de la investigación sistemática orientadas a la promoción, 
prevención, curación y rehabilitación en el curso de vida de las personas. Esta definición corresponde a:",Continuidad del cuidado,Paquete de atención,Integralidad,Cuidado integral de salud,D
"El programa de mejora continua es un proceso ...... y sistemático dirigido a obtener un rendimiento mayor de un 
proceso, aumentar la ...… de un servicio o disminuir el costo de obtención de actividades que ya se desarrollan de 
forma habitual.",proyectado / demanda,continuo / producción,estructurado / calidad,planificado / oferta,C
