questions,option_A,option_B,option_C,option_D,correct_answer
"A todo recién nacido expuesto a VIH se debe realizar obligatoriamente la prueba de reacción de cadena polimerasa 
(PCR-ADN-VIH-1) al primer y ...... mes de edad, con el fin de conocer su condición de infectado por el VIH.",tercer,segundo,quinto,cuarto,A
"La FESP que incluye la infraestructura de salud pública diseñada para conducir la realización de tamizajes 
poblacionales, detección de casos e investigación epidemiológica en general. ¿A qué función esencial 
corresponde?",2,5,3,1,A
"¿Cuál es la mayor dificultad que afrontan los estados en lo concerniente a cuestiones normativas relacionadas con 
la práctica de la medicina tradicional y complementaria?",Falta de control y reglamentación a productos herbarios,Falta de datos de investigación,Falta de mecanismos para controlar y reglamentar publicidad,Falta de apoyo financiero a la investigación,B
"Para ofrecer ...... en el acceso a la Atención Primaria significa que se deben abordar sistemáticamente las barreras 
económicas, geográficas, culturales y actitudinales.",calidad,interculturalidad,derechos,equidad,D
La recolección de datos en una investigación cuantitativa se caracteriza por:,Uso del diario de campo y toma de notas,Observación participativa y no participativa,Recolección de documentos y entrevistas,Test estandarizados con buenos niveles de validez y confiabilidad,D
"En los años 50 una fábrica de Minamata en Japón vertía sus residuos por sus cañería a una pequeña bahía, lo cual 
se acumuló en la fauna marina, lo que provocó envenenamiento grave de las personas que comían pescado de 
esta zona. Este fue un caso de intoxicación por:",Litio,Azufre,Mercurio,Cobre,C
La investigación cualitativa se caracteriza por ser:,Subjetiva,Objetiva,Descriptiva,Definitiva,A
"El …... de los equipos es uno de los factores que influyen decisivamente en la mejora de la calidad asistencial y en 
los resultados sobre la salud de la población.",liderazgo,coordinador,responsable,jefe,A
"Acude a la consulta mujer de 15 años, se le realiza examen genital y evidencio órgano impar macizo y eréctil, que 
se compone de dos cuerpos cavernosos, cuyo glande se encuentra cubierto por un repliegue de piel denominado 
prepucio. ¿A qué estructura anatómica se refiere?",Clítoris,Vestíbulo,Cuerpo cavernoso,Uretra,A
"En el enunciado: “Son ideas, cualidades y expectativas que la sociedad atribuye a mujeres y 
hombres, representaciones simbólicas que pretenden justificar lo que mujeres y hombres deberían ser y 
sentir; ideas excluyentes entre si que al asignarnos reafirman un modelo de femineidad y masculinidad” 
corresponde a:",Prototipo de género,Estereotipos de género,Enfoque intercultural,Intimidad de género,B
