questions,option_A,option_B,option_C,option_D,correct_answer
"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?",Dirimente,Regular,Externa,De caso,D
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",instrumento de articulación,instrumento de gestión,herramienta de gestión,herramienta de articulación,B
"Son las actividades realizadas por las personas para promover, mantener y tratar su salud y cuidar de sí mismas, así como 
participar en las decisiones sobre su salud, incluyendo el conocimiento de su condición de salud, hablamos de…",autocuidado.,círculo del adulto mayor.,cuidado integral de la salud.,cuidados esenciales.,A
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Comisión de ética,Moral,Responsabilidad,Deontología,D
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Confirmado sin signos de alarma,Hemorrágico con signos de alarma,Grave,Probable con signos de alarma,D
"Las áreas de almacenamiento de productos farmacéuticos y dispositivos médicos termo-sensibles deben mantener las 
condiciones de almacenamiento que se declaran en los rotulados del producto, para que el producto sea refrigerado. ¿Cuál 
es el rango de temperatura necesario?",-2° a -6° C,2° a 8° C,2° a 12° C,- 2° a - 8° C,B
"El personal de un establecimiento de salud desea saber lo que debe desarrollar prioritariamente. ¿Qué componente debe 
conocer para orientar sus objetivos estratégicos?",FODA,Visión,Misión,Valores,C
"¿Cuál es un objetivo esencial de los sistemas sanitarios para conseguir una atención de salud en la población basado en 
atención primaria?",Enfoque de género,Políticas sociales en población vulnerable,Accesibilidad al sistema de salud,Servicios centrados en las personas,D
Una dieta adecuada para personas con diabetes mellitus II en primer nivel de atención es aquella que considera:,"Desayuno, almuerzo, media tarde y cena","Desayuno, almuerzo y cena","Desayuno, media mañana, almuerzo, media tarde y cena","Desayuno, media mañana, almuerzo y cena",C
¿Cuál es el instrumento de gestión que orienta la necesidad de recursos para implementar la estrategia institucional?,PAC,POI,PIA,PEI,B
"Paciente varón de 45 años con Dx TB pulmonar acude a consultorio nutrición con Dx de malnutrición por déficit asociado a 
deficiencia de hierro, debido a baja ingesta alimentaria. Se le brinda seguimiento nutricional mensual para evaluar 
antropometría e ingesta. ¿Qué tipo de actividades se vienen aplicando?",Valoración integral nutricional,Investigación de factores de riesgo,Evaluación y vigilancia del estado nutricional,Valoración de la ingesta alimentaria,C
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",diferir o mitigar,restringir o acortar,controlar o mantener,atenuar o eliminar,D
"En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",necesaria y suficiente.,de tipo ambiental.,no necesaria pero suficiente.,necesaria pero no suficiente.,D
Ante la presencia de un caso probable de Tos Ferina. ¿Cuáles son las medidas a implementar?,"Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal","Censo de contactos, barrido vacunal, investigación del caso índice","Jornada de vacunación, quimioprofilaxis, búsqueda  de contactos indirectos",B
"Dentro del parámetro recomendado para valorar el grado de obesidad en el adulto. ¿Cuál es el IMC considerado como 
obesidad tipo II?",30-44.9,40-49.9,25-39.9,35-39.9,D
"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la 
literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Revisión sistemática,Carta al editor,Artículo original,Reporte de caso,A
"En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?",Deben estar calibrados,Con exactitud de aproximadamente 0.3°C,Áreas con poca variabilidad en temperatura,Dependientes del sistema de monitoreo,A
"La persona adulta con normopeso cuyo IMC se encuentra entre 18.5 a 24.9 se le prescribe un plan alimentario normocalórico. 
¿Cuál es la recomendación en Kcal/Kg/día?",25 a 29,30 a 36,30 a 35,32 a 36,C
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.",virulencia / frecuencia,velocidad / magnitud,casos antiguos / casos nuevos,proporción / frecuencia,B
"Gestante primigesta nueva de 28 años, acude por segundo control obstétrico con resultados de laboratorio: Hb: 13 mg/dl, 
orina sin alteraciones, PA: 100/80 mmHg y evaluación adecuada de peso gestacional; cuenta con SIS. ¿Qué otros 
procedimientos en las atenciones prenatales seguirían?",Informar efectos nocivos en el feto,Informar si presenta signos de alarma,Suplementación hierro a partir semana 18,Control del crecimiento fetal intrauterino,D
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Falso positivo,Valor predictivo positivo,Falso negativo,Sensibilidad ineficiente,C
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",La aparición de enfermedades epidémicas,El surgimiento de nuevas enfermedades,El aumento en la incidencia de enfermedades,Las crisis psicosociales,C
"En referencia al cuidado integral de salud de las personas adultas mayores en el primer nivel de atención. ¿Qué tipo de 
indicador se usa para identificar adulto mayor en riesgo o malnutrición?",Composición corporal,Perfil proteico,Medidas antropométricas,Dietéticas,C
"¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, 
creencias, conductas y normas?",Principios institucionales,Clima organizacional,Cultura organizacional,Valores institucionales,C
"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.",Teleconsulta,Telemonitoreo,Teleinterconsulta,Teleorientación,D
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Resultados,Marco teórico,Introducción,Metodología,D
