questions,option_A,option_B,option_C,option_D,correct_answer
"El monitoreo del tratamiento de la TB sensible es en base a evaluaciones clínicas y exámenes auxiliares. Un paciente acude 
a un centro de atención primaria. ¿Qué examen se le hace como control mensual?",Rx tórax frontal (A-P),Examen espirometría,Exámenes de sangre,Baciloscopía,D
"Paciente acude al centro de salud por dolor en la región lumbar con presencia de ligero sangrado en la orina, con sospecha 
de cálculos renales. ¿Qué estudio radiológico realiza?",Rx abdomen simple decúbito (A-P),Rx abdomen simple de pie (P-A),Tomografía axial computarizada de abdomen,Rx de abdomen (A-P) tangencial,A
"Un servidor público, brinda información de un diagnóstico médico, a personas de la comunidad. ¿Qué principio ético 
está vulnerando?",Respeto,Individualidad,Confidencialidad,Seguridad,C
"Considerando los fundamentos de la protección radiológica. ¿Qué aplica usted para minimizar los riesgos de los efectos 
secundarios de las radiaciones ionizantes?","Distancia, tiempo y blindaje","Distancia, Kv y blindaje","Distancia, tiempo y Kv","Kv, blindaje y tiempo",A
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.",DIGESA,CENARES,DIGEMID,CENSOPAS,C
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-4,I-1,I-3,I-2,D
"En un establecimiento de salud que tiene bajos indicadores de desempeño, se desea realizar un concepto compartido para 
un futuro mejor, pues cada quien tiene una idea diferente de lo que se quiere lograr. ¿Qué componente estratégico se debe 
plantear entre todos?",Visión,Misión,FODA,Valores,A
"Para investigar la relación entre la anemia y la talla de niños de 5° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y talla a todos ellos. ¿Qué enfoque de investigación está realizando?",Cuantitativo,Mixto,Cualitativo,Observacional,A
"En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?",Matriz de consistencia,Matriz de operacionalización,Lista de verificación,Revisión de Turnitin,A
"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.",Teleconsulta,Telemonitoreo,Teleinterconsulta,Teleorientación,D
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Salud pública,Cultura,Interculturalidad en salud,Población indígena,C
"Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?",Desarrollo de recursos humanos para la salud,Financiamiento de la salud eficiente y equitativo,Acceso equitativo a servicios de salud integrales y de calidad,Asegurar el acceso y el uso racional de medicamentos,C
"Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...",incluye los procedimientos del proceso de la práctica «centinela».,usa mediciones sistemáticas.,usan datos específicos de información adicional.,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,D
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",controlar o mantener,restringir o acortar,diferir o mitigar,atenuar o eliminar,D
"Un paciente después de haberse realizado un estudio radiográfico de tórax en un centro de atención primaria. ¿Qué dosis 
está relacionada a los efectos biológicos?",Remanente,Equitativa,Superficial,Absorbida,D
"Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?",Estructural,Comercial,Intermedio,Económico,A
"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como 
profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Respetar su pedido,Enviarla a otro establecimiento,Persuadir su deseo,Denegarle la atención,A
"Cuando el tecnólogo médico examina una radiografía que reproduce fielmente las estructuras y los tejidos, evaluando la 
resolución, el ruido y la velocidad. ¿Con qué se interrelacionan estas características?",Calidad radiográfica,Garantía de Calidad,Nitidez,Contraste,A
"¿Cuál es la medida de tendencia central que se interpreta como el promedio de los datos, y se construye con la suma de 
todos los datos observados entre el total de observaciones?",Media,Moda,Rango,Mediana,A
"Paciente varón sufre accidente automovilístico y presenta el síndrome del latigazo en la región cervical, es llevado a su centro 
de salud. Para el diagnóstico de fractura y/o luxación. ¿Qué estudio radiológico realiza?","Rx columna cervical lateral, proyecciones odontoides y oblicuas",Rx columna cervical frontal (A-P ) y oblicuas,Rx columna cervical frontal (A-P) y lateral,"Rx columna cervical frontal (A-P), lateral y proyección odontoides",D
"En un estudio sobre la depresión en adolescentes en su comunidad, aplica un instrumento de detección de depresión en 
estudiantes de 5° año de secundaria de un colegio cercano al establecimiento. ¿Qué tipo de muestreo está realizando?",Estadístico,No probabilístico,Probabilístico,Censal,B
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Mejorar el proceso de atención sanitaria en EESS,Medidas de mejora en el EESS,Informar a los familiares,Notificarlo al nivel inmediato superior,D
"Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el 
establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo 
procedes ante este caso?","Llegas a un acuerdo en la terapia del niño, respetando sus creencias",Solicitar presidente de la comunidad que intervenga,Discrepas con su decisión porque no es correcto,Constatar con la policía y autoridad comunal,A
"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad, está cometiendo actos en contra 
de:",Responsabilidad,Justicia,Beneficencia,Ética,D
