questions,option_A,option_B,option_C,option_D,correct_answer
"La muerte obstétrica que resulta o deriva de enfermedad previamente existente o enfermedad que apareció durante 
el embarazo y que no fue debida a causas obstétricas, pero agravada por los cambios fisiológicos. ¿Qué tipo de 
muerte materna es?",Indirecta,Tardía,Temprana,Incidental,A
"En un establecimiento de salud de Yurimaguas se han reunido todos los profesionales de salud y han desarrollado 
su análisis FODA. Dentro de su análisis la mejora al acceso digital y mayor conectividad en esta zona rural se 
considera una:",Oportunidad,Amenaza,Debilidad,Fortaleza,A
"En un centro de salud de Oxapampa se reporta de manera reiterada quejas por parte de los trabajadores del servicio 
de obstetricia. Motivo por el cual, el jefe de recursos humanos convoca a una reunión para tratar la situación. ¿Qué 
aspecto se debe trabajar para mejorar las relaciones laborales?",Clima organizacional,Clima integral,Cultura organizacional,Cultura estructural,A
"En un distrito de Sullana en el departamento de Piura, caracterizado por sus altas temperaturas, ha comenzado la 
época de lluvias y comienzan a presentarse un incremento inusual de casos de paludismo. El equipo de vigilancia 
epidemiológica lo debe notificar como:",Brote,Foco endémico,Rebrote,Evento endémico,A
"Ingresan al establecimiento de salud recipientes para residuos sólidos de polietileno de alta densidad sin costuras, 
con espesor menor de 2 mm., teniendo en cuenta que el almacenamiento, según plan de minimización y manejo 
de residuos sólidos la capacidad es de 150 litros a más. El área de logística insiste en la firma de la conformidad 
por no contar presupuesto para comprar el requerimiento según TDR. ¿Se debe firmar la conformidad?","Sí, teniendo cuidado en el uso","No, porque el espesor debe ser no menor de 3 mm","No, porque el espesor debe ser no menor de 5 mm","Sí, porque no debe haber presupuesto suficiente",C
La principal unidad empleada para el tratamiento primario de las aguas residuales es:,Humedales artificiales,Filtro percolador,Biofiltro de micrófitas,Tanque de Sedimentación Primaria,D
"Usted desea vigilar la calidad de agua de consumo en su establecimiento de salud, por ese motivo, para asegurar 
la desinfección toma muestras en diferentes puntos de la red de distribución y realiza los ensayos químicos. ¿Cuál 
es la concentración adecuada del cloro residual libre?",Menor de 0.5 mg/L,Mayor a 0.15 ppm,De 1 a 5 g/L,Mayor a 0.5 ppm,D
"Es la entrega de servicios de salud de acuerdo con los parámetros culturales de los/as usuarios/as; es decir, 
construidos a través de espacios de diálogo, en los que prestadores y usuarios/as acuerdan cuáles deben ser 
las características de los servicios que les son ofertados por parte del Estado:",Pertinencia cultural,Adecuación cultural,Interculturalidad en salud,Diversificación intercultural,A
"Toda agua que se encuentre sometida a procesos físicos, químicos y/ó biológicos para convertirla en un producto 
inocuo para el consumo humano se considera:",Agua tratada,Calidad de agua tratada,Agua de consumo humano,Gestión de la calidad de agua,A
"En su EE SS se viene presentando muchas quejas de personal de salud por continuas interrupciones del servicio 
de agua en los consultorios y baños. sin afectación del resto de viviendas de la localidad. Esta semana hubo un 
evento serio pues una enfermera se cortó con un bisturí contaminado durante la atención de salud y no había agua 
disponible para lavarse las manos. ¿Cuál es la acción más inmediata que debe realizar en este caso?",Realizar solicitudes de control a la empresa local proveedora de agua,Evaluar el sistema de abastecimiento de agua,Realizar controles de la calidad de agua dentro del establecimiento,Instalar un sistema alternativo de abastecimiento de agua privado,B
