"convocatoria","area","questions","option_A","option_B","option_C","option_D","correct_answer"
"Examenes_2025_I","6664196-biologia-tipo-a","Se reportan 2 casos de peste en el hospital y se ha restringido el ingreso. Los casos son de la comunidad y no se sabe si hay 
más casos. ¿Cuál es la medida inicial a tomar?","Medidas de control químico de pulgas","Ordenamiento ambiental","Medidas de bioseguridad e identificar las casas de infectados","Control de roedores","C"
"Examenes_2025_I","6664196-biologia-tipo-a","En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?","Marco teórico","Metodología","Introducción","Resultados","B"
"Examenes_2025_I","6664196-biologia-tipo-a","En un establecimiento de salud que tiene bajos indicadores de desempeño, se desea realizar un concepto compartido para 
un futuro mejor, pues cada quien tiene una idea diferente de lo que se quiere lograr. ¿Qué componente estratégico se debe 
plantear entre todos?","Misión","Visión","Valores","FODA","B"
"Examenes_2025_I","6664196-biologia-tipo-a","Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.","virulencia / frecuencia","casos antiguos / casos nuevos","proporción / frecuencia","velocidad / magnitud","D"
"Examenes_2025_I","6664196-biologia-tipo-a","El personal de un establecimiento de salud desea saber lo que debe desarrollar prioritariamente. ¿Qué componente debe 
conocer para orientar sus objetivos estratégicos?","Misión","Visión","FODA","Valores","B"
"Examenes_2025_I","6664196-biologia-tipo-a","Respecto a la enfermedad hipertensiva: el ...... es un factor de riesgo modificable y el ...... es un no modificable.","edad / estilo de vida","origen afrodescendiente / síndrome metabólico","tabaquismo / sobrepeso","sedentarismo / sexo masculino","D"
"Examenes_2025_I","6664196-biologia-tipo-a","Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:","Moral","Comisión de ética","Responsabilidad","Deontología","D"
"Examenes_2025_I","6664196-biologia-tipo-a","Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?","I-1","I-2","I-4","I-3","B"
"Examenes_2025_I","6664196-biologia-tipo-a","El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?","3","4","2","1","D"
"Examenes_2025_I","6664196-biologia-tipo-a","Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de 
su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?","Exclusivo para dolor oncológico","Específico para hepatitis A","Controlado para infecciones intrahospitalarias","Para métodos de planificación familiar","A"
"Examenes_2025_I","6664196-biologia-tipo-a","Personal de serenazgo, lleva al centro de salud a un paciente adulto mayor con problemas de salud y sin familiares, 
presenta indigencia y sin documentos. ¿Qué derecho se le atribuye?","Acceso a servicios de salud","Acceso a la información","Recuperación","Consentimiento informado","A"
"Examenes_2025_I","6664196-biologia-tipo-a","Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...","basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.","incluye los procedimientos del proceso de la práctica «centinela».","usa mediciones sistemáticas.","usan datos específicos de información adicional.","A"
"Examenes_2025_I","6664196-biologia-tipo-a","¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?","Esenciales","Comunes","Genéricos","Básicos","A"
"Examenes_2025_I","6664196-biologia-tipo-a","¿Qué consideraciones se deben tener en cuenta para comprar una silla para toma de muestra de un establecimiento de 
salud?","Comodidad ergonómica","Sin brazos de apoyo","Delicada a la limpieza","Que no presente respaldar","A"
"Examenes_2025_I","6664196-biologia-tipo-a","El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?","Al alta de los pacientes","Hasta las 48 horas","Cuando se reporta el VEA de la semana","De manera inmediata","D"
"Examenes_2025_I","6664196-biologia-tipo-a","La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.","atenuar o eliminar","diferir o mitigar","restringir o acortar","controlar o mantener","A"
"Examenes_2025_I","6664196-biologia-tipo-a","Un egresado de biología, se encuentra laborando en un establecimiento de salud sin contar con el título y la colegiatura 
correspondientes. ¿Qué tipo de falta es?","Grave","Injusticia","Nepotismo","Leve","A"
"Examenes_2025_I","6664196-biologia-tipo-a","La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?","Promotores de salud y responsable de promoción de la salud","El responsable de epidemiologia y jefe de establecimiento","Coordinadores de red y responsable de epidemiología","Todo el personal de salud y autoridades locales","D"
"Examenes_2025_I","6664196-biologia-tipo-a","Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.","intervención","riesgo","soporte","análisis","A"
"Examenes_2025_I","6664196-biologia-tipo-a","En caso de tener una solicitud de examen parasitológico seriado en heces de un paciente con sospecha de 
estrongiloidiasis. ¿Qué métodos de diagnóstico realizaría?","Directo microscópico y Baerman","Faust y Ritchie","Kato-Katz y Sheather Sugar","Ziehl Neelsen y Tricrómica","A"
"Examenes_2025_I","6664196-biologia-tipo-a","Usted desea motivar a su personal de salud para realizar una investigación científica sobe la anemia infantil en su comunidad, 
para ello les dice que el principal propósito de la investigación científica es...","captar inversiones en salud.","mejorar la gestión de la salud.","consolidar el trabajo en equipo.","generar conocimiento científico útil.","D"
"Examenes_2025_I","6664196-biologia-tipo-a","La ética sugiere aquello que es deseable y condena lo que no debe hacerse, mientras que la deontología cuenta con las 
herramientas administrativas para garantizar que la profesión se ejerza de manera ética. ¿Con qué debe contar un profesional 
de la salud para su ejercicio profesional?","Currículo vitae documentado","Título profesional, colegiatura","Diplomados","Estudios de posgrado","B"
"Examenes_2025_I","6664196-biologia-tipo-a","Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?","Externa","Dirimente","De caso","Regular","C"
"Examenes_2025_I","6664196-biologia-tipo-a","Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?","Desarrollo de recursos humanos para la salud","Asegurar el acceso y el uso racional de medicamentos","Acceso equitativo a servicios de salud integrales y de calidad","Financiamiento de la salud eficiente y equitativo","C"
"Examenes_2025_I","6664196-biologia-tipo-a","Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?","Estructural","Intermedio","Económico","Comercial","A"
"Examenes_2025_I","6664196-biologia-tipo-a","¿Qué prueba de tamizaje se podrían realizar en indígenas amazónicos para detectar posibles casos de VHB?","Test RPR","Prueba rápida HBsAg","Cultivo celular","Western Blot","B"
"Examenes_2025_I","6664196-biologia-tipo-a","La ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el 
derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios debe cumplir en la atención a la población 
objetivo?","Solidaridad, orden, deber y derecho","Orden, fraternidad, moral y derecho","Fraternidad, moral, deber y orden","Orden, moral, deber y derecho","D"
"Examenes_2025_I","6664196-biologia-tipo-a","Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales 
interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?","Curso de vida","Cuidado integral","Vías de cuidados","Determinante social","A"
"Examenes_2025_I","6664196-biologia-tipo-a","La denominación, la unidad de medida y las metas físicas, de costeo y financieras; son elementos de las …… del Plan 
Operativo Institucional (POI), mismas que se programan y aprueban por el establecimiento de salud.","acciones estratégicas","actualizaciones financieras","categorías presupuestales","actividades operativas","D"
"Examenes_2025_I","6664196-biologia-tipo-a","Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?","Cultura","Población indígena","Interculturalidad en salud","Salud pública","C"
