questions,option_A,option_B,option_C,option_D,correct_answer
"En la aplicación de la ficha familiar realizada por el personal de salud capacitado se ha establecido en los últimos meses 
que la incidencia de casos de anemia de niño y gestante está relacionada con factores económicos, vivienda y estilo de 
vida de la familia. ¿Qué aspectos nos permite identificar en la aplicación de la ficha?",Determinantes de salud,Tipos de familia,Número de casos de anemia,Datos demográficos,A
"Si la gerencia de un centro de salud decide establecer coordinaciones con la asociación de adultos mayores de la zona 
y con la agencia local del instituto nacional del deporte, para establecer programas semanales de Taichi guiados al adulto 
mayor y monitoreados por un personal sanitario. ¿Qué principio gerencial está aplicando en favor de la población local?",Intersectorialidad,Modelo centrado en el usuario,Modelo de atención integral,Multidisciplinariedad,A
"En la última sesión del Comité Distrital de Salud (CDS) de Angora, la jefa de la Red Integrada de Salud (RIS) expuso ante 
sus miembros, la necesidad de conformar una mesa temática en la que se realicen actividades intersectoriales a favor de 
la salud materno infantil del distrito. Presentó evidencia e información estadística del tema. ¿Qué estrategia de promoción 
de la salud empleó?",Comunicación,Participación,Educación,Abogacía,D
"Durante el trabajo extramural, el equipo multidisciplinario del establecimiento identifica a paciente del programa de 
tuberculosis que no acudió al EESS a tomar sus fármacos. Manifiesta que ya no desea tomar porque los fármacos le 
están causando molestias gástricas y erupciones en la piel. ¿Qué presenta el paciente?",Reacción adversa a medicamentos,Tratamiento directamente observado,Fracaso del tratamiento,Tratamiento multidrogorresistente,A
"Recién nacido vivo de parto institucional es afiliado al Seguro integral de Salud del centro materno para recibir sus 
atenciones. En el marco de la atención primaria en salud. ¿Qué objetivo esencial está cumpliendo?",Cobertura universal,Políticas públicas saludables,Liderazgo,Servicios centrados en la persona,A
"Analizando epidemiológicamente el número de casos de dengue en el sector V de la jurisdicción de San Juan de 
Lurigancho del EESS Motupe, se encontró viviendas con exposición al mosquito Aedes aegypti tanto en almacenamiento 
de tanques como en recipientes. ¿Qué tipo de determinante está influyendo en la comunidad?",Medio ambiente,Sistema sanitario,Estilo de vida,Biología humana,A
"Paciente con enfermedad terminal manifiesta al médico de cuidados paliativos la necesidad de regresar a su pueblo. La 
semana siguiente es el control de pruebas de sangre. El médico acuerda con la familia autorizar el viaje, luego de realizar 
los exámenes de laboratorio y obtener los resultados, con la condición de regresar antes de su próximo control y cumplir 
con las indicaciones brindadas. En relación a la atención centrada en la persona. ¿Qué dimensión clave se está 
aplicando?",La perspectiva biopsicosocial,El profesional como centro del proceso,Alianza terapéutica consensuada,Compartir poder y responsabilidad,D
"Con el objetivo de fortalecer las capacidades del personal de salud para mejorar la calidad en un servicio específico de 
atención primaria de salud. Según el plan estratégico institucional. ¿Qué actividad se debe realizar?",Incrementar el acceso a atención integral de salud,Difundir la importancia de la salud como derecho,Fortalecer el ejercicio de la rectoría de la autoridad nacional de salud,Mejorar asignación de presupuesto para atención integral,A
"¿Cuál es uno de los cuatro ejes del desarrollo de la telesalud e incluye actividades de organización, dirección y control 
de servicios de salud?",Teleconsulta,Teleorientación,Telemonitoreo,Telegestión,D
"Gestante de 24 semanas diagnosticada con gingivitis asociada a placa dental, Se le realiza tratamiento urgente de 
raspado y alisado radicular, se le aplicó anestesia local por que presentaba mucho dolor durante el procedimiento. ¿Qué 
anestésico puede colocarse en este periodo de gestación?",Sevorane,Mepivacaina,No se recomienda,Lidocaina,D
