questions,option_A,option_B,option_C,option_D,correct_answer
"Puérpera acude al consultorio de odontología, por presentar manchas blancas en los dientes, refiere que le acaban de 
diagnosticar anemia y que ese día inicia su tratamiento con sulfato ferroso. Se le realiza el tratamiento preventivo 
odontológico y se le recomienda continuar con su tratamiento para la anemia; se le indica que le van a realizar una visita 
para monitorear su adherencia al tratamiento. ¿A los cuántos días se realiza el seguimiento una vez iniciada el tratamiento 
de anemia?",42,15,7,30,C
"El jefe de un establecimiento de salud requiere de hemoglobinómetros para realizar los controles de hemoglobina durante 
las visitas a la comunidad. La anemia es la primera morbilidad en el distrito y sobre todo en su localidad. Ha decidido 
presentar su requerimiento al alcalde. ¿Qué documento de gestión usará para sustentar lo requerido?",POI,PEI,PPR,ASIS,D
En relación a la terapia preventiva de la tuberculosis en contactos con TB sensible. ¿Cuál es la indicación?,El esquema de elección en mayores de 2 años es 3 HR,"La administración es de lunes a sábado, no incluye feriados",El esquema de elección en menores de 2 años es 3 HP,"La administración es de lunes a domingo, incluido feriados",D
"Paciente de 5 años acude a un centro de salud tras posible fractura del tobillo, a la evaluación el médico solicita una 
radiografía de la región, siendo indispensable para su oportuno tratamiento. ¿Qué principio de protección radiológica 
se muestra?",Límite de dosis,Distancia,Optimización de dosis,Justificación,D
"Un estudio de tipo experimental, realizado en una farmacia perteneciente a un establecimiento de salud, busca medir 
como objetivo principal, la influencia del tiempo de espera entre cada atención y el porcentaje de adherencia al tratamiento 
por parte de los pacientes; además para tener mayor información se decide analizar la edad del paciente en esta relación. 
¿Qué tipo de variable es la edad?",Interdependiente,Independiente,Dependiente,Interviniente,D
"Paciente varón de 55 años con diagnóstico de hipertensión arterial, participa en centro de salud en un plan de 
alimentación, con el objetivo de disminuir sus valores de presión arterial a través, de una acción diurética, facilitando la 
excreción renal de sodio. Dentro del objetivo del plan alimenticio esta considerada la alimentación fraccionada en ...... 
tiempos.",4,5,6,3,B
"En una paciente puérpera sana. ¿A los cuántos días post parto se le realiza el dosaje de hemoglobina de prevención y 
control?",30,120,90,60,A
"Si la persona encargada de recomendar un antihistamínico conoce que la diferencia entre la levocetiricina y la cetiricina 
es solo el menor efecto de somnolencia del racemato, y aun así recomienda la levocetiricina a pesar de su elevado costo 
y suponiendo que la somnolencia no representaría mayor riesgo para el paciente. ¿Qué principio ético se está 
vulnerando?",Justicia,Beneficencia,No maleficencia,Respeto a la autonomía,B
"Dentro de las estrategias planteadas en el establecimiento de salud en el área niño para la cobertura de sus indicadores 
de gestión se estableció trabajo intra y extramural el cual abarca coordinar con municipalidades, colegios e instituciones 
de la jurisdicción para la realización de un trabajo conjunto que incida en mejorar el vínculo entre instituciones así como 
también se estableció la participación de empresas privadas de la jurisdicción. ¿Qué principio del sistema de salud se 
toma en cuenta?",Participación,Orientación a la calidad,Intersectorialidad,Sostenibilidad,C
"Los cambios demográficos es el factor más relevante en el fenómeno de ...... resultante de las tasas de mortalidad y 
fertilidad, principalmente, los fenómenos que producen los cambios son los que generan una modificación en el perfil 
etario de las poblaciones y en el perfil de salud, así como en la expectativa de vida.",cambios en estilo de vida,cambios en antigenicidad,transición epidemiológica,cambios ambientales,C
"Una evaluación de causalidad de sospecha de RAM realizada sobre una población de 500 habitantes en un periodo de 1 
año, se registraron 15 casos de rash post administración de ciprofloxacino 500 mg tableta vía oral de la marca X, mientras 
que se evidenciaron 3 casos de rash con la administración de ciprofloxacino marca Y. ¿Qué tipo de diseño de 
investigación se debe aplicar?",Casos y Controles,Cohorte,Experimental,Prospectivo,B
"""Difamar, calumniar, injuriar o tratar de perjudicar directa o indirectamente la reputación y honorabilidad de un colega, ya 
sea de manera verbal, escrita o compartiendo opiniones en redes sociales, se considera falta a la ética"". En el código de 
ética del CTMP la medida disciplinaria de  infracción de esta norma se sanciona desde amonestación hasta la suspensión 
de ...... meses.",8,12,24,15,C
"¿Cuál es el tipo de investigación en la que al investigador le interesa caracterizar y contextualizar fenómenos, situaciones, 
eventos indicando sus rasgos más distintivos o diferenciadores?",Analítica,Correlacional,Descriptiva,Cuasiexperimental,C
"Un profesional no titulado realiza labores de detección de coronavirus, por eso para informar sus resultados usa el sello 
y firma de un colega colegiado. Este comportamiento es una falta ética relacionada al...",propiedad intelectual.,ejercicio profesional.,pago de obligaciones pecunarias.,ausentismo y negligencia.,B
"Dentro del paquete del cuidado integral de salud por curso de vida; el cuidado integral al adulto mayor, garantiza la 
provisión del paquete de cuidado integral de salud a personas de ...... años a más.",58,65,70,60,D
"Paciente con enfermedad terminal manifiesta al médico de cuidados paliativos la necesidad de regresar a su pueblo. La 
semana siguiente es el control de pruebas de sangre. El médico acuerda con la familia autorizar el viaje, luego de realizar 
los exámenes de laboratorio y obtener los resultados, con la condición de regresar antes de su próximo control y cumplir 
con las indicaciones brindadas. En relación a la atención centrada en la persona. ¿Qué dimensión clave se está 
aplicando?",La perspectiva biopsicosocial,Compartir poder y responsabilidad,El profesional como centro del proceso,Alianza terapéutica consensuada,B
"Un niño es llevado al centro de salud al haber sufrido una caída, al ser evaluado por el médico, éste determina una posible 
fractura del antebrazo. ¿Cuáles son las proyecciones radiográficas a tomar?",Tangencial y oblicua,Oblicua y P-A,P-A y lateral,A-P y lateral,D
"Una de las medidas sanitarias que se aplica en el EESS Conde de la Vega es la eliminación de los desechos que se 
utilizan en la sesión demostrativa el día de su intervención a fin de no generar acumulación de bacterias en el área de 
trabajo. ¿Qué medida sanitaria se emplea?",Eliminación de residuos,Control de vectores,Evacuación de alimentos tóxicos,Control sanitario de desechos solidos,D
"Analizando epidemiológicamente el número de casos de dengue en el sector V de la jurisdicción de San Juan de 
Lurigancho del EESS Motupe se encontró viviendas con exposición al mosquito Aedes aegypti tanto en almacenamiento 
de tanques como en recipientes. ¿Qué tipo de determinante está influyendo en la comunidad?",Biología humana,Estilo de vida,Medio ambiente,Sistema sanitario,C
"El jefe del establecimiento de salud nivel I-2 ha identificado que existe necesidad de otro personal técnico para las visitas 
domiciliarias, porque no se logran las metas programadas. ¿En qué instrumento de gestión se debe programar 
este recurso?",Presupuesto por resultados,Plan de salud local,Plan estratégico,Plan operativo,D
"Dentro de un centro de salud el personal asistencial se encuentra expuesto a adquirir infecciones asociadas a la atención 
en salud. ¿Cuál es la infección con mayor frecuencia y de mayor posibilidad de prevención?",Tuberculosis,Parasitosis,Dengue,Tetano,A
"La Obstetra atiende a una adolescente en el primer trimestre de embarazo con anemia en una comunidad indígena, 
explica la importancia de adoptar medidas en el tratamiento, por las consecuencias para el binomio madre/hijo; se brinda 
información y se busca establecer acuerdos en un ambiente de respeto y reconocimiento de las diferencias culturales. 
¿A qué acción corresponde?",Diversidad cultural,Comunicación lingüística,Pertinencia cultural,Diálogo intercultural,D
"En una provincia de Ayacucho se observa mucha desigualdad social en la salud, marcando una diferencia en el aspecto 
político social, en mercado laboral, vivienda y tierras. Estos aspectos son considerados como determinantes:",Finales,Estructurales,Intermedios,Avanzados,B
"La Obstetra fue designada a una comunidad indígena donde el 50.7% de mujeres no conoce sobre ITS y las hace 
vulnerables para contraer VIH/SIDA. Debe implementar acciones de información a esta población, tomando en cuenta 
sus características culturales, garantizando el derecho a la atención en salud. ¿A qué corresponden estas acciones?",Diálogo cultural,Inclusión social,Pertinencia cultural,Interculturalidad en salud,C
"Se desea evaluar el impacto del sulfato ferroso sobre el promedio de hemoglobina en niños de su comunidad. ¿Cuál es 
la prueba estadística que debe utilizar para probar su hipótesis?",Chi cuadrado,Percentiles,t de Student,Correlación de Pearson,C
"Su centro de salud le ha solicitado elaborar y estandarizar el formato de informe de exámenes de laboratorio, con el fin 
de mejorar la gestión de la historia clínica. ¿Cuál es parte del contenido mínimo de dicho formato?",Marca del equipo o reactivo utilizado,Diagnóstico clínico presuntivo,Breve descripción del caso,Fecha y hora de emisión de resultado,D
"Paciente acude al centro de salud para atención médica, dentro de la evaluación para hipertensión arterial; un factor de 
riesgo biológico se considera el perímetro abdominal mayor o igual a:",102,100,98,99,A
"Varón de 68 años acude a su consulta nutricional, después de la evaluación nutricional antropométrica, se determina que 
presenta IMC de 27.5, el profesional nutricionista registra la interpretación de los valores de índice de masa corporal (IMC) 
como:",Delgadez,Sobrepeso,Obesidad,Normal,D
"Profesional de la salud que usa rayos X en los estudios de diagnóstico, cuando aplica técnicas y procedimientos que 
tienen como finalidad proteger a las personas y a su descendencia, de los efectos nocivos de las radiaciones. Éstas son 
acciones de:",Protección radiológica,Protección laboral,Salud ocupacional,Seguridad laboral,A
"¿Como se conocen a aquellos medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el 
país y que luego de una evaluación técnica especializada multidisciplinaria han demostrado ser comparativamente 
seguros, eficaces y costo efectivo, deben estar disponibles en todo momento y al alcance de la población que los 
necesita?",Esenciales,De estrategias sanitarias,Genéricos,Huérfanos,A
En el área de diagnóstico por imágenes la solicitud de exámenes radiológicos debe contener primordialmente:,Información de los padres,Colegiatura de la enfermera,Dirección domiciliaria,Diagnostico presuntivo,D
"El conjunto de procedimientos asistenciales a través del cual se asegura la continuidad de la atención de las necesidades 
de salud de los usuarios, transfiriéndolo del establecimiento de menor a mayor capacidad resolutiva corresponde a:",Atención primaria,Contrarreferencia,Referencia,Atención compartida,C
¿Qué tipo de variable proporcionan datos nominales y datos ordinales?,Cualitativa,Continua,Discreta,Cuantitativa,A
"La IPRESS busca identificar estrategias para lograr sus objetivos institucionales en un periodo de 3 años incluidos en el 
plan multianual. ¿Cuál es el instrumento de gestión al que debe alinear sus objetivos?",PDC,POI,PIA,PEI,D
"En centro de salud se evalúa un niño de 5 años que ha tenido contacto con su abuelita que tiene tuberculosis activa, 
además presenta signos y síntomas clínicos. El diagnóstico de TB pediátrica. ¿Con qué tipo de estudio se sustenta 
prioritariamente?",Clínico y radiológico,Clínico y bacteriológico,Bacteriológico y clínico,Inmunológico y radiológico,A
"¿A qué corresponde la definición: ""es la ciencia y el arte de mejorar la salud de la población mediante los esfuerzos 
organizados de la sociedad?",Salud para todos,Política de salud,Salud pública,Seguro universal,C
"En la aplicación de la ficha familiar realizada por el personal de salud capacitado se ha establecido en los últimos meses 
que la incidencia de casos de anemia de niño y gestante está relacionada con aspectos relacionados a factores 
económicos, vivienda y estilo de vida de la familia. ¿Qué aspectos nos permite identificar en la aplicación de la ficha?",Determinantes de salud,Tipos de familia,Número de casos de anemia,Datos demográficos,A
"Gestante migrante quechua hablante, que acude para atención a su establecimiento de salud tiene derecho a ...",acompañamiento de familia.,servicios de salud con adecuación cultural.,presencia solo de pareja.,traductor de idioma original.,B
"En un estudio descriptivo, realizado para entender el grado de adherencia a un tratamiento médico. ¿Qué tipo de 
herramienta de recolección de datos se caracteriza por tener como ventaja un mayor nivel de confianza, flexibilidad en el 
entendimiento de términos consultados, pero como desventaja la influencia en las respuestas durante la recolección de 
datos, y ser aplicable a un menor número de personas?",La observación,La encuesta,La entrevista,El foro,C
"Para realizar los procedimientos de medidas preventivas del cuidado de la salud oral en niños. ¿La visita al odontólogo 
por primera vez, a qué edad en años, se debe realizar?",1,5,6,3,A
"Una IPRESS de la amazonía peruana quiere generar evidencia de los efectos a la salud que produce la actividad minera 
ilegal en su región. ¿Cuál es el enfoque investigativo más apropiado para abordar este problema?",Cualitativo,Correlacional,Cuantitativo,Mixto,C
"En la actualidad existe una amplia gama de recursos diagnósticos. ¿Cuáles son los indicadores estadísticos que evalúan 
el grado de eficacia inherente a una prueba diagnóstica?",Costo y beneficio,Eficiencia y especificidad,Sensibilidad y especificidad,Eficacia y eficiencia,C
"El análisis ...... permite relacionar los factores externos (entorno) e internos (intorno) de la organización, así como 
descubrir las posibilidades de éxito o fracaso de la organización.",FODA,situacional,estratégico,retrospectivo,A
"Cuando nos referimos a objetivos de identificar la etiología o la causa de una enfermedad y los factores de riesgo 
relevantes, es decir, los factores que aumentan el riesgo de que una persona padezca una enfermedad. Estos 
corresponde a objetivos de:",Salud ocupacional,Epidemiología,Salud pública,Historia de la enfermedad,B
"Usted realiza su SERUMS en un establecimiento cuyas UPSS son Consulta Externa y Laboratorio Clínico. ¿Cuál es la 
categoría del establecimiento?",I-3,I-4,I-2,II-1,A
"Una tecnóloga medica que trabaja en un centro de salud se encuentra embarazada, adoptando todas las medidas de 
protección radiológica, incluyendo un seguimiento a su dosimetría. ¿Cuál es la dosis limite mensual para la trabajadora 
ocupacionalmente expuesta?","0,6 mSv","0,5 mSv",20 mSv,10 mSv,B
"El equipo de trabajo para evaluación de brote de IAAS, es presidido por el ...",responsable de Epidemiología.,director del EE.SS.,responsable de prevención y control de IAAS.,jefe de Departamento de Enfermería.,B
"Se observa que hay migrantes de la selva que viven en un asentamiento humano de un distrito de Lima, que son 
discriminados y rechazados por los pobladores del distrito donde pernoctan. ¿Qué acciones debe realizar como personal 
de salud?",Imponer acciones socio educativas,"Cambiar hábitos, costumbres y creencias",Normalizar el comportamiento de la comunidad,Reforzar la interacción cultural,D
"Un estudio realizado en la población asignada a su IPRESS concluye que los niños cuyos padres son separados 
presentan el doble de riesgo de desnutrición. ¿En qué sección del informe encontrará los alcances, las limitaciones 
metodológicas y la comparación con estudios similares en otra población?",Resultados,Discusión,Introducción,Metodología,B
"El responsable de la RIS desea saber la cantidad de atenciones realizadas por el médico serumista en 
consulta externa. ¿Qué indicador de gestión debe utilizar?",Rendimiento,Productividad,Concentración,Permanencia,B
"Cuando se refiere a certeza, conformidad o precisión de una prueba diagnóstica y concuerda con el estándar de oro. 
Este concepto corresponde a:",Eficiencia,Eficacia,Validez,Especificidad,C
