questions,option_A,option_B,option_C,option_D,correct_answer
"Usted se encuentra como serumista en Iñapari donde realiza visita domiciliaria a una adulta mayor de 82 años y 
que presenta lumbalgia, al indicarle medicamentos se niega refiriendo que en la zona existen plantas medicinales. 
¿Cuál le indicarías?",Perejil,Tuna,Albahaca,Congona,D
"En la atención de una paciente de 50 años con diabetes mellitus tipo 2, usted le explica que el perímetro de cintura 
refleja la presencia de obesidad abdominal e indirectamente el nivel de riesgo cardiovascular. En mujeres con 
diabetes. ¿Cuál es límite en cm del perímetro de cintura?",99,78,87,94,C
"En la comunidad donde realiza su SERUMS usted observa un alta frecuencia de personas adultas mayores, según 
informan las autoridades desde hace una década se viene observando este hecho. Para comprender este 
envejecimiento poblacional y estimar su posible evolución. ¿Cuál es el mejor indicador de salud pública que debe 
conocer en dicha comunidad?",Tasa de migración,Índice de longevidad,Esperanza de vida,Tasa de fertilidad,D
"Paciente joven de 30 años con tratamiento anti-TB, que no mejora al tratamiento al tercer mes, no presenta deterioro 
clínico-radiológico. Ampliando la historia tiene antecedente de padre con diagnóstico de TBC-DR. ¿Cuál debe ser la 
conducta inicial del personal de salud?",Tomar una muestra de esputo para prueba de sensibilidad rápida,Debe hacerse la historia al padre,Debe iniciar tratamiento anti-TBC DR en este momento,Debe referirse al médico consultor,A
"En un establecimiento de la comunidad andina acude una gestante de 39.3 semanas con antecedentes de HTA 
crónica y diabetes gestacional que no cuenta con todos sus controles prenatales y solicita parto vertical. Usted 
como médico. ¿Qué conducta debe seguir?",Se niega a prestar atención,Retorna al domicilio a la gestante,Atiende el parto vertical,Referir a centro de mayor complejidad,D
"Todo servidor público debe ...… y ...… los bienes del Estado, debiendo utilizar los que le fueran asignados para el 
desempeño de sus funciones de manera racional, evitando su abuso, derroche o desaprovechamiento, sin emplear 
o permitir que otros empleen los bienes del Estado para fines particulares o propósitos que no sean aquellos para 
los cuales hubieran sido específicamente destinados.",ejecutar / depositar,usar / cuidar,atesorar / utilizar,proteger / conservar,D
"Acude a consulta de atención prenatal gestante de 19 años con 34 semanas. Examen: FC: 60 X', FR: 22 X', Tº: 
36.6 ºC; AU: 31 cm, LCD, FCF: 125 X', DU: ausente; mucosas pálidas y húmedas, piel pálida, Hb: 9 g/dL, Fe sérico: 
30. ¿Qué tipo de anemia tendrá el recién nacido?",Megaloblástica,Ferropénica,Por déficit de ácido fólico,Fisiológica,B
"Paciente mujer de 85 años hipertensa, antecedente de caída. Ha estado hospitalizada por insuficiencia respiratoria 
tipo 2 por EPOC y ha recibido antibióticos por neumonía e ITU por E coli resistente. Tiene glaucoma y tolera la VO. 
Examen: PA: 120/80, FC: 74 X', FR:16 X', T°: 37 °C; estable, despierta y afebril. Respecto a los cuidados del adulto 
mayor. ¿Cuál es la conducta inmediata a seguir?",Solo valoración nutricional antropométrica,Tamizaje de enfermedades no transmisibles,Buenas prácticas de higiene y sanitaria,Inmunizaciones para influenza y neumonía,D
"¿Cómo se denomina a los eventos adversos severos que provocan alteraciones intensas en las personas, 
economía, sistemas sociales y el medio ambiente, causadas por sucesos naturales o generadas por la actividad 
humana o por la combinación de ambos que exige la ayuda externa?",Catástrofes,Desastres,Cataclismos,Emergencias,B
"El responsable del establecimiento de salud, está recibiendo la relación y stock de materiales e insumos para la 
atención de la gestante y se percata que hay productos vencidos (hace un mes), que ya no pueden ser consumidos 
para la atención. ¿Cuál es el procedimiento a seguir?",Solicitar a farmacia la rotación a otro establecimiento de salud,Mantenerlo en su stock hasta nuevo requerimiento,Devolver a farmacias con informe,Eliminar el producto,C
