questions,option_A,option_B,option_C,option_D,correct_answer
"En una consulta psicológica donde se brinda psicoeducación sobre la vacunación contra el virus de papiloma humano, 
para prevenir infecciones por los diferentes tipos de VPH. ¿Qué tipo de prevención se realiza?",Inmediata,Secundaria,Terciaria,Primaria,D
"El Serumista que forma parte del equipo multidisciplinario en una investigación, debe priorizar el cuidado de los alcances 
de la investigación, el cuidado de los participantes y el cuidado de la vida, utilizando debidamente el consentimiento 
informado, los instrumentos y protocolos según el tipo de investigación, con atención del respeto por la diversidad, las 
culturas, y la humanización en su actuación. Esto hace referencia a:",Respeto de estándares en la investigación,Prohibición del plagio en la investigación,Responsabilidad científica y presentación de resultados,Investigación y respeto de normas y principios,A
"Varón de 63 años, con diagnostico B 24, con tratamiento desde que estuvo privado de libertad, actualmente en libertad, 
acude por retrovirales al establecimiento I-3. ¿Qué debe hacer el proveedor de salud que atiende?",Indicarle que debe apersonarse con algún familiar para darle información,"Brindar confidencialidad, indicar hospital de derivación para recibir retrovirales",Custodiar sus cosas personales e institucionales y mantener distancias,"Constatar si tiene SIS, para entregarle retrovirales correspondientes",B
"Si la interacción entre un paciente y el personal sanitario tratante, se da mediante uso de las TICs. ¿Qué concepto de 
salud se está aplicando?",Promoviendo salud,Cuidado integral,Salud intercultural,Telesalud,D
"El conjunto de procedimientos asistenciales a través del cual se asegura la continuidad de la atención de las necesidades 
de salud de los usuarios, transfiriéndolo del establecimiento de menor a mayor capacidad resolutiva, corresponde a:",Contrarreferencia,Atención compartida,Referencia,Atención primaria,C
"Niño de 8 años se presenta a la consulta psicológica, luego del tamizaje en NNA se agenda su atención al taller de 
habilidades sociales. De acuerdo con el paquete del cuidado integral de salud del niño. ¿Qué cuidados se está 
desarrollando?",Naturales,Individuales,Familiares,Comunitarios,B
"Paciente migrante gestante quechua hablante, tiene derecho a …… para parto vertical.",acompañamiento de familia,traductor de idioma original,presencia solo de pareja,servicios de salud con adecuación cultural,D
"Durante la atención integral de la gestante, los controles prenatales buscan detectar riesgos para eliminarlos o 
minimizarlos. ¿Qué tipo de prevención es?",Cuaternaria,Secundaria,Terciaria,Primaria,D
"Al realizar un trabajo de investigación sobre higiene bucal, el investigador brinda los cepillos dentales a unos y a otros 
que ellos mismos se los compren. ¿Qué principio ético básico está siendo vulnerado?",Respeto,Maleficencia,Justicia,Autonomía,C
"Para estimar el cálculo del número de individuos necesario para realizar un estudio de investigación transversal, es 
imprescindible conocer la variabilidad del parámetro que se desea estimar basado en datos propios, de otras 
investigaciones o de un estudio piloto a través de la varianza. ¿Cuál es el enfoque del estudio?",Cualitativo,Cuantitativo,Mixto,Prospectivo,B
"¿Cuál es la relación de alianza psicólogo - paciente, que establece una colaboración, compenetración en el proceso de 
la atención psicológica?",Exceso de curiosidad,Empatía,Romper el hielo,Rapport,D
"Mujer víctima de violencia sexual, presenta secuelas emocionales como estrés post traumático; después de la información 
brindada por la psicóloga del centro de salud, la paciente decide no realizar la denuncia contra su agresor. ¿Cuál es la 
conducta a seguir?",Derivar a medicina para su atención,Continuar con la atención en el centro de salud,Notificar al CEM y referir al CSMC,Referir al CSMC y no notificar,C
"Se observa que hay migrantes de selva que viven en un asentamiento humano de un distrito de Lima, que son 
discriminados y rechazados entre los pobladores del distrito donde pernoctan, por lo que se debe …",reforzar la interacción cultural.,"cambiar hábitos, costumbres y creencias.",imponer acciones socio educativas.,normalizar el comportamiento de la comunidad.,A
"En el establecimiento de salud al paciente adulto se le brinda el consentimiento informado, donde se le explica en forma 
clara los procedimientos que se le realizará. ¿Qué aspectos éticos se está respetando?",Justicia,Beneficencia,Autonomía,Maleficencia,C
"En una comunidad amazónica se registra un brote de malaria por Plasmodium falciparum, donde dos niños fallecieron de 
un total de 50 pacientes (4%) confirmados con gota gruesa y PCR. ¿Cuál es la medida epidemiológica de frecuencia 
referida?",Tasa de letalidad,Incidencia acumulada,Tasa de ataque,Tasa de mortalidad general,A
"Cuando un equipo de trabajo se reúne para mejorar la calidad de sus actividades asistenciales, genera su misión, visión 
y valores que deben ser compartidos por todos; se está generando una:",Cultura organizacional,Calidad de servicios,Mejora continua,Capacidad resolutiva,A
"En la comunidad a un paciente que vive con VIH se le ha seleccionado y capacitado para que brinde apoyo emocional, 
educación en salud y acompañamiento a otros pacientes de igual condición para la prevención de la transmisión y 
atención integral de las ITS/VIH. Esto corresponde a:",Agente comunitario de salud,Educadores pares,Paciente elegido,Comunal,B
Dentro del paquete integral de salud del adulto mujer. ¿Qué atenciones preventivas se realizan?,Identificación de síndrome de maltrato,Atención de violencia familiar,Tratamiento de algún daño prevalente,"Despistaje de Sífilis, VIH/SIDA, cáncer de cérvix",D
"El responsable de la RIS desea saber la cantidad de atenciones realizadas por el médico serumista en 
consulta externa. ¿Qué indicador de gestión debe utilizar?",Concentración,Permanencia,Productividad,Rendimiento,C
"Adolescente de 13 años, con 38 semanas de gestación, migrante de los andes, sin control, indica relaciones sexuales 
han sido voluntaria con ex pareja de 35 años, viene acompañada de madre al establecimiento I-3. ¿Cuál es la conducta 
a seguir?","Aplicar kits completos de emergencia para descarte de ITS, VIH, Hepatitis B",Brindar actividades socio educativas a fin de que paciente identifique riesgos,Responsabilizar a sus progenitores por negligencia hacia la paciente.,"Comunicar a las autoridades, como código violeta y referencia hospitalaria",D
"¿Cuál es la ciencia que investiga la distribución y magnitud de los fenómenos patológicos, la forma en que varían entre 
las diferentes poblaciones y circunstancias con las que se asocian?",Salud Publica,Tanatología,Antropología,Epidemiologia,D
"Usted acaba de ganar su plaza de SERUMS, y en su primer día de trabajo, su jefatura le indica que se encuentran en el 
proceso de búsqueda de información a fin de elaborar el documento que oriente una gestión eficiente en salud acorde 
con los procesos de planificación. ¿Cuál es el documento?",Análisis Global de los Determinantes de la Salud,Análisis de la Vulnerabilidad territorial,Análisis Global del Estado de la Salud,Análisis de Situación de Salud,D
"La evaluación continua del recién nacido hospitalizado cuya madre tuvo ITU o ITS antes del parto, corresponde a una 
vigilancia epidemiológica de las IAAS de tipo ...",pasiva.,selectiva.,activa.,focalizada.,B
"¿Cuál es el factor que se supone ha causado la enfermedad tiene que haberse producido o presentado antes del 
desarrollo de la enfermedad?",Consistencia,Temporalidad,Reversibilidad,Fuerza de asociación,B
"El fortalecimiento de capacidades del personal de salud para mejorar la calidad en un servicio específico de atención 
primaria de salud, es una actividad acorde al objetivo de planeamiento estratégico relacionado a …",incrementar el acceso a atención integral de salud.,fortalecer el ejercicio de la rectoría de la autoridad nacional de salud.,difundir la importancia de la salud como derecho.,mejorar asignación de presupuesto para atención integral.,A
"La búsqueda intencionada y sistemática de casos de dislipidemia y obesidad infantil en las historias clínicas y archivos 
estadísticos del centro de salud. ¿A qué tipo de vigilancia corresponde?",Centinela,Pasiva,Retrospectiva,Activa,B
"A una gestante adolescente se brinda psicoeducación en el cuidado de consumo de diversos alimentos, entre ellos: 
verduras, hortalizas, carne, pescado, legumbres, frutos secos, cereales integrales y fruta. ¿Qué tipo de recomendación 
es?",Evaluación materna y fetal,Intervenciones psicoafectivas,Intervenciones nutricionales,Intervención social,C
"Como parte de las intervenciones …… y psicoterapéuticas en gestantes, las visitas domiciliarias se realizan para evaluar 
el cuidado de la salud mental.",comunitarias,contextuales,psicosociales,sistémicas,C
"¿Cuál de las siguientes características no es considerada para la validación de un cuestionario, como herramienta de 
recolección de datos?",Aplicabilidad,Fiabilidad,Viabilidad,Consistencia interna,A
"En un establecimiento de salud de primer nivel, se presenta a consulta un niño de 2 años, la madre indica que llora toda 
la noche y no responde a estímulos. ¿Qué tamizaje se debe realizar?",SQR18,NNA,MCHAT-R,PHQ-9,C
"En el contexto de la administración de los servicios de salud, la ausencia de trabajo colaborativo contribuye a explicar que 
en una localidad exista…",disponibilidad de servicios de salud esenciales.,duplicidad de recursos tecnológicos y humanos.,liderazgo de los servicios de salud.,mejora de la calidad de los servicios de salud.,B
"El jefe del establecimiento de salud nivel I-2 ha identificado que existe necesidad de otro personal técnico para las visitas 
domiciliarias, porque no se logran las metas programadas. ¿En qué instrumento de gestión se debe programar 
este recurso?",Plan operativo,Plan de salud local,Presupuesto por resultados,Plan estratégico,A
"Lactante de 4 meses con SIS, proveniente de provincia, acude al establecimiento de salud para su control e inicio de 
tratamiento preventivo de anemia. ¿Cuál es el procedimiento que se debe realizar para respetar su derecho al acceso a 
la salud?",Enviarle al SIS central para su inscripción,Solicitar su referencia del lugar de procedencia,Referir al hospital de mayor complejidad,Apertura de la HC y brindar la atención requerida,D
"En el centro de salud se establece que los ambientes se encuentren adecuados y acondicionados para un lactario como 
parte de los cuidados …… en el periodo prenatal; que comprende la etapa preconcepcional, antes, durante y después 
del embarazo.",locales,comunitarios,individuales,familiares,B
"Mujer de 28 años con sospecha de TB es atendido en el CS y luego de concluir con la consejería es derivado al servicio 
de salud mental; está indicación se tomó debido a que el tamizaje salió...",con riesgo bajo.,positivo.,con riesgo alto.,negativo.,B
"Para realizar un trabajo de investigación y obtener información de las exposiciones anteriores y actuales. ¿Qué tipo de 
recolección de datos se debe realizar?",Informante indirecto,Entrevista,Observación familiar,Observación,B
"¿Cuál es una de las fases más importantes de una investigación, en la que se determina cómo analizar los datos y qué 
herramientas de análisis estadístico son adecuadas para este propósito?",Análisis de datos,Discusión,Introducción a la investigación,Resultados,A
"Acude al establecimiento de salud un paciente con problema respiratorio agudo y se le indica que se le referirá a un 
establecimiento de mayor complejidad para su atención, pues está en riesgo su vida, lo cual se niega rotundamente. 
¿Qué formato debe ser llenado para el descargo de toda responsabilidad del médico y de la institución prestadora de 
salud?",Discapacidad,Retiro voluntario,Contrarreferencia,Referencia,B
"Si la gerencia de un centro de salud decide establecer coordinaciones con la asociación de adultos mayores de la zona 
y con la agencia local del instituto nacional del deporte, para establecer programas semanales de Taichi guiados al adulto 
mayor y monitoreados por un personal sanitario, además, estaría aplicando en favor de la población local el principio 
gerencial de…",macro redes.,modelo de atención integral.,modelo centrado en el usuario.,intersectorialidad.,D
"En una comunidad se reportan dos o más casos de una misma enfermedad y están relacionados entre sí, el personal de 
salud según criterio epidemiológico identifica que es:",Brote,Endemia,Pandemia,Epidemia,A
"Los valores de la equidad y la solidaridad social, y el derecho de todo ser humano a gozar del grado máximo de salud 
que se pueda lograr sin distinción de raza, religión, ideología política, condición económica y social; forman parte de un 
sistema sanitario basado en la atención...",complementaria de salud.,integrada de salud.,primaria de salud.,secundaria de salud.,C
"El CS desea que todos sus trabajadores tengan valores fundamentales inviolables para conducirse y responder al entorno 
así como la imagen sugerente de su futuro como organización. Es definición de ...",planeamiento.,valores.,misión.,visión.,D
"Tiene por objetivo contribuir a que las familias peruanas se desarrollen como unidad básica social, adoptando 
comportamientos y generando entornos saludables en interrelación con la comunidad, la escuela y el centro laboral. ¿Qué 
programa facilita este objetivo?",Comunidades saludables,Promoción de la salud,Centro laboral saludable,Familia y vivienda saludable,D
"Niño de 8 años ingresa a la consulta traído por la madre quien refiere que pasa mucho tiempo en la computadora jugando, 
cuando se prohíbe los videojuegos, responde con agresividad, además bajo su rendimiento académico. Para conocer la 
conducta antecedente y consecuente, así como los reforzadores de la conducta que mantienen el juego. ¿Qué técnica 
emplearía?",Exposición,Desensibilización sistemática,Análisis funcional,Afrontamiento,C
"Se acerca al establecimiento de salud una paciente de 72 años, por lo cual se registra en la historia clínica su primera 
atención del adulto mayor donde debe considerarse el VACAM (Valoración clínica del adulto mayor) teniendo en cuenta 
la valoración funcional, mental y ...",bucal.,física.,familiar.,biológica.,C
"Vigilancia epidemiológica es un proceso continuo de recolección activa, análisis, interpretación y difusión de datos 
relacionados con la frecuencia de las IAAS. Según prioridad de las IPRESS se caracteriza por ser:",Selectiva y focalizada,Genérica y activa,Permanente y pasiva,Focalizada y pasiva,A
"La inducción inicial, así como los cursos recibidos durante su SERUMS en el marco del ""desarrollo y capacitación de 
recursos humanos"" organizada por la Gerencia Regional de Salud. ¿A qué aspecto de la salud pública corresponde?",Transición epidemiológica,Desarrollo de políticas,Función esencial,Rendimiento de personal,C
"Los pobladores de San Miguel participaron activamente con el personal de salud y las autoridades, logrando una política 
pública articulada de salud para la comunidad. Son acciones y resultados de:",Municipio saludable,Trabajo político de la comunidad,Familias saludables,Trabajo intersectorial en salud,D
"Se desea ordenar el servicio de Admisión en un establecimiento de salud. ¿Hasta cuántos años de la última consulta se 
pueden tener las historias clínicas en el archivo activo?",10,3,2,5,D
"Mujer de 46 años, con tamizaje falso positivo en cáncer de mama, requiere más mamografías para determinar su estudio, 
las investigaciones demuestran que con instrumentos específicos se han encontrado:",Sosiego y silencio,Ansiedad y estrés,Afonía y tranquilidad,Angustia y euforia,B
"En la evaluación de una gestante se evidencia úlcera indurada e indolora (chancro) localizada en mucosa genital. ¿En 
qué fase de la historia natural de la enfermedad se encuentra?",Inducción,Subclínica,Resolutiva,Clínica,D
"¿En qué principio de la consejería; la relación entre el consejero y el consultante debe darse sobre una base de respeto, 
horizontalidad y sintonía afectiva, elementos necesarios para generar confianza?",Relación interpersonal horizontal y empática,Relación interpersonal horizontal e imparcial,Relación interpersonal vertical y empática,Relación interpersonal vertical e imparcial,A
"Al llegar a la comunidad el profesional de salud planifica estrategias de intervención ante los casos de jóvenes que 
presentan gingivitis; para conocer su gravedad. ¿Qué tipo de variable se debe medir?",Cuantitativa,No categórica,Cualitativa,Nominal,C
"Después de resolver un problema complejo en un paciente, con la finalidad de garantizar el seguimiento y la continuidad 
de los cuidados básicos. ¿Como se denomina el procedimiento administrativo-asistencial mediante el cual, el 
establecimiento de salud de mayor complejidad devuelve la responsabilidad del cuidado de la salud de un usuario al 
establecimiento de menor nivel?",Referencia,Derivación,Contrarreferencia,Transferencia,C
"¿Cuál es la herramienta de gestión considerada como la razón de ser de una entidad y está estrechamente alineada con 
los objetivos?",FODA,Política de calidad,Misión,Visión,C
¿Cuál es un factor cuya presencia excesiva o su ausencia relativa es esencial para la ocurrencia de la enfermedad?,Reservorio,Agente,Transmisión,Huésped,B
"Cuando el Serumista Psicólogo organiza un programa de Escuela para Padres en su comunidad que incluye la 
participación de un equipo multidisciplinario de salud; está enfocado en ...",cuidado integral de salud.,cuidado intramural.,cuidados esenciales.,cuidado extramural.,A
"¿Cuál es la actividad que se realiza a distancia por un profesional de la salud, en el marco de sus competencias, a una 
persona usuaria mediante el uso de las TICs, con fines de promoción, prevención, diagnóstico y tratamiento?",Telesalud,Telemedicina,Telemonitoreo,Teleconsulta,D
"En estudios clínicos y epidemiológicos, la medición de variables que incluyan la perspectiva del paciente con referencia 
a resultados relacionados a su calidad de vida. ¿Cuáles son los instrumentos de recolección de datos más indicados?",Registros y documentos ya existentes,Entrevistas y cuestionarios,Observación directa e indirecta,Registro por el paciente y familiar,B
"La promoción de salud y la prevención de enfermedades, son los pilares fundamentales de la atención...",continua de salud.,psicológica integral.,sostenible de salud.,primaria de salud.,D
"En un establecimiento de salud de atención primaria todo el equipo de salud se ha propuesto un objetivo en común que 
busca disminuir las tasas de anemia en las gestantes y niños menores de 5 años; para ello se han capacitado en el tema 
y vienen desarrollando un plan de seguimiento nutricional junto a enseñar la preparación de sus comidas con alimentos 
ricos en hierro de casa en casa; lo hacen con mucho compromiso y empeño para lograr la meta. Esto demuestra que 
tienen una buena ...",gerencia social.,resistencia al cambio.,conducción del cambio.,cultura organizacional.,D
"Para prevenir las muertes neonatales se impulsa el parto, la población de las zonas rurales por costumbre y cultura 
prefieren los partos intradomiciliarios. ¿Qué acciones se deben de tomar en cuenta para cumplir con los objetivos del 
sector?",Educar e impulsar la participación comunitaria,Informar a las gestantes que la atención es gratuita,Atender los partos intradomiciliarios,Prometerles la entrega de canastas de víveres,A
"Los profesionales de salud fueron vacunados y se le brindo consejería post vacunación sobre los posibles efectos 
adversos de la vacuna contra el dengue. ¿Cuánto tiempo de reposo y observación debe tener una persona después de 
haberse vacunado?",10 minutos,20 minutos,30 minutos,15 minutos,C
"En un establecimiento de salud I-4 el personal de salud está organizado para identificar problemas de salud, facilitando 
el control y resolución de los mismos en su comunidad. ¿Qué estrategia han implementado?",Vigilancia epidemiológica,Gestión por procesos,Presupuesto por resultados,Oferta de servicios,A
"En una comunidad donde no tiene agua segura, saneamiento básico y muy frecuentes lluvias por el cambio climático, la 
población esta expuestas a:",Contaminación ambiental,Riesgo físico y químico,Pobreza y salubridad,Riesgo ambiental,D
"Varón de 36 años, al ingresar a su consulta médica siente que es discriminado por el profesional médico, por ser código 
blanco, quien le atiende con una gran indiferencia y poca comunicación. Esta acción es cuestionada por el paciente. Para 
que él usuario no se sienta afectado se debe ...",aceptar la condición del paciente.,brindar un trato digno y humanizado.,indicar donde debe tomar asiento.,disimular el rechazo al paciente.,B
"Además de promover el uso adecuado del preservativo en adolescentes sexualmente activos, el personal de salud 
también fomenta la …… con los padres, tutores, cuidadores y familia.",evidencia,consejería,orientación,demostración,B
"Gestante de 23 años, migrante, con primaria incompleta, viene controlando esporádicamente su tercer embarazo en un 
centro de salud de nivel I-3, manifiesta a un profesional que le quiere regalar a su hijo porque tiene problemas económicos, 
por lo que su pareja la abandonó, esta persona se encuentra sola y no tiene testigos. ¿Cuál es la conducta a seguir?","Comunicar a la policía, la intención de la gestante",Rechazar porque es un acto en contra de la ética profesional,Aceptar por el bienestar y bien superior del recién nacido,Referir a paciente a salud mental o servicio social,B
"La higiene de manos, lactancia materna, inmunizaciones, pautas de crianza, entre otras; realizadas por el personal de la 
salud, son denominadas acciones de:",Protección comunitaria,Intervención inmediata,Bioseguridad materno infantil,Promoción de la salud,D
"Mujer de 52 años, natural de región selva, trabaja en prostitución, refiere a profesional de salud que el día anterior fue 
dopada y sufrió agresión sexual, tiene dolor pélvico y moretones en el cuerpo. ¿Qué debe hacer el profesional de salud 
de manera inmediata?",Aplicar kit de descarte sin consentimiento para que no se asuste,Derivar a paciente para que se le brinde atención en salud mental,"Aplicar kit completo de emergencia, previo consentimiento",Hacer denuncia a las autoridades sin autorización de paciente,C
"La organización mundial de la salud ratifica la importancia de la actividad física y la considera como el factor que interviene 
en el estado de salud de las personas y la define como la principal estrategia en prevención de la ...",obesidad.,mortalidad.,morbilidad.,letalidad.,A
"La farmacovigilancia es una actividad de la ...... que se encarga de evaluar la efectividad del medicamento y dispone un 
sistema rápido de alerta a…",salud pública / reacciones adversas.,epidemiología / farmacovigilancia.,vigilancia / reacciones adversas.,salud pública / vigilancia epidemiológica.,A
"Las actividades que buscan la atención del problema de salud mental y físico de la persona usuaria y su cuidador, que 
se orientan a disminuir su sintomatología para mejorar su calidad de vida dentro de la continuidad de cuidados, pertenecen 
al componente:",Psicosocial,De gestión,Emocional,Clínico,D
"Uno de los principales avances es el aumento del uso del sistema financiero por parte de las usuarias del Programa 
Juntos. Además, a través de acuerdos entre la Superintendencia de Banca, Seguros y AFP (SBS), el Ministerio de 
Desarrollo e Inclusión Social (MIDIS) y los gobiernos locales. Esto es un ejemplo de:",Calidad de servicio,Plan estratégico,Coordinación intersectorial,Política nacional,C
"En el paquete de cuidado integral del adolescente, la consejería en salud mental es un factor ...",psicológico.,protector.,biológico.,de riesgo.,B
"Dentro de los aspectos legales en la atención de salud mental, el CEM, la Comisaría, la DEMUNA, el OMAPED, el 
CONADIS, entre otros; están dentro de las Redes comunitarias de salud mental ...",terciarias.,cuaternarias.,primarias.,secundarias.,A
"Ud. es jefe de un establecimiento I-4 en la región norte del país y los boletines informativos de epidemiología indican un 
aumento de casos de melanomas por exposición a rayos UV en el último año. ¿A qué tipo de casos corresponden?",Prevalentes,Probables,Reincidentes,Incidentes,D
"Recientemente usted fue asignado a un C.S. y quiere conocer cómo se transmite una enfermedad de una persona a otra 
o de un reservorio no humano a una población humana, además de las razones por las que los comportamientos de 
riesgo causan enfermedades. ¿En qué se basa para realizar este estudio?",Salud pública,Tanatología,Epidemiología,Estadística,C
"Adolescente de 16 años, consulta por síntomas de ansiedad. El Psicólogo durante la entrevista emplea expresiones 
técnicas profesionalizadas sobre como los pensamientos negativos, después de la sinapsis y activan su sistema nervioso 
autónomo, generando en el entrevistado:",Confusión y distanciamiento,Seguridad para continuar con la atención,Esperar a la siguiente sesión,Confianza hacia el psicólogo,A
"Para el abastecimiento de insumos de farmacia de un establecimiento de salud se establece una ....... con el proveedor 
de tal manera que ellos le agregan valor a la entrega de un producto haciéndose responsable del bodegaje y luna 
capacitación para el adecuado almacenamiento y conservación del mismo.",alianza estratégica,negociación comercial,distribución oportuna,gestión de insumos,A
