questions,option_A,option_B,option_C,option_D,correct_answer
"El jefe del establecimiento de salud nivel I-2 ha identificado que existe necesidad de otro personal técnico para las visitas 
domiciliarias, porque no se logran las metas programadas. ¿En qué instrumento de gestión se debe programar 
este recurso?",Presupuesto por resultados,Plan operativo,Plan estratégico,Plan de salud local,B
"En el plan de prevención de TB se realiza un censo para identificación de contactos (intradomiciliarios y extradomiciliarios) 
a través de la entrevista del profesional de salud, visita domiciliaria y registro de todos los contactos del caso. ¿Quién es 
el responsable de esta labor?",Terapeuta ocupacional,Trabajador(a) social,Médico,Enfermera(o),D
"Durante la evaluación, el terapeuta ocupacional debe valorar la historia y las experiencias ocupacionales de un usuario, 
grupo o población, incluyendo los patrones de la vida diaria, intereses, valores, necesidades y contextos relevantes. Esto 
corresponde a:",Factores personales,Índice de Barthel,Perfil ocupacional,Desempeño ocupacional,C
"El servicio de laboratorio clínico de un establecimiento I-4, ha suspendido las pruebas bioquímicas por avería permanente 
del fotómetro digital. ¿Qué elemento de la oferta de servicios de salud se ha perdido?",Calidad de atención,Tamaño de los recursos,Capacidad de oferta,Capacidad resolutiva,D
En relación a la terapia preventiva de la tuberculosis en contactos con TB sensible. ¿Cuál es la indicación?,"La administración es de lunes a domingo, incluido feriados","La administración es de lunes a sábado, no incluye feriados",El esquema de elección en mayores de 2 años es 3 HR,El esquema de elección en menores de 2 años es 3 HP,A
"Varón de 24 años, se acerca al establecimiento de salud para un descarte tuberculosis. La notificación del caso es de 
carácter obligatorio en todas las IPRESS, ya que la misma se encuentra alineada a la estrategia para controlar la 
transmisión de tuberculosis a nivel nacional, todo esto en el marco de la:",Censo y seguimiento de contactos,Reinfección de la enfermedad,Identificación y detección de casos,Vigilancia epidemiológica,D
"Se observa que hay migrantes de la selva que viven en un asentamiento humano de un distrito de Lima, que son 
discriminados y rechazados por los pobladores del distrito donde pernoctan. ¿Qué acciones debe realizar como personal 
de salud?",Imponer acciones socio educativas,Normalizar el comportamiento de la comunidad,Reforzar la interacción cultural,"Cambiar hábitos, costumbres y creencias",C
"El centro de salud donde realiza su SERUMS ha registrado varios casos de leucemia infantil en los últimos años, por lo 
que tiene interés de investigar los factores asociados. ¿Qué tipo de estudio será el más conveniente?",Cohortes prospectiva,Ensayo clínico,Casos y controles,Descriptivo,C
"Usuario de 35 años con lesión medular solicita evaluación para retornar a su empleo. El terapeuta ocupacional con el 
objetivo de garantizar la transición y la participación acude a su centro laboral para realizar:",Análisis del puesto,Integración laboral,Análisis de tareas,Descripción del puesto,A
"Un estudio de tipo experimental, realizado en una farmacia perteneciente a un establecimiento de salud, busca medir 
como objetivo principal, la influencia del tiempo de espera entre cada atención y el porcentaje de adherencia al tratamiento 
por parte de los pacientes; además para tener mayor información se decide analizar la edad del paciente en esta relación. 
¿Qué tipo de variable es la edad?",Dependiente,Interviniente,Independiente,Interdependiente,B
"Al asumir la responsabilidad de su servicio, encuentra como línea base una gran cantidad de problemas a resolver, para 
destinar los recursos disponibles de manera racional y eficiente, debe priorizar los problemas raíz. Bajo el supuesto que 
el 20% de las causas genera el 80% de los problemas. ¿Qué herramienta de gestión debe elegir para establecer la 
priorización?",Rueda de Deming,Diagrama de Ichikawa,Análisis FODA,Diagrama de Paretto,D
"Paciente con enfermedad terminal manifiesta al médico de cuidados paliativos la necesidad de regresar a su pueblo. La 
semana siguiente es el control de pruebas de sangre. El médico acuerda con la familia autorizar el viaje, luego de realizar 
los exámenes de laboratorio y obtener los resultados, con la condición de regresar antes de su próximo control y cumplir 
con las indicaciones brindadas. En relación a la atención centrada en la persona. ¿Qué dimensión clave se está 
aplicando?",Compartir poder y responsabilidad,El profesional como centro del proceso,La perspectiva biopsicosocial,Alianza terapéutica consensuada,A
"Llega a la posta una madre con su bebe de 2 meses de nacido, refiriendo no saber que necesitaba un documento para 
la inscripción a la RENIEC, ya que dió a luz en casa; por lo que se deduce que su hijo no tiene ninguna vacuna. ¿Cuál es 
la primera vacuna que debió haber recibido?",BCG/HVB,SPR/IPV,APO/SPR,HVB/VPH,A
"¿Cuáles son los bienes y servicios mínimos necesarios para realizar la prevención y control de la anemia por deficiencia 
de hierro en un establecimiento de salud?","Nutricionista, microscopio y micronutrientes","Biombos, kit de reactivos y especialista en medicina familiar","Analizador de ferritina, especialista pediátrico y bajalengua","Suplementos de hierro, hemoglobinómetro y tecnólogo médico",D
"En los centros educativos nacionales se realizan campañas de prevención primaria como plan de vigilancia de salud 
pública, donde se promueve la vacunación (2da dosis después de 6 meses de la primera) a las niñas a partir de 12 años, 
previa autorización firmado por el padre/madre de familia. Esta vacuna está indicada contra:",VIH,EDA,VPH,COVID,C
"A mayor edad del paciente, mayor riesgo de que sufra una caída. Es una hipótesis de:",Asociación,Reproducción,Relación de producción,Relación causal,A
"En la aplicación de la ficha familiar realizada por el personal de salud capacitado se ha establecido en los últimos meses 
que la incidencia de casos de anemia de niño y gestante está relacionada con aspectos relacionados a factores 
económicos, vivienda y estilo de vida de la familia. ¿Qué aspectos nos permite identificar en la aplicación de la ficha?",Tipos de familia,Número de casos de anemia,Determinantes de salud,Datos demográficos,C
"El contenido de la historia clínica de una paciente fallecida por presunta negligencia médica (muerte materna), debe ser 
custodiada bajo medidas de mayor seguridad. El tipo de archivo dónde se ubica se denomina:",Activo,Común,Especial,Pasivo,C
"La obstetra fue designada a una comunidad indígena donde el 50.7% de mujeres no conoce sobre ITS y las hace 
vulnerables para contraer VIH/SIDA. Debe implementar acciones de información a esta población, tomando en cuenta 
sus características culturales, garantizando el derecho a la atención en salud. ¿A qué corresponden estas acciones?",Pertinencia cultural,Diálogo cultural,Inclusión social,Interculturalidad en salud,A
"Paciente con diagnóstico de glioblastoma es evaluado en el consultorio de cuidados paliativos; manifiesta al médico que 
la dosis de fármaco que debe tomar a las 12 de la medianoche le altera el sueño por lo que ha decidido no tomarla. El 
médico realiza el ajuste en la prescripción de la hora de administración del fármaco, por lo que llegan a un acuerdo 
generando satisfacción y compromiso en el paciente. ¿Qué tipo de atención está realizando?",Atención primaria renovada,Atención centrada en la comunidad,Atención centrada en la persona,Atención centrada en la familia,C
"Los adolescentes de una comunidad, necesitan atención integral estomatológica, para cubrir sus necesidades de salud. 
¿Qué establecimiento de salud del primer nivel oferta la cartera de servicios necesaria?",II-1,I-2,I-3,I-1,C
"El personal de laboratorio clínico recibió entrenamiento, mediante videollamada, sobre los procedimientos de toma y 
envío de muestras de tos ferina. ¿Qué componente de la telesalud se utilizó?",Teleorientación,Telegestión,Teleapoyo al diagnóstico,Telecapacitación,D
"Un profesional no titulado realiza labores de detección de coronavirus, por eso, para informar sus resultados usa el sello 
y firma de un colega colegiado. Este comportamiento es una falta ética relacionada al...",ejercicio profesional.,propiedad intelectual.,ausentismo y negligencia.,pago de obligaciones pecunarias.,A
"Para poder estimar el cálculo del número de individuos necesario para realizar un estudio de investigación transversal, 
es imprescindible conocer la variabilidad del parámetro que se desea estimar a través de la varianza. ¿Cuál es el enfoque 
del estudio?",Prospectivo,Cuantitativo,Cualitativo,Mixto,B
"Un estudio realizado en la población asignada a su IPRESS concluye que los niños cuyos padres son separados 
presentan el doble de riesgo de desnutrición. ¿En qué sección del informe encontrará los alcances, las limitaciones 
metodológicas y la comparación con estudios similares en otra población?",Metodología,Resultados,Introducción,Discusión,D
¿Qué tipo de tamizaje se realiza para la detección de personas con riesgo de presentar TB?,Por síntomas,Sistemático,Preventivo,Por contacto,B
"El médico responsable del CS Lince ha sido designado a realizar la intervención para el control de brechas designando 
equipos con los médicos de guardia, estableciendo responsables y objetivos por día para el cumplimiento de la meta 
designada ¿Qué herramienta técnica está aplicando?",Plan operativo institucional,ASIS,Asignación de personal,Plan local de salud,D
"En la atención primaria de los adultos mayores; cumplen un papel relevante respecto a la vida saludable, la promoción 
de la salud y la calidad de vida. En la visita domiciliaria su participación más común se centra en:",Funcionalidad,Manejo del estrés,Acompañamiento emocional,Seguridad en el hogar,D
"En el paciente hipertenso los elementos diagnósticos: nivel de presión arterial, factores de riesgo, daño asintomático a 
órgano blanco y evento vascular; éstos son considerados para determinar la probabilidad de:",Inadecuado estilo de vida,Riesgo de diabetes,Riesgo cardiovascular,Factores hereditarios,C
"Ignorar los determinantes sociales y económicos de la salud que afectan las oportunidades de participación ocupacional. 
¿Cómo se considera el hecho de ignorarlos?",Injusticia ocupacional,Desventaja social,Disparidad social,Desigualdad ocupacional,A
"Según la directiva sanitaria vigente. ¿Cuál es el rango de edad, para hacer el tamizaje para la detección precoz del cáncer 
de cuello uterino?",30 a 68,40 a 60,35 a 62,25 a 64,D
"Juan sufrió un accidente laboral que le dejó como secuela amputación de 2 dedos de la mano izquierda, llevó terapias y 
se le indicó la reinserción laboral a un área que pueda desempeñarse; razón por la cual le asignaron una labor logística. 
Juan accedió a ......, contemplado en el artículo 52 de la ley General de la Persona con discapacidad.",medidas de fomento del empleo,bonificación en los concursos públicos,servicios de empleo,conservación de empleo,D
