questions,option_A,option_B,option_C,option_D,correct_answer
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Resultados,Metodología,Marco teórico,Introducción,B
"En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?",Deben estar calibrados,Con exactitud de aproximadamente 0.3°C,Dependientes del sistema de monitoreo,Áreas con poca variabilidad en temperatura,A
"¿Cuál es el documento de gestión que orienta las intervenciones sanitarias hacia la solución de las necesidades de salud 
locales priorizadas?",Plan operativo institucional,Plan esencial de aseguramiento en salud,Plan de salud local,Plan estratégico institucional,C
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Falso negativo,Valor predictivo positivo,Falso positivo,Sensibilidad ineficiente,A
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Interculturalidad en salud,Población indígena,Cultura,Salud pública,A
"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los 
alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes 
firman y el personal interviene atendiendo.",justicia,autorización,beneficencia,consentimiento informado,D
"En relación al almacenamiento de medicamentos: “Las condiciones de almacenamiento deben ser las recomendadas por el 
…… y autorizadas en el rotulado del producto, pudiendo ser de: congelación, temperatura de refrigeración, temperatura 
ambiente y temperatura ambiente controlada, lo cual debe estar indicado en su procedimiento …… de almacenamiento.”",fabricante / operativo,farmacéutico / rutinario,director / organizativo,jefe / establecido,A
"El serumista recibe a un paciente quechua hablante que acude por dolor dental, refiere que utilizó ceniza para mitigar su dolor. 
El QF dispensa los antibióticos y analgésicos indicados, sin cuestionar y respetando el uso de la medicina ancestral. En el 
marco de la atención intercultural. ¿Cómo se conoce esta actitud?",Medicina tradicional,Pertinencia cultural,Diversidad cultural,Adecuación cultural,B
"Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director 
le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este 
cometido?",Compromiso paterno,Asentimiento informado,Consentimiento informado,Carta de investigación,C
"En el centro de salud de Lamas, reportan que un varón de 30 años, presenta fiebre, malestar general, sangrado y shock. Se 
informa que han aparecido muchos más casos en estos días y se sospecha de un brote de fiebre amarilla. Siendo Ro: el 
número promedio de casos nuevos que genera un caso dado a lo largo de un período infeccioso. ¿Cuál es el Ro que se 
espera tener en brote de fiebre amarilla?",Ro > 1,Ro = 0,Ro < 1,Ro > 0.5,A
