questions,option_A,option_B,option_C,option_D,correct_answer
"En la comunidad de Lamas tenemos pueblos indígenas, la DIRESA ha dispuesto la apertura de un centro de salud 
para cubrir las atenciones sanitarias, para lo cual requiere la contratación de profesionales acorde a las necesidades 
¿Qué tipo de profesional gestor se requiere?",Étnico-Cultural,Intercultural,Político,Social,B
"Dentro de la guía de atención nutricional del paciente con tuberculosis ¿Qué intervención considera la atención 
nutricional ambulatoria?",Visita domiciliaria,Entrega de canasta de alimentos,Evaluación familiar integral,Evaluación psicosocial,A
Se considera un principio de los deberes del ciudadano en el sistema de salud :,Responsabilidad social,Universalidad,Responsabilidad ciudadana,Equidad,C
"El reporte de la última vigilancia vectorial del Aedes aegypti en una comunidad es IA=3, por lo que el personal 
programa el control focal al 100% de viviendas; esta actividad debe promover la participación de la comunidad en 
el control larvario físico / mecánico, que consiste en:",Uso de larvicida al 100% de viviendas con potenciales criaderos,Cepillar y tapar recipientes de agua y eliminar o disponer adecuadamente los potenciales criaderos,Nebulización espacial y eliminación de criaderos en coordinación con las autoridades,Control biológico y uso de larvicida en viviendas con criaderos positivos,B
Una dieta adecuada para persona adulta diabética con sobrepeso u obesidad es aquella que considera...,una reducción entre el 5% al 10% del peso corporal.,aumento del 5% de carbohidratos complejos.,uso de carbohidratos modificados.,uso de suplementación nutricional.,A
"Es un posible diagnóstico que se sustenta en los antecedentes del paciente y que se deriva de un análisis clínico. 
Una vez formuladas las hipótesis diagnósticas iniciales, el personal de salud insiste en áreas del interrogatorio, en 
el examen físico y las investigaciones para confirmar una de las hipótesis y excluir las demás, hablamos de:",Definitivo,Presuntivo,Repetitivo,Único,B
"En el marco del ciclo de planeamiento estratégico la fase ...... es la encargada del diseño de objetivos y acciones 
estratégicas sectoriales en consistencia, alineamiento y coherencia con la definición de objetivos.",3,4,1,2,A
"Para la atención nutricional de un paciente con hipertensión sin complicaciones renales o hepáticas, debemos tener 
en cuenta en la elaboración del plan de alimentación la proporción de distribución de macronutrientes según 
porcentaje del valor calórico total (VCT) siguiente:","Proteínas 20%, CHO 60% y Grasas 20%","Proteínas 20%, CHO 65% y Grasas 15%","Proteínas 15%, CHO 60% y Grasas 25%","Proteínas 18%, CHO 55% y Grasas 27%",D
La recolección de datos en una investigación cuantitativa se caracteriza por:,Recolección de documentos y entrevistas,Test estandarizados con buenos niveles de validez y confiabilidad,Uso del diario de campo y toma de notas,Observación participativa y no participativa,B
"En un establecimiento de salud de Chincha, el director realiza desplazamiento del personal a otro centro, 
sustentando la disminución de atenciones de parto, la obstetra que labora más de 10 años, manifiesta su 
descontento presentando una queja a recursos humanos. ¿Qué aspecto de la gestión de recursos humanos se ve 
afectado?",Ley del CAS,Clima organizacional,Trabajo social,Salud mental,B
"Adulto varón con TB Miliar acude a consultorio nutricional para su evaluación, actualmente con peso actual: 58 kg, 
peso usual 70kg, talla: 172 cm ¿Qué criterio se considera en la evaluación antropométrica para realizar su 
diagnóstico nutricional?",Porcentaje de grasa,Circunferencia muscular de brazo,Pérdida de peso,Peso ideal,C
"Paciente adulto mayor acude a consulta nutricional en centro de salud con resultado de riesgo nutricional de 
acuerdo a instrumento de Mini valoración Nutricional, de acuerdo al plan de cuidado integral de salud, ¿Qué 
intervención debe realizarse?",Actividad física,Talleres educativos,Aumentar la ingesta energética,Intervenciones de rehabilitación,D
"Joven con 20 años acude a consulta se le realiza su evaluación nutricional con diagnóstico de malnutrición ¿Cuál 
sería el factor de riesgo asociado a éste daño según la atención integral de salud en la etapa de vida joven?",Consumo de energizantes,Actividad física,Fumador,Hábitos inadecuados de alimentación,D
"Un niño de seis meses que inicia suplementación con hierro ¿A partir de que día recibe la primera visita domiciliaria 
y/o teleorientación?",21,14,7,2,C
"Se evalúa una mujer adulta con medición de bioimpedancia, y de la evaluación se obtiene que el porcentaje de 
masa grasa da un resultado de obesidad, esto representa un porcentaje de…",mayor a 15.,mayor a 40.,menor a 30.,igual a 20.,B
"Seguridad alimentaria significa que todos tengan alimentos suficientes, seguros y nutritivos durante todo el año 
para llevar una vida activa y saludable, y que los alimentos se produzcan y distribuyan de tal manera que se 
promueva un medio ambiente saludable, comunidades autosuficientes y alimentos suficientes. ¿Qué acciones 
puedes desarrollar en la comunidad para contribuir con la seguridad alimentaria?","Huertos comunitarios, familiares o escolares",Subsidios a los alimentos,Venta de alimentos de primera necesidad con bajo interés,Cultivo de alimentos transgénicos de alta rotación,A
"En los establecimientos de salud categoría I-4 cuenta como mínimo para la atención ambulatoria e internamiento 
con capacidad resolutiva con las UPSS de consulta externa, ....... y farmacia.",central de esterilización,hospitalización,nutrición,patología clínica,D
"La familia constituye el espacio más importante para el cuidado de la salud de sus integrantes, los cuales se 
desarrollan a través del tiempo y vinculan al individuo con el desarrollo de salud de la población, por lo que la 
provisión del cuidado integral de salud a la familia, se inicia con la aplicación de la ...... por el equipo multidisciplinario 
de salud (EMS) para la evaluación de las necesidades y riesgo de la familia.",consejería familiar,visita domiciliaria,atención integral a la familia,ficha familiar,D
"Mujer de 30 años se acerca al CS Santa Rosa, al momento del registro se identifica como parte del grupo étnico 
awajún, Ella hace uso de su derecho a…",autoidentificación étnica.,pueblo indígena u originario.,pertenencia étnica.,identidad étnica.,A
"¿Cuál es el síndrome originado por la ingestión de alimentos y/o bebidas, que contengan agentes etiológicos en 
cantidades tales que afecten la salud del consumidor a nivel individual o grupos de población?",Infección alimentaria,Enfermedad Transmitida por Alimentos,Contaminación cruzada,Intoxicación alimentaria,B
"Niña de 6 meses es llevada a consulta nutricional y se le realiza el primer dosaje de hemoglobina, dando 
como resultado 10.8mg/dl ¿En cuánto tiempo de iniciada la suplementación sería la próxima medición de control 
de hemoglobina?",Al mes,A los cuarenta días,A las tres semanas,Al tercer mes,D
"En una comunidad nativa, se reporta un caso confirmado de rabia en bovino y desde la presencia de mineros 
informales se observan murciélagos que vuelan por la noche. ¿Cuál es la medida más efectiva para prevenir 
transmisión de rabia silvestre en esa comunidad?",Proteger con vacuna pre exposición a toda la comunidad,Eliminación de refugios de murciélagos con la comunidad organizada,Organización de la comunidad para la captura de murciélagos,Colocar mallas en todas las viviendas de la comunidad,A
"El jefe del un establecimiento I-4, convocó a una reunión técnica, donde explica los avances de los programas, 
instó a todos a trabajar en equipo, a comprometerse a responder a las necesidades de la población, dejar de lado 
conflictos personales entre otras cosas. Esto genera un cambio en el...",trabajo en equipo.,clima organizacional.,cuidado del ambiente laboral.,desempeño de grupo.,B
"A la consulta nutricional llega mujer adulta de 48 años, y en la evaluación de composición corporal se requiere tener 
un equipamiento mínimo para evaluación nutriterapéutica ¿Cuál sería el instrumento a usar?",Balanza de plato,Infantómetro,Plicómetro estandarizado,Cinta métrica,C
"Al desarrollar el nutricionista una sesión demostrativa a las madres gestantes en el CS San José ¿En qué momento 
se evalúa los mensajes importantes?",Al momento de realizar retroalimentación,Cuando lo estime conveniente el expositor,Al final de la sesión demostrativa,Durante la exposición,D
"Durante la visita a la comunidad los vecinos indican que un vecino se encuentra solo en su domicilio, el personal 
verifica que se trata de un adulto mayor con signos de desnutrición y descuidado. ¿Qué actitud debe tomar el 
personal de salud?",El personal no tiene responsabilidad en en el marco de sus competencias,Buscar a sus familiares para que se hagan cargo del adulto mayor,Invitarlo a ser parte del círculo del adulto mayor que tiene la municipalidad,Cuidado integral e integrado de salud del adulto mayor en la comunidad,D
