questions,option_A,option_B,option_C,option_D,correct_answer
"Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director 
le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este 
cometido?",Consentimiento informado,Carta de investigación,Asentimiento informado,Compromiso paterno,A
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Resultados,Marco teórico,Metodología,Introducción,C
"Un servidor público, brinda información de un diagnóstico médico, a personas de la comunidad. ¿Qué principio ético 
está vulnerando?",Individualidad,Respeto,Seguridad,Confidencialidad,D
"La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado 
desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. 
¿Qué principios éticos debe cumplirse?","Respeto, probidad y eficiencia",Respeto y atención diferenciada,"Veracidad, lealtad, eficiencia","Silencio, manejo de la información",A
"Las agnosias se observan en casos de lesiones de la corteza parietal, temporal y occipital. ¿Qué áreas están comprometidas 
en las agnosias?",Visual,Asociación,Auditiva,Táctil,B
"Milena, una obstetra serumista coloca una ampolla intramuscular de metamizol a una gestante que viene con fiebre, minutos 
después siente mareos, náuseas y se observa en la zona de aplicación un rash; por tanto ella debe consignar en la historia 
clínica de manera obligatoria las sospechas de reacciones adversas, reportarlas en el formato correspondiente y remitirlo al 
comité de ...... y tecnovigilancia de la IPRESS en los plazos correspondientes.",auditoría externa,auditoría interna,control interno,farmacovigilancia,D
"La ética sugiere aquello que es deseable y condena lo que no debe hacerse, mientras que la deontología cuenta con las 
herramientas administrativas para garantizar que la profesión se ejerza de manera ética. ¿Con qué debe contar un profesional 
de la salud para su ejercicio profesional?",Currículo vitae documentado,Diplomados,"Título profesional, colegiatura",Estudios de posgrado,C
"¿Cuál es el tipo de prevención cuyo objetivo es disminuir el avance y las complicaciones de la enfermedad establecida, 
mediante acciones orientadas a disminuir las secuelas y la discapacidad?",Terciaria,Primaria,Cuaternaria,Secundaria,A
"Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales 
interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?",Curso de vida,Vías de cuidados,Determinante social,Cuidado integral,A
"El reentrenamiento neuromuscular puede estar indicado en la parálisis facial periférica de más de tres meses de evolución. 
¿Cuánto puede durar el proceso de rehabilitación?",2 a 3 meses,1 a 3 años,1 a 3 meses,2 a 3 años,B
¿Cuáles son los principales ejes estratégicos que garantizan el éxito de la participación comunitaria en la planeación en salud?,La actitud política y el esfuerzo de la administración local,"El abordaje territorial, espacios participativos y la familia como base",La participación comunitaria y escuelas saludables,Los cambios en la realidad económico-social y ordenanzas municipales,B
"Niña de 5 años presenta respiración oral, mala oclusión dentaria, no arma un bolo alimenticio adecuado y presenta 
hiposensibilidad intraoral. ¿Qué alteraciones abordara el logopeda?",Craneocervicales,Miofuncionales,Musculoesquelética,Lenguaje expresivo,B
"En la enfermedad de la tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",de tipo ambiental.,no necesaria pero suficiente.,necesaria y suficiente.,necesaria pero no suficiente.,D
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Genéricos,Comunes,Esenciales,Básicos,C
"La buena salud bucal permite un adecuado funcionamiento de sus componentes para que la boca pueda cumplir sus 
funciones. ¿Cuáles son?","Comunicación, succión y buena apariencia","Buena apariencia, sonrisa y comunicación","Respiración, higiene y masticación","Masticación, comunicación y buena apariencia",D
"Un método para asociar la atención primaria con las iniciativas de salud pública es a través de un proceso y práctica 
denominada atención primaria orientada a la comunidad (APOC), que combina la medicina preventiva clínica y…",los enfoques sanitarios.,complementaria.,los enfoques comunitarios.,las comunidades.,C
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",instrumento de articulación,instrumento de gestión,herramienta de gestión,herramienta de articulación,B
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.",proporción / frecuencia,velocidad / magnitud,virulencia / frecuencia,casos antiguos / casos nuevos,B
"Según la ley 29973, la persona con discapacidad para comunicarse. En los procesos judiciales y en los procedimientos 
administrativos que siga ante la administración pública y los proveedores de servicios. ¿Qué tiene derecho a utilizar?",Braile y el lenguaje de señas,Lenguaje de señas y SAAC,"Lengua de señas, Braille y otros formatos",Ajustes razonables y SAAC,C
"Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la 
violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?",Inductivo,Descriptivo,Probabilístico,Inferencial,D
"En un recién nacido con FLAP, la correcta coordinación de las funciones orales contribuirá a que el neonato tenga una buena 
ingesta calórica y menores tiempos de ingesta. ¿Cuál es la secuencia adecuada?",Deglución-succión-respiración,Respiración-deglución-succión,Succión-respiración-deglución,Succión-deglución-respiración,D
"Para investigar la relación entre la anemia y el peso de niños de 6° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y el peso a todos ellos. ¿Qué método de investigación está realizando?",Observacional,Experimental,Mixto,Cuasi experimental,A
"En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?",Áreas con poca variabilidad en temperatura,Deben estar calibrados,Dependientes del sistema de monitoreo,Con exactitud de aproximadamente 0.3°C,B
"¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, 
creencias, conductas y normas?",Principios institucionales,Clima organizacional,Valores institucionales,Cultura organizacional,D
"En los programas de prevención para la anemia en recién nacidos. ¿Hasta que edad en meses se recomienda la lactancia 
exclusiva y prolongada?",3 / 24,6 / 24,8 / 36,12 / 48,B
"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la 
literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Carta al editor,Reporte de caso,Artículo original,Revisión sistemática,D
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",diferir o mitigar,controlar o mantener,atenuar o eliminar,restringir o acortar,C
