questions,option_A,option_B,option_C,option_D,correct_answer
"Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos 
problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?",Plan de acción,Proyecto de mejora,Recursos humanos,Clima organizacional,D
¿Cuántas dosis de la vacuna contra la varicela se debe administrar a un niño de tres años?,Ninguna,Tres,Una,Dos,C
"La ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el 
derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios debe cumplir en la atención a la población 
objetivo?","Orden, fraternidad, moral y derecho","Fraternidad, moral, deber y orden","Solidaridad, orden, deber y derecho","Orden, moral, deber y derecho",D
"En caso de tener una solicitud de examen parasitológico seriado en heces de un paciente con sospecha de 
estrongiloidiasis. ¿Qué métodos de diagnóstico realizaría?",Kato-Katz y Sheather Sugar,Directo microscópico y Baerman,Faust y Ritchie,Ziehl Neelsen y Tricrómica,B
"La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?",El responsable de epidemiologia y jefe de establecimiento,Todo el personal de salud y autoridades locales,Coordinadores de red y responsable de epidemiología,Promotores de salud y responsable de promoción de la salud,B
"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?",Regular,Externa,De caso,Dirimente,C
"La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado 
desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. 
¿Qué principios éticos debe cumplirse?",Respeto y atención diferenciada,"Silencio, manejo de la información","Veracidad, lealtad, eficiencia","Respeto, probidad y eficiencia",D
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Probable con signos de alarma,Hemorrágico con signos de alarma,Confirmado sin signos de alarma,Grave,A
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-2,I-4,I-1,I-3,A
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",controlar o mantener,atenuar o eliminar,diferir o mitigar,restringir o acortar,B
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",herramienta de articulación,herramienta de gestión,instrumento de articulación,instrumento de gestión,D
