questions,option_A,option_B,option_C,option_D,correct_answer
"En un establecimiento de salud de Chincha, el director realiza desplazamiento del personal a otro centro, 
sustentando la disminución de atenciones de parto, la obstetra que labora más de 10 años, manifiesta su 
descontento presentando una queja a recursos humanos. ¿Qué aspecto de la gestión de recursos humanos se ve 
afectado?",Salud mental,Ley del CAS,Trabajo social,Clima organizacional,D
"Dentro del enfoque de atención de persona, familia y comunidad, es el programa que tiene como objetivos fortalecer 
y proteger a sus integrantes, promoviendo su participación en espacios comunitarios, desarrollando acciones 
preventivas, promocionales, curativas, recuperativas y de rehabilitación. ¿A que enfoque corresponde?",Social,Familiar,Comunitario,Individual,B
"El laboratorio debe realizar el control de Hb en los pacientes bajo tratamiento de anemia, en el caso de las 
adolescentes y mujeres en edad fértil. ¿Cada cuánto tiempo debe ser realizado dichos controles luego de iniciado 
el tratamiento?",Cada mes hasta el final del tratamiento,"Al mes, tercer y sexto mes","Al segundo, cuarto y sexto mes",Al inicio y final del tratamiento,B
"En la UPSS de patología clínica se procesan las muestras de baciloscopía siendo obligatorio el uso del “Libro de 
registro de muestras para la investigación bacteriológica en tuberculosis”, a través del cual se elabora:",El control de calidad de baciloscopías,El consolidado nacional de la producción de baciloscopías,La guía de atención de pacientes con tuberculosis,El plan nacional de la estrategia de tuberculosis,B
"En el laboratorio, cuando se ha realizado el cambio de un agente cancerígeno como por ejemplo el xilol o xileno 
por otro reactivo inofensivo. ¿Qué estrategia para la reducción del riesgo se está aplicando?",Eliminación,Protección,Aislamiento,Reducción,A
"Los dos elementos principales que se registran en los estudios epidemiológicos son el ...... y el evento (conocido 
comúnmente como enfermedad).",factor de exposición,vector causal,vector de exposición,agente causal,A
"En un establecimiento de salud se está realizando un spot radial en idioma quechua para ser difundida en su radio 
local. Esto es un ejemplo de medio de expresión que garantiza la...",responsabilidad étnica.,creatividad.,diversidad cultural.,política radial.,C
"Luego de encontrar un resultado de baciloscopía positivo, corresponde al servicio de laboratorio:",Informar a las 24 horas a la estrategia de tuberculosis,Solicitar baciloscopías a los contactos,Solicitar la segunda muestra de esputo,Remitir la muestra para prueba de sensibilidad,D
"¿Cuál es la enfermedad zoonótica relacionada al acceso a saneamiento básico, se contagia a través del contacto 
con la orina de animales infectados o agua contaminada y su prevención a través de la protección de fuentes de 
agua, disposición adecuada de basuras y excretas, control de roedores y protección personal?",Peste,Tifus,Carbunco,Leptospirosis,D
"Serumista de un centro de salud que practica la salud materna a partir de conocer las prácticas tradicionales 
realizadas en la atención prenatal, del parto, del postparto y del manejo del recién nacido.  Respetando y 
comprendiendo las costumbres y prácticas ancestrales asociadas a la salud materna, estará haciendo uso de un 
enfoque:",Occidental,Tradicional,Moderno,Intercultural,D
"Para la realización del recuento de leucocitos en cámara de Neubauer. ¿Cuánta cantidad de sangre total y solución 
de Turk utilizaría?",20 ul sangre y 400 de sol. Turk,20 ul sangre y 375 de sol. Turk,25 ul sangre y 500 de sol. Turk,25 ul sangre y 475 de sol. Turk,D
"Todo servidor público debe ...… y ...… los bienes del Estado, debiendo utilizar los que le fueran asignados para el 
desempeño de sus funciones de manera racional, evitando su abuso, derroche o desaprovechamiento, sin emplear 
o permitir que otros empleen los bienes del Estado para fines particulares o propósitos que no sean aquellos para 
los cuales hubieran sido específicamente destinados.",usar / cuidar,atesorar / utilizar,proteger / conservar,ejecutar / depositar,C
"En el laboratorio clínico la adecuada segregación de residuos es importante para su correcta eliminación. ¿Qué 
color de bolsa corresponde para los residuos químicos?",Rojo,Amarillo,Negro,Verde,B
"El profesional SERUMS es un servidor público, por lo que se rige también al código de ética de la función pública. 
En una situación que comprometa su vinculación con alguna institución deberá actuar con absoluta imparcialidad 
en sus funciones, a ésto se le llama deber de:",Discreción,Transparencia,Neutralidad,Responsabilidad,C
"El responsable del establecimiento de salud, está recibiendo la relación y stock de materiales e insumos para la 
atención de la gestante y se percata que hay productos vencidos (hace un mes), que ya no pueden ser consumidos 
para la atención. ¿Cuál es el procedimiento a seguir?",Solicitar a farmacia la rotación a otro establecimiento de salud,Devolver a farmacia con informe,Mantenerlo en su stock hasta nuevo requerimiento,Eliminar el producto,B
"¿Cuáles son los productos finales del ASIS local, que se validan con los actores sociales en lo que llamamos el 
proceso de concertación?",Las líneas de acción y los territorios vulnerables priorizados,Análisis integrado y los territorios vulnerables priorizados,Análisis integrado y la lista de líneas de acción,Los problemas con impacto sanitario priorizado y la lista de líneas de acción,D
"Es toda actividad temporal o permanente, remunerada u honoraria, realizada por una persona en nombre o al 
servicio de las entidades de la administración pública, en cualquiera de sus niveles jerárquicos. Nos referimos a:",Función administrativa,Función pública,Función profesional,Función de gestión pública,B
La UPS de patología clínica se presenta en los establecimientos de salud a partir del nivel:,II-1,I-4,I-2,I-3,D
"Según el estudio de contactos. ¿Cuántos controles como mínimo deben recibir los contactos de casos de TB 
resistente?",6,4,3,2,A
