questions,option_A,option_B,option_C,option_D,correct_answer
"Obstetra serumista del C.S. San Hilarión, atiende a mujer perimenopáusica, que desea un método anticonceptivo que no 
le ponga en riesgo la disminución de su densidad ósea en el futuro. ¿Cuál es el método NO recomendado?",DIU,Anticonceptivo inyectable trimestral,Ligadura de trompas,Anticonceptivo hormonal oral,B
"Los pobladores de San Miguel participaron activamente con el personal de salud y las autoridades, logrando una política 
pública articulada de salud para la comunidad. Son acciones y resultados de:",Municipio saludable,Trabajo intersectorial en salud,Trabajo político de la comunidad,Familias saludables,B
"¿Cuál es la causa más frecuente de la hemorragia temprana que se presenta durante las primeras 24 horas del post 
parto, que puede llevar a la paciente al shock hipovolémico?",DPP,Atonía uterina,Ruptura uterina,Placenta previa,B
"En un establecimiento de salud. ¿Qué documento es un instrumento de mayor exactitud, para la verificación de prestación 
de trabajo y posterior otorgamiento de beneficios en función al tiempo de trabajo?",Registro de asistencia,ROF,Registro de permanencia,Orden de servicio,C
"Ud. es jefe de un establecimiento I-4 en la región norte del país y los boletines informativos de epidemiología indican un 
aumento de casos de melanomas por exposición a rayos UV en el último año. ¿A qué tipo de casos corresponden?",Reincidentes,Incidentes,Probables,Prevalentes,B
Los profesionales de salud para realizar procedimientos más seguros y sin errores deben aplicar correctamente la:,Resolución ministerial,Guía de práctica clínica,Norma técnica,Directiva administrativa,B
"La mortalidad materna es un reto en salud vigente desde la primera organización como sociedad, siendo la pobreza un 
reto difícil de romper. ¿Qué estrategia esencial se implementa para ello?",Sistema de referencia y contrarreferencia,Aumento de cobertura en atención primaria,Capacitación al personal de salud,Mejorar brechas de acceso al establecimiento de,B
"Un establecimiento de salud con población asignada que cuenta con médico cirujano, profesionales de enfermería y 
obstetricia, y personal técnico de enfermería; si recibe una gestante en periodo expulsivo. ¿Cuál es la conducta a seguir?",Atender el parto,Referirlo a un hospital,Referirlo a un EESS I-4,Referirlo a un EESS I-3,A
"Obstetra serumista realiza visita domiciliaria a gestante en un caserío de la ciudad de Pasco, evidenciando un incremento 
considerable en los resultados de hemoglobina. ¿Cuál es la causa probable?",Latitud,Altitud,Suplementos  nutricionales,Plumbismo crónico,B
"La organización mundial de la salud ratifica la importancia de la actividad física y la considera como el factor que interviene 
en el estado de salud de las personas y la define como la principal estrategia en prevención de la ...",morbilidad.,obesidad.,mortalidad.,letalidad.,B
"Como medida preventiva de la anemia por deficiencia de hierro, la medición de la hemoglobina post parto en la puérpera 
en condiciones normales. ¿A cuántos días se recomienda?",45,60,30,90,C
"El jefe del establecimiento de salud nivel I-2 ha identificado que existe necesidad de otro personal técnico para las visitas 
domiciliarias, porque no se logran las metas programadas. ¿En qué instrumento de gestión se debe programar 
este recurso?",Plan de salud local,Plan estratégico,Plan operativo,Presupuesto por resultados,C
"En un establecimiento de salud I-4, mujer de 25 años, recibió esquema de tratamiento para TB, pero indica que los 
síntomas continúan, y que su hija menor de 5 años, también fue diagnosticada de lo mismo. ¿Qué principio del uso de 
medicamentos antimicrobianos NO se aplicó?",Calidad,Resistencia,Concentración,Biodisponibilidad,B
"¿Cuál es la ciencia que investiga la distribución y magnitud de los fenómenos patológicos, la forma en que varían entre 
las diferentes poblaciones y circunstancias con las que se asocian?",Epidemiología,Salud pública,Tanatología,Antropología,A
"Neonato de 8 horas de parto domiciliario, en zona rural. Deben recibir BCG y HvB. ¿Cuál es el tiempo ideal para 
recibirlas?",Dentro de las 24 horas,Hasta un mes,Hasta un año,Dentro de una semana,A
"En una comunidad donde no tiene agua segura, saneamiento básico y muy frecuente a las lluvias por el cambio climático, 
la población esta expuestas a:",Riesgo ambiental,Contaminación ambiental,Pobreza y salubridad,Riesgo físico y químico,A
"El obstetra responsable del PCITS debe realizar la prevención combinada para la prevención del VIH, dentro de la que 
se encuentra la medida de intervención conductual para disminuir conductas de riesgo. ¿Cuál es la actividad 
que corresponde a esta medida?",Diagnóstico y tratamiento de ITS,Tratamiento antirretroviral,Consejería pre test,Entrega de preservativos,C
"Las condiciones en que viven las personas y sus experiencias de convivencia que condicionan su salud, son 
determinantes de tipo:",Pobreza,Social,Económico,Ambiental,B
"De las competencias médico legales que implica la intervención de actos de violencia contra mujeres e integrantes del 
grupo familiar, se considera como prueba complementaria:",Certificado médico,Informes de salud mental,Prendas de la victima,Informe de salud física,C
"En un establecimiento de salud de atención primaria todo el equipo de salud se ha propuesto un objetivo en común que 
busca disminuir las tasas de anemia en las gestantes y niños menores de 5 años; para ello se han capacitado en el tema 
y vienen desarrollando un plan de seguimiento nutricional junto a enseñar la preparación de sus comidas con alimentos 
ricos en hierro de casa en casa; lo hacen con mucho compromiso y empeño para lograr la meta. Esto demuestra que 
tienen una buena ......",cultura organizacional.,resistencia al cambio.,conducción del cambio.,gerencia social.,A
"En una comunidad amazónica se registra un brote de malaria por Plasmodium falciparum, donde dos niños fallecieron de 
un total de 50 pacientes (4%) confirmados con gota gruesa y PCR. ¿Cuál es la medida epidemiológica de frecuencia 
referida?",Tasa de mortalidad general,Incidencia acumulada,Tasa de letalidad,Tasa de ataque,C
"Uno de los principales avances es el aumento del uso del sistema financiero por parte de las usuarias del Programa 
Juntos; además, a través de acuerdos entre la Superintendencia de Banca, Seguros y AFP (SBS), el Ministerio de 
Desarrollo e Inclusión Social (MIDIS) y los gobiernos locales. Esto es un ejemplo de:",Política nacional,Calidad de servicio,Coordinación intersectorial,Plan estratégico,C
"En un establecimiento de salud de primer nivel de atención se ha identificado un brote de sarampión, por tanto el 
responsable de la vigilancia epidemiológica debe notificar ....... a su instancia superior.",a los 7 días de identificado el evento,de manera inmediata,cuando tenga un número real de casos,a las 48 horas de su confirmación,B
"Mujer de 30 años, acude a consulta externa de un establecimiento de salud de primer nivel; a la anamnesis refiere tos 
con flema, hemoptisis, fiebre y sudoración nocturna. ¿Cuál es el diagnóstico de caso?",Presuntivo de TB,TB resistente,Influenza,TB pulmonar,A
"El serumista de un establecimiento debe conocer el perfil de salud-enfermedad de su jurisdicción, así como los daños, 
problemas de salud y determinantes que influyen en la salud; sean del sector o de otros. ¿En qué documento de gestión 
se consolida?",Mapa de pobreza,Análisis de situación de salud,Modelo cuidado integral,Boletín epidemiológico,B
"Para el abastecimiento de insumos de farmacia de un establecimiento de salud se establece una ....... con el proveedor 
de tal manera que ellos le agregan valor a la entrega de un producto haciéndose responsable del bodegaje y luna 
capacitación para el adecuado almacenamiento y conservación del mismo.",gestión de insumos,distribución oportuna,alianza estratégica,negociación comercial,C
"Durante la evaluación de los cuidados integrales de un adolescente varón de 16 años que vive solo con su hermana 
mayor de 20 años se identifica que ha iniciado relaciones sexuales hace 1 año, a la fecha con 3 parejas sexuales de su 
misma edad y sin uso de preservativo. ¿Qué prescribe en este caso?",Consejería de salud sexual y reproductiva,"Prueba rápida de VIH, sífilis y hepatitis B",Educación en I.E. sobre sexualidad saludable,Consejería en estilos de vida saludables,B
"En un centro de salud I-4, el nuevo médico jefe ha reestructurado el rol central de esta institución, la población objetivo 
asignada y los atributos de la entidad. Esta construcción de elementos se denomina:",Misión,Objetivo,Visión,Indicador,A
