questions,option_A,option_B,option_C,option_D,correct_answer
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Hemorrágico con signos de alarma,Grave,Probable con signos de alarma,Confirmado sin signos de alarma,C
"La ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el 
derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios debe cumplir en la atención a la población 
objetivo?","Solidaridad, orden, deber y derecho","Fraternidad, moral, deber y orden","Orden, fraternidad, moral y derecho","Orden, moral, deber y derecho",D
"Dentro del parámetro recomendado para valorar el grado de obesidad en el adulto. ¿Cuál es el IMC considerado como 
obesidad tipo II?",40-49.9,35-39.9,30-44.9,25-39.9,B
En el esquema de tratamiento básico para brucelosis. ¿Cuál es el tiempo mínimo de tratamiento en semanas?,2,4,6,8,C
"En referencia al cuidado integral de salud de las personas adultas mayores en el primer nivel de atención. ¿Qué tipo de 
indicador se usa para identificar adulto mayor en riesgo o malnutrición?",Perfil proteico,Dietéticas,Medidas antropométricas,Composición corporal,C
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Comunes,Básicos,Esenciales,Genéricos,C
"Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales 
interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?",Determinante social,Vías de cuidados,Cuidado integral,Curso de vida,D
"Cuando el trabajador de salud cultiva los propios estilos de vida y promueve la identidad de la persona, familia, comunidad, 
grupo o sociedad desde el reconocimiento de sus valores históricos, sociales y culturales; está haciendo uso del principio de...",integridad.,respeto.,dignidad humana.,autonomía.,D
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Metodología,Introducción,Marco teórico,Resultados,A
"La ética sugiere aquello que es deseable y condena lo que no debe hacerse, mientras que la deontología cuenta con las 
herramientas administrativas para garantizar que la profesión se ejerza de manera ética. ¿Con qué debe contar un profesional 
de la salud para su ejercicio profesional?",Currículo vitae documentado,Diplomados,Estudios de posgrado,"Título profesional, colegiatura",D
