questions,option_A,option_B,option_C,option_D,correct_answer
"Generalmente, las tasas de morbilidad o mortalidad brutas deben ajustarse para ser útiles en la comparación de 
poblaciones diferentes, el factor de ajuste más habitual es la distribución por:",Edades,Grado de exposición,Ingresos,Estado civil,A
"Supervisar implica necesariamente comunicarse con las otras personas de una manera apropiada y significativa. La 
comunicación adecuada simplifica la supervisión, se aplica el principio de ....... en el proceso de control.",planeación,comunicación,enseñanza,liderazgo,B
"Un profesional no titulado realiza labores de detección de coronavirus, por eso para informar sus resultados usa el sello 
y firma de un colega colegiado. Este comportamiento es una falta ética relacionada al...",pago de obligaciones pecunarias.,ausentismo y negligencia.,propiedad intelectual.,ejercicio profesional.,D
"En el laboratorio, se produce un pinchazo con material contaminado con muestra de un paciente. Se procedió a lavar 
inmediatamente la zona con abundante agua y jabón permitiendo la salida de sangre. ¿Cuál es la acción inmediata a 
considerar?",Comunicar al médico para ser evaluado,No comunicar el incidente,Hacer seguimiento de la muestra,Referir la muestra del paciente,A
"El análisis de la situación de salud realizado en el establecimiento de salud de Puno nos indicó que se contaba con un 
90% de pacientes adultos mayores en horario de mañana a comparación de niños y adolescentes, lo cual determinó 
modificación en el número de personal y servicios a brindar en la institución. ¿Qué etapa del ASIS se cumple?",Identificación y priorización de problemas,Análisis de datos y de factores causales,Análisis de riesgos de salud,Estrategias para solución de problemas,A
"Al evaluar una nueva prueba diagnóstica, se realizan diversos cálculos, uno de ellos es la proporción de sujetos con una 
prueba negativa que no presentan la enfermedad, siendo este parámetro:",Valor predictivo positivo,Falsos negativos,Valor predictivo negativo,Falsos positivos,C
"La vigilancia centinela del rotavirus en el Perú, implementada desde el 2016, permite identificar genotipos prevalentes, 
monitorear la variabilidad genética y generar evidencia para la introducción de nuevas vacunas. Esta estrategia es un 
claro ejemplo de uso de la vigilancia epidemiológica para:",Conocer la historia natural de la enfermedad,Identificar brotes y epidemias,Monitorear los cambios de agentes infecciosos,Determinar la distribución geográfica,C
"En la dinámica demográfica es uno de los fenómenos más estrechamente ligados a la salud, caracterizándose por ser 
irreversible, no renovable e inevitable. Este concepto corresponde a:",Mortalidad,Natalidad,Enfermedad,Fecundidad,A
"En los centros y puestos de salud, el ...... asume la responsabilidad de la gestión del SISMED debiendo designar a un 
responsable de farmacia y garantizar el soporte logístico y administrativo necesario.",médico,químico farmacéutico,administrador,jefe del establecimiento,D
"El personal de salud fue designado a una comunidad indígena donde el 50.7% de mujeres no conoce sobre ITS y las 
hace vulnerables para contraer VIH/SIDA. Debe implementar acciones de información a esta población, tomando en 
cuenta sus características culturales, garantizando el derecho a la atención en salud. ¿A qué corresponden estas 
acciones?",Diálogo cultural,Pertinencia cultural,Inclusión social,Interculturalidad en salud,B
"¿Cómo se conocen a aquellos medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el 
país y que han demostrado ser comparativamente seguros, eficaces y costo efectivo?",Esenciales,Huérfanos,Genéricos,De estrategias sanitarias,A
"El cambio demográfico es el factor más relevante en el fenómeno de ...... resultante de las tasas de mortalidad y fertilidad, 
principalmente. Los fenómenos que producen los cambios son los que generan una modificación en el perfil etario de las 
poblaciones y en el perfil de salud, así como en la expectativa de vida.",cambios en estilo de vida,transición epidemiológica,cambios ambientales,cambios en antigenicidad,B
