questions,option_A,option_B,option_C,option_D,correct_answer
"El formato que el usuario (paciente) presenta para la atención en el laboratorio de los establecimientos del Ministerio de Salud, 
recibe el nombre de...",solicitud de análisis.,historia clínica.,ficha de petitorio.,orden del médico.,A
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Población indígena,Salud pública,Interculturalidad en salud,Cultura,C
"La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?",Todo el personal de salud y autoridades locales,El responsable de epidemiologia y jefe de establecimiento,Promotores de salud y responsable de promoción de la salud,Coordinadores de red y responsable de epidemiología,A
"Para investigar la relación entre la anemia y el peso de niños de 6° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y el peso a todos ellos. ¿Qué método de investigación está realizando?",Observacional,Mixto,Experimental,Cuasi experimental,A
"El personal de un establecimiento de salud desea saber lo que debe desarrollar prioritariamente. ¿Qué componente debe 
conocer para orientar sus objetivos estratégicos?",Valores,FODA,Misión,Visión,C
"Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer 
una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?",Elegir los objetivos de estudio,Revisar literatura científica sobre el tema,Definir sus instrumentos de medición,Elaborar su pregunta de investigación,B
"Un servidor público brinda información de un diagnóstico médico a personas de la comunidad. ¿Qué principio ético 
está vulnerando?",Respeto,Seguridad,Confidencialidad,Individualidad,C
"La búsqueda de la mejor calidad en el laboratorio clínico es compleja y sujeta a comportamiento observado en todas sus 
fases (variables), las que se pueden valorar a través de los:",Errores,Reclamos,Indicadores,Objetivos,C
"Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe 
considerar para el archivo pasivo de historias clínicas que no han sido requeridas?",Más de 15,Más de 10,Más de 1,Más de 5,D
"En su comunidad observa con mucha frecuencia casos de alcoholismo en varones y también violencia física de ellos contra 
sus esposas, para investigar en el menor tiempo posible, si hay asociación entre el alcoholismo y la violencia familiar. ¿Qué 
diseño de estudio elegirá?",Cohortes,Cuasi experimental,Analítico,Descriptivo,C
"En la fase analítica del trabajo de laboratorio se necesita controlar la precisión para detectar errores en los máximos tolerables 
en las medidas. ¿Qué debe usar?",Control interno,Curva de calibración,Control externo,Repetir el factor,A
Para eliminar la posible contaminación de material médico por esporas. ¿Cuál es el procedimiento indicado?,Limpiar,Esterilizar,Lavar,Desinfectar,B
"Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.",soporte,intervención,análisis,riesgo,B
"Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la 
violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?",Probabilístico,Descriptivo,Inferencial,Inductivo,C
"Todos los laboratorios locales que realizan diagnóstico de malaria deben enviar para control de calidad, a su nivel inmediato 
superior, el ……% de sus láminas positivas.",50,100,80,60,B
"Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, 
las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:",Petitorio de los mismos medicamentos,Uso de medicamentos genéricos,Uso irracional de medicamentos,Uso adecuado de medicamentos de marca,C
"En los laboratorios del primer nivel de atención que cuenten con la capacidad de realizar la determinación de glicemia en 
ayunas. ¿Cuál es el valor a considerar como parte del diagnóstico de diabetes en mg/dl?",120,126,110,116,B
"Milena, una obstetra serumista coloca una ampolla intramuscular de metamizol a una gestante que viene con fiebre, minutos 
después siente mareos, nauseas y se observa en la zona de aplicación un rash; por tanto ella debe consignar en la historia 
clínica de manera obligatoria las sospechas de reacciones adversas, reportarlas en el formato correspondiente y remitirlo al 
comité de ...... y tecnovigilancia de la IPRESS en los plazos correspondientes.",control interno,auditoría interna,farmacovigilancia,auditoría externa,C
"Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?",Financiamiento de la salud eficiente y equitativo,Asegurar el acceso y el uso racional de medicamentos,Desarrollo de recursos humanos para la salud,Acceso equitativo a servicios de salud integrales y de calidad,D
"Usted llega a una comunidad a realizar su SERUMS y observa que en el periodo anterior se diagnosticó linfoma en niños 
derivados a mayores niveles de atención. ¿Con qué factores de riesgo lo asocia?",Infecciones bacterianas,Infecciones virales,Radiación ionizante,Tóxicos y químicos,B
"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió 
su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición 
considera fue contrarreferido?",Curado,Retiro voluntario,Deserción,Mejorado,D
"En un establecimiento de salud que tiene bajos indicadores de desempeño, se desea realizar un concepto compartido para 
un futuro mejor, pues cada quien tiene una idea diferente de lo que se quiere lograr. ¿Qué componente estratégico se debe 
plantear entre todos?",Visión,FODA,Valores,Misión,A
"Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos 
problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?",Proyecto de mejora,Clima organizacional,Recursos humanos,Plan de acción,B
"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la 
literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Artículo original,Revisión sistemática,Reporte de caso,Carta al editor,B
"Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?",Económico,Comercial,Estructural,Intermedio,C
"La ética sugiere aquello que es deseable y condena lo que no debe hacerse, mientras que la deontología cuenta con las 
herramientas administrativas para garantizar que la profesión se ejerza de manera ética. ¿Con qué debe contar un profesional 
de la salud para su ejercicio profesional?","Título profesional, colegiatura",Currículo vitae documentado,Estudios de posgrado,Diplomados,A
"La anemia ferropénica es la más comúnmente detectada en el primer nivel de atención, en la etapa de vida adolescente los 
varones o mujeres entre 12 a14 años a menos de 500 msnm deben tener un valor normal de Hb (g/dl) de:",≥ 12,≥ 10.5,≥ 13.5,≥ 11,A
"En la enfermedad de la tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",necesaria pero no suficiente.,de tipo ambiental.,no necesaria pero suficiente.,necesaria y suficiente.,A
"Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de 
su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?",Específico para hepatitis A,Exclusivo para dolor oncológico,Para métodos de planificación familiar,Controlado para infecciones intrahospitalarias,B
"Para garantizar la calidad de los servicios de laboratorio clínico, todos los laboratorios de primer nivel deben realizar control 
de calidad…",interno.,inopinado.,externo.,interlaboratorial.,D
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-3,I-1,I-4,I-2,D
"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",Cuando se reporta el VEA de la semana,De manera inmediata,Hasta las 48 horas,Al alta de los pacientes,B
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Introducción,Resultados,Marco teórico,Metodología,D
"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a 
las cuales debe alinear sus objetivos operativos.",acciones institucionales,desarrollos institucionales,estrategias institucionales,organizaciones institucionales,C
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.",DIGESA,DIGEMID,CENSOPAS,CENARES,B
"En la atención al usuario en la fase post analítica, los formatos de resultados de laboratorio clínico son establecidos por:",La red integrada,El establecimiento,El ministerio,La dirección de redes,B
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Informar a los familiares,Medidas de mejora en el EESS,Notificarlo al nivel inmediato superior,Mejorar el proceso de atención sanitaria en EESS,C
"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Práctica,Estilo de vida,Autocuidado,Hábito saludable,B
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",restringir o acortar,atenuar o eliminar,controlar o mantener,diferir o mitigar,B
"Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de 
las enfermedades...",crónicas / infecciosas.,degenerativas / infecciosas.,infecciosas / prevalentes.,infecciosas / crónicas.,D
"¿Cuál es el tipo de prevención cuyo objetivo es disminuir el avance y las complicaciones de la enfermedad establecida, 
mediante acciones orientadas a disminuir las secuelas y la discapacidad?",Terciaria,Secundaria,Primaria,Cuaternaria,A
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",La aparición de enfermedades epidémicas,El aumento en la incidencia de enfermedades,El surgimiento de nuevas enfermedades,Las crisis psicosociales,B
