questions,option_A,option_B,option_C,option_D,correct_answer
"Se encuentra usted en un centro de salud donde el ingreso es mediante transporte fluvial y debido a la temporada de 
lluvias no puede llegar el equipo especialista; con el fin de resguardar su seguridad les indican que realizaran la reunión 
de soporte técnico de forma virtual, para todo el personal involucrado del establecimiento de salud. ¿Qué tipo de servicio 
de telesalud se aplica?",Telemedicina,Telemonitoreo,Telecapacitación,Teleconsulta,C
"La IPRES busca identificar estrategias para lograr sus objetivos institucionales en un periodo de 3 años incluidos en el 
plan multianual. ¿Cuál es el instrumento de gestión al que debe alinear sus objetivos?",PEI,PDC,POI,PIA,A
"Se observa que hay migrantes de la selva que viven en un asentamiento humano de un distrito de Lima, que son 
discriminados y rechazados por los pobladores del distrito donde pernoctan. ¿Qué acciones debe realizar como personal 
de salud?",Reforzar la interacción cultural,Normalizar el comportamiento de la comunidad,Imponer acciones socio educativas,"Cambiar hábitos, costumbres y creencias",A
"Recién nacido vivo de parto institucional es afiliado al Seguro integral de Salud del centro materno para recibir sus 
atenciones. En el marco de la atención primaria en salud. ¿Qué objetivo esencial está cumpliendo?",Servicios centrados en la persona,Políticas públicas saludables,Cobertura universal,Liderazgo,C
"¿Cuál es el documento en el que se registra los datos de identificación y de los procesos relacionados con la atención 
del paciente, en forma ordenada, integrada, secuencial e inmediata a la atención que el profesional de la salud brinda al 
paciente?",Consentimiento informado,Epicrisis,Historia clínica,Informe de alta,C
"Un instrumento de medición es un recurso que utiliza el investigador para registrar información o datos fidedignos sobre 
los que deberán basarse la planificación, la práctica y las acciones sobre las variables que tiene en mente ejecutar, es 
por esto que existen tres requisitos que el instrumento de medición elegido debe cumplir: confiabilidad, validez y ...",autonomía.,subjetividad.,variabilidad.,objetividad.,D
"En una localidad, el agente comunitario del EESS, realiza visitas domiciliarias a los recién nacidos, para brindar 
orientación con respecto a la lactancia materna exclusiva. Esta acción fortalece la:",Prevención secundaria,Participación comunitaria,Tasa de natalidad,Transición epidemiológica,B
"El EESS San Fernando busca brindar atención integral con calidad, equidad y eficiencia a sus usuarios del distrito de 
SJL, ofreciendo adecuados servicios asistenciales, preventivo promocionales y recuperativos, con equipos de trabajo 
líderes e innovadores y la participación de la comunidad para satisfacer sus necesidades en salud y mejorar la calidad de 
vida. Esta estrategia se refiere a:",Clima organizacional,Misión institucional,FODA,Visión institucional,B
"Paciente con enfermedad terminal manifiesta al médico de cuidados paliativos la necesidad de regresar a su pueblo. La 
semana siguiente es el control de pruebas de sangre. El médico acuerda con la familia autorizar el viaje, luego de realizar 
los exámenes de laboratorio y obtener los resultados, con la condición de regresar antes de su próximo control y cumplir 
con las indicaciones brindadas. En relación a la atención centrada en la persona. ¿Qué dimensión clave se está 
aplicando?",Alianza terapéutica consensuada,El profesional como centro del proceso,Compartir poder y responsabilidad,La perspectiva biopsicosocial,C
"Gestante migrante quechua hablante, que acude para atención a su establecimiento de salud tiene derecho a ...",presencia solo de pareja.,acompañamiento de familia.,servicios de salud con adecuación cultural.,traductor de idioma original.,C
"Personal de salud fue designada a una comunidad indígena donde el 50.7% de mujeres no conoce sobre ITS y las hace 
vulnerables para contraer VIH/SIDA. Debe implementar acciones de información a esta población, tomando en cuenta 
sus características culturales, garantizando el derecho a la atención en salud. ¿A qué corresponden estas acciones?",Diálogo cultural,Pertinencia cultural,Inclusión social,Interculturalidad en salud,B
"La presencia de fatiga, palidez, caída de cabello y tendencia a comer tierra en niños podría significar que presentan:",Anemia,Diarrea,Resfrío,Dengue,A
"En su establecimiento de salud se ha verificado problemas en la segregación de residuos biocontaminados por la falta de 
recipientes, utilizando tachos de residuos comunes, lo que constituye un problema dentro de los factores ambientales 
ocasionando ...",contaminación atmosférica.,riesgos laborales.,riesgos higiénicos.,calidad sanitaria.,B
"Supervisar implica necesariamente comunicarse con las otras personas de una manera apropiada y significativa. La 
comunicación adecuada simplifica la supervisión, se aplica el principio de ....... en el proceso de control.",liderazgo,comunicación,enseñanza,planeación,B
"El P.S. de la comunidad de Angora no cuenta con cirujano dentista, los pacientes son referidos al C.S. Huasahuasi, 
teniendo que caminar 8 horas porque no se cuenta con carretera; esto ocasiona que muchos no asistan al C.S. para su 
atención odontológica; incrementándose los problemas de salud bucal. En el marco de la Atención Primaria en 
Salud. ¿Qué atributo se está vulnerando?",Primer contacto,Integralidad,Continuidad,Accesibilidad,D
"Luego de una investigación sobre anemia en el Perú, el investigador principal presenta resultados parcialmente 
convenientes para justificar más presupuesto a la entidad financiadora. Dicho profesional está incurriendo en una falta de 
tipo:",Intelectual,Administrativa,Judicial,Deontológica,D
"Dentro de las estrategias planteadas en el establecimiento de salud en el área niño para la cobertura de sus indicadores 
de gestión se estableció trabajo intra y extramural el cual abarca coordinar con municipalidades, colegios e instituciones 
de la jurisdicción para la realización de un trabajo conjunto que incida en mejorar el vínculo entre instituciones así como 
también se estableció la participación de empresas privadas de la jurisdicción. ¿Qué principio del sistema de salud se 
toma en cuenta?",Sostenibilidad,Participación,Intersectorialidad,Orientación a la calidad,C
"Varón de 24 años, se acerca al establecimiento de salud para un descarte tuberculosis. La notificación del caso es de 
carácter obligatorio en todas las IPRESS, ya que la misma se encuentra alineada a la estrategia para controlar la 
transmisión de tuberculosis a nivel nacional, todo esto en el marco de la:",Identificación y detección de casos,Reinfección de la enfermedad,Vigilancia epidemiológica,Censo y seguimiento de contactos,C
"Analizando los resultados de las principales patologías nutricionales que conforman el ASIS institucional encontramos en 
la etapa de vida adulto a la obesidad con mayor incidencia. Los factores económicos, sociales, estilos de vida y patrones 
culturales son parte causal de dicha patología. ¿Desde el punto de salud pública que estamos analizando?",Proceso salud enfermedad,Evaluación sanitaria,Análisis situacional,Intervención sanitaria,A
"Un estudio realizado en la población asignada a su IPRESS concluye que los niños cuyos padres son separados 
presentan el doble de riesgo de desnutrición. ¿En qué sección del informe encontrará los alcances, las limitaciones 
metodológicas y la comparación con estudios similares en otra población?",Metodología,Discusión,Resultados,Introducción,B
"Conocer las practicas tradicionales en la atención prenatal, parto y post parto, así como del manejo del recién nacido, 
para comprender y respetar las costumbres y practicas ancestrales de una gestante que acude al EESS de una localidad, 
es el uso de:",Enfoque intercultural,Medicina tradicional,Diálogo intercultural en salud,Pertinencia étnica,A
"Una evaluación de causalidad de sospecha de RAM realizada sobre una población de 500 habitantes en un periodo de 1 
año, se registraron 15 casos de rash post administración de ciprofloxacino 500 mg tableta vía oral de la marca X, mientras 
que se evidenciaron 3 casos de rash con la administración de ciprofloxacino marca Y. ¿Qué tipo de diseño de 
investigación se debe aplicar?",Casos y Controles,Prospectivo,Cohorte,Experimental,C
"En la provincia de Huánuco los establecimientos de salud pertenecientes a la Microred 2 mantienen una alta cobertura 
de atenciones, captando al 95% de su población, mostrando una ubicación geográfica de adecuada accesibilidad a la 
población. ¿Dentro del componente calidad del modelo de atención, qué característica se evidencia?",Tecnología apropiada,Evaluación demográfica,Innovación,Accesibilidad a servicios de salud,D
"El equipo de trabajo para evaluación de brote de IAAS, es presidido por ...",Director del EE.SS.,Jefe de Departamento de Enfermería,Responsable de Epidemiología,Responsable de prevención y control de IAAS,A
"Dentro de los factores de riesgo de un paciente obeso que sigue un plan nutricional, el desequilibrio o circunstancias de 
alteración puede dar la probabilidad de padecer la enfermedad. ¿Cómo se denomina a este fenómeno?",Enfermedad no transmisible,Proceso mórbido,Enfermedad transmisible,Interacción negativo,D
"Dentro de las acciones de salud ocupacional en su centro laboral, se ha determinado en el personal de salud adulto mayor 
evaluar la incidencia de diabetes, obesidad e hipertensión en los últimos meses. ¿Qué actividad se debe realizar para la 
prevención y control?",Respuesta a tratamiento,Control de eventos no infecciosos,Numero de infecciones presentadas,Numero de controles médicos,B
"Las actividades operativas son componentes del POI de la IPRESS. ¿Cuál de las siguientes alternativas corresponde a 
una actividad operativa?",Contratar los servicios de instalación de sistema de cloración para agua,Preservar el buen estado de salud de la población infantil,"Acceder a agua segura, hábitos de aseo personal y lavado de alimentos",Reducir las enfermedades diarreicas agudas en la población infantil,A
"El centro de salud donde realiza su SERUMS ha registrado varios casos de leucemia infantil en los últimos años, por lo 
que tiene interés de investigar los factores asociados. ¿Qué tipo de estudio será el más conveniente?",Descriptivo,Cohortes prospectiva,Casos y controles,Ensayo clínico,C
"Con el objetivo de brindar una mejora calidad de servicio, las instituciones de salud realizan diversas implementaciones 
para impulsar sus productos y/o servicios a través de estándares internacionales como las ISO. ¿A qué corresponde este 
proceso?",Programa operativo,Sistema control,Mejora continua,Plan estratégico,C
"El medico responsable del CS Lince ha sido designado a realizar la intervención para el control de brechas designando 
equipos con los médicos de guardia, estableciendo responsables y objetivos por día para el cumplimiento de la meta 
designada ¿Qué herramienta técnica está aplicando?",ASIS,Asignación de personal,Plan local de salud,Plan operativo institucional,C
"Al evaluar una nueva prueba diagnóstica, se realizan diversos cálculos, uno de ellos es la proporción de sujetos con una 
prueba negativa que no presentan la enfermedad, siendo este parámetro:",Falsos negativos,Valor predictivo positivo,Falsos positivos,Valor predictivo negativo,D
"En una organización de salud, la percepción colectiva de satisfacción de los/las servidores/as civiles sobre el ambiente 
de trabajo se conoce como:",Clima organizacional,Cultura organizacional,Sistema de la organización,Promoción de la organización,A
"En la inducción de ingreso al EESS Pimentel, le piden explicar el proceso que se inicia con la exposición de un huésped 
susceptible a un agente causal y sin intervención de los servicios, termina con la recuperación, la cronicidad, la 
discapacidad o la muerte. ¿A qué corresponde este proceso?",Historia natural de la enfermedad,Contexto epidemiológico,Cadena de transmisión,Cadena epidemiológica,A
