questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuáles son las alteraciones de los párpados?,"Ptosis, triquiasis, edema de párpado","Ptosis, entropión, ectropión","Edema de párpado, distriquiasis, ectropión","Entropión, edema de párpado, distriquiasis",B
"La calidad de atención percibida por el paciente cuando la recibe con criterio profesional, hace referencia a:",Calidad técnica,Calidad corporativa,Modelos de calidad,Calidad funcional,A
"Mujer de 40 años presenta fotofobia y dolor ocular intenso. Al realizar el examen externo se encuentra hiperemia 
conjuntival alrededor del limbo. ¿Cuál es el diagnóstico presuntivo?",Cuerpo extraño,Queratitis,Conjuntivitis,Glaucoma,B
"El reporte de la última vigilancia vectorial de Aedes aegypti en una comunidad es IA=3, por lo que el personal 
programa el control focal al 100% de viviendas; esta actividad debe promover la participación de la comunidad en 
el control larvario físico / mecánico, que consiste en:",Nebulización espacial y eliminación de criaderos en coordinación con las autoridades,Uso de larvicida al 100% de viviendas con potenciales criaderos,Control biológico y uso de larvicida en viviendas con criaderos positivos,Cepillar y tapar recipientes de agua y eliminar o disponer adecuadamente los potenciales criaderos,D
¿Cuál es el límite superior normal de la presión intraocular en mmHg para una persona de 70 años?,23,21,20,25,A
"El personal de salud del establecimiento realiza la evaluación de riesgo cardiovascular a un joven de 26 años; 
obteniendo un riesgo alto según tabla. ¿Mediante qué procedimiento se obtuvo la valoración del riesgo?",IMC,Perímetro abdominal,Glucometría,Dosaje de TSH,B
"Varón de 10 años acude a la consulta, acompañado de su madre refiriendo que tiene dolores de cabeza, no ve 
bien la pizarra, en la evaluación se observa que la agudeza visual se encuentra disminuida 20/70 ambos ojos ¿Cuál 
es la clasificación de su deficiencia visual según la OMS?",Leve,Moderada,Ceguera,Grave,B
"¿Se lleva a cabo una reunión entre personal del C.S. y personal de I.E.? para organizar campaña de despistaje 
visual y detectar problemas visuales y ser derivadas al establecimiento de salud para intervención de problemas 
refractivos. ¿Qué estrategia en salud pública se esta aplicando?",Gobernanza,Comunicación en salud,Interdisciplinariedad,Intersectorialidad,D
"Es la entrega de servicios de salud de acuerdo con los parámetros culturales de los/as usuarios/as; es decir, 
construidos a través de espacios de diálogo, en los que prestadores y usuarios/as acuerdan cuáles deben ser 
las características de los servicios que les son ofertados por parte del Estado:",Interculturalidad en salud,Adecuación cultural,Pertinencia cultural,Diversificación intercultural,C
"Pobladores de Jacaita anexo de Lunahuaná, traen al centro de salud un niño de 3 años de edad por presentar en 
forma crónica secreción muco-purulenta, lagrimeo moderado y enrojecimiento ocular en ambos ojos. ¿Cuál es el 
principal factor asociado a este problema?",Pobreza,Desconocimiento de los padres,Desinterés de los padres,Falta de saneamiento básico,D
"¿Cuál es la medida básica de bioseguridad más importante que debe cumplir el tecnólogo médico en optometría 
durante su labor asistencial?",Uso de mandilón impermeable,Aislamiento social,Uso de mascarilla N95,Lavado de manos,D
"Mujer de 30 años, refiere escozor, sensación de cuerpo extraño, sensación de arenillas, fotofobia y lagrimeo. Al 
examen se encuentra: Hiperemia conjuntival, secreción purulenta, edema conjuntival, ptosis, edema palpebral y 
alteraciones tisulares en papilas. ¿Cuál es el diagnóstico presuntivo, tratamiento inicial y la medida a seguir?","Conjuntivitis vírica, gentamicina, referencia oftalmología","Queratitis, clorfenamina, interconsulta medicina general","Conjuntivitis bacteriana, asepsia, interconsulta a medicina general","Conjuntivitis estacional, asepsia, referencia a oftalmología",C
"En el neonato, el contacto piel a piel, la lactancia materna y la vacunación. ¿A qué tipo de prevención corresponden?",Secundaria,Cuaternaria,Terciaria,Primaria,D
"Varón acude al establecimiento I–2 y solicita al jefe información acerca del tratamiento que su esposa se realiza en 
Planificación Familiar todos los meses, está muy alterado. El jefe del establecimiento informa que debe guardar 
reserva respecto a la información referente a su esposa. ¿Qué deber del servidor público se está aplicando en este 
caso?",Responsabilidad,Discreción,Neutralidad,Transparencia,B
"Se lleva a cabo una campaña preventiva de higiene de manos donde participa todo el personal de salud conformado 
por médico serumista, enfermera y técnico de enfermería. ¿A qué categoría pertenece este establecimiento?",II-2,III-2,I-3,II-1,C
"En el establecimiento de salud el director saluda de forma amable a todo el personal que va llegando, se trabaja en 
equipo, hay posibilidades de capacitación, apoyo en las funciones, comportamiento ético de parte del jefe y buen 
trato con los servidores. En este establecimiento existe...",buen clima organizacional.,buena planificación.,cultura organizacional adecuada.,dirección y liderazgo.,A
