questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 78 años, hipertenso, refiere haber sido mordido en la cara por perro callejero. En la atención integral. ¿Cuál es la 
actitud?",Control de hipertensión y no vacuna antirrábica,"Vacuna antirrábica, consejería para casa",Vacuna antirrábica y control de hipertensión,Consejería y no vacuna antirrábica,C
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Esenciales,Genéricos,Comunes,Básicos,A
"Niño de 12 años, acude al EESS I-4 con dolor y edema ocasionado por mordedura de araña en su casa. ¿Cuál es la 
indicación?","Observación clínica, sin suero anti arácnido",Suero anti arácnido y observación clínica,Observación clínica y envío a su casa,Suero anti arácnido y envío a casa,B
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.",virulencia / frecuencia,proporción / frecuencia,casos antiguos / casos nuevos,velocidad / magnitud,D
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",instrumento de articulación,herramienta de gestión,instrumento de gestión,herramienta de articulación,C
"Para la prevención de la rabia urbana en el primer nivel de atención. ¿Cuáles son actividades de aplicación en la atención 
extramural o comunitaria?",Visita domiciliaria para seguimiento del tratamiento antirrábico y observación del animal agresor,Evaluación médico y observación del animal agresor,"Visita domiciliaria, evaluación médica y observación del animal agresor",Prescripción de antibióticos y vacuna antirrábica,A
"Mujer con obesidad, de comunidad nativa, mordida en pie por serpiente venenosa (jergón) siente dolor, de inmediato va al 
EESS I-4. ¿Cuál es el tratamiento?",Referencia a otro EESS de mayor complejidad,Observación clínica y enviarlo a su casa,Observación clínica sin suero anti veneno,Suero anti veneno y observación clínica,D
Ante la presencia de un caso probable de tos ferina. ¿Cuáles son las medidas a implementar?,"Censo de contactos, barrido vacunal, investigación del caso índice","Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Jornada de vacunación, quimioprofilaxis, búsqueda  de contactos indirectos","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal",D
"En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de 
cambiar, se identifican como:",Negatividad,Amenazas,Oportunidades,Debilidades,B
"En pro de la salud y el desarrollo social entre los diferentes actores, en los distintos niveles de gobierno y de la sociedad, lo 
primero que se debe fortalecer son las...",decisiones multisectoriales.,capacidades de gestión.,alianzas estratégicas.,coordinaciones intersectoriales.,C
"En su comunidad observa con mucha frecuencia casos de alcoholismo en varones y también violencia física de ellos contra 
sus esposas, para investigar en el menor tiempo posible, si hay asociación entre el alcoholismo y la violencia familiar. ¿Qué 
diseño de estudio elegirá?",Analítico,Descriptivo,Cuasi experimental,Cohortes,A
