questions,option_A,option_B,option_C,option_D,correct_answer
"En tenencia responsable, la población debe conocer las especies de animales de compañía para adoptar. ¿Qué animal no 
debes tener?",Hámster,Perro,Mono,Gato,C
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Marco teórico,Introducción,Resultados,Metodología,D
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Población indígena,Salud pública,Interculturalidad en salud,Cultura,C
"Persona mordida por perro en localidad de Cerro Colorado, en la atención de la herida en el EESS; inmediatamente se 
procede a lavar con abundante agua y jabón,...",alcohol y vacuna antirrábica humana.,alcohol u otro antiséptico bacteriano.,antiséptico y glicerina.,yodopovidona u otro antiséptico viricida.,D
"Para la prevención de la rabia urbana en el primer nivel de atención. ¿Cuáles son actividades de aplicación en la atención 
extramural o comunitaria?",Visita domiciliaria para seguimiento del tratamiento antirrábico y observación del animal agresor,Prescripción de antibióticos y vacuna antirrábica,Evaluación médico y observación del animal agresor,"Visita domiciliaria, evaluación médica y observación del animal agresor",A
"La vacuna antirrábica humana, según norma técnica de salud para la vigilancia, prevención y control de la rabia en el Perú 
vigente. ¿Cuántos esquemas recomienda?",Exposición reducido y completo,Pre y pos exposición,Pos exposción y reducido,Pre exposición y completo,B
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-2,I-4,I-3,I-1,A
Ante la presencia de un caso probable de tos ferina. ¿Cuáles son las medidas a implementar?,"Jornada de vacunación, quimioprofilaxis, búsqueda de contactos indirectos","Censo de contactos, barrido vacunal, investigación del caso índice","Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal",D
"El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de 
Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública 
renovada, esta acción corresponde a la etapa de:",Asignación de recursos,Acceso,Desarrollo de políticas,Evaluación,B
"Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, 
las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:",Uso irracional de medicamentos,Uso de medicamentos genéricos,Petitorio de los mismos medicamentos,Uso adecuado de medicamentos de marca,A
"Esterilizar a los perros como método de tenencia responsable, ayuda a controlar la población canina, en la hembra ayuda a 
eliminar...",agresividad y tranquilidad.,celo prolongado.,períodos del celo.,caída de pelo.,C
"Según la historia natural de la enfermedad, identificar una persona con diabetes en la fase subclínica corresponde al periodo 
...... y el nivel de prevención es...",pre patogénico / secundario.,patogénico / primario.,patogénico / terciario.,patogénico / secundario.,D
"¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, 
creencias, conductas y normas?",Principios institucionales,Cultura organizacional,Valores institucionales,Clima organizacional,B
"Niño viene recibiendo tratamiento con flúor y curación de caries, acude al EESS porque lo mordió un mono. ¿Cuál es la 
indicación inmediata?",Observar al mono,Sacrificar al mono,Vacunar al mono,Vacuna antirrábica,D
"Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.",riesgo,análisis,intervención,soporte,C
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:",Estrategias,Amenazas,Oportunidades,Fortalezas,D
"Niño de 2 años de edad proveniente de la selva, que es traído por su madre al EESS, donde menciona que el niño recibe 
tratamiento para la anemia, y que fue mordido por un gato que se escapó. ¿Cuál es la indicación?",Continuar tratamiento para anemia e iniciar vacuna antirrábica,Suspender tratamiento para anemia y no vacunar,Continuar tratamiento para anemia y buscar al gato,Iniciar vacuna antirrábica y suspender tratamiento de anemia,A
"La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado 
desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. 
¿Qué principios éticos debe cumplirse?","Veracidad, lealtad, eficiencia",Respeto y atención diferenciada,"Silencio, manejo de la información","Respeto, probidad y eficiencia",D
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Confirmado sin signos de alarma,Probable con signos de alarma,Hemorrágico con signos de alarma,Grave,B
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Sensibilidad ineficiente,Falso positivo,Valor predictivo positivo,Falso negativo,D
"En un estudio sobre la depresión en adolescentes en su comunidad, aplica un instrumento de detección de depresión en 
estudiantes de 5° año de secundaria de un colegio cercano al establecimiento. ¿Qué tipo de muestreo está realizando?",No probabilístico,Estadístico,Censal,Probabilístico,A
"Debido a que se observaron muchos casos de suicidios en adolescentes en la comunidad donde usted labora, le encargan 
realizar un estudio descriptivo sobre la depresión en adolescentes en su comunidad ¿Cuál será la principal limitante del 
estudio?",No permitirá hallar asociación de variables,Demandará costos económicos muy elevados,Sus resultados no serán extrapolables,El análisis estadístico será muy complejo,A
"En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?",Matriz de consistencia,Matriz de operacionalización,Revisión de Turnitin,Lista de verificación,A
"Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de 
su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?",Para métodos de planificación familiar,Exclusivo para dolor oncológico,Específico para hepatitis A,Controlado para infecciones intrahospitalarias,B
"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario 
según normativa?",Área de internamiento,Zona de selección de residuos sólidos,Depósito y lavado de carros,Zona de almacenamiento de residuos contaminados,B
"Mujer con obesidad, de comunidad nativa, mordida en pie por serpiente venenosa (jergón) siente dolor, de inmediato va al 
EESS I-4. ¿Cuál es el tratamiento?",Observación clínica sin suero anti veneno,Referencia a otro EESS de mayor complejidad,Suero anti veneno y observación clínica,Observación clínica y enviarlo a su casa,C
"Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?",Económico,Estructural,Intermedio,Comercial,B
"Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...",basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,usa mediciones sistemáticas.,usan datos específicos de información adicional.,incluye los procedimientos del proceso de la práctica «centinela».,A
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",Las crisis psicosociales,La aparición de enfermedades epidémicas,El surgimiento de nuevas enfermedades,El aumento en la incidencia de enfermedades,D
"En el centro de salud de Lamas, reportan que un varón de 30 años, presenta fiebre, malestar general, sangrado y shock. Se 
informa que han aparecido muchos más casos en estos días y se sospecha de un brote de fiebre amarilla. Siendo Ro: el 
número promedio de casos nuevos que genera un caso dado a lo largo de un período infeccioso. ¿Cuál es el Ro que se 
espera tener en brote de fiebre amarilla?",Ro > 1,Ro > 0.5,Ro = 0,Ro < 1,A
"Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe 
considerar para el archivo pasivo de historias clínicas que no han sido requeridas?",Más de 15,Más de 5,Más de 1,Más de 10,B
"Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el 
establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo 
procedes ante este caso?",Constatar con la policía y autoridad comunal,Solicitar presidente de la comunidad que intervenga,Discrepas con su decisión porque no es correcto,"Llegas a un acuerdo en la terapia del niño, respetando sus creencias",D
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",diferir o mitigar,controlar o mantener,restringir o acortar,atenuar o eliminar,D
"Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de 
las enfermedades...",degenerativas / infecciosas.,infecciosas / crónicas.,infecciosas / prevalentes.,crónicas / infecciosas.,B
"Si observamos en el medio ambiente microorganismos, sustancias nocivas, alteración ecológica, trastornos en el medio físico 
y organismos vivos. ¿A qué situación corresponde?",Infección e infestación del ambiente,Contaminación del ambiente,Infestación del ambiente,Microbianismo del ambiente,B
"Un servidor público, brinda información de un diagnóstico médico, a personas de la comunidad. ¿Qué principio ético 
está vulnerando?",Respeto,Individualidad,Seguridad,Confidencialidad,D
"Mujer de la selva, llega al EES con fiebre alta, sin signos de alarma para dengue, se indica bañarlo con agua tibia (2 °C menor 
temperatura del paciente) durante 10 a 15 minutos. Si continua febril. ¿Qué se indica?",Metamizol,Aspirina,Paracetamol,Dexametasona,C
"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como 
profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Enviarla a otro establecimiento,Respetar su pedido,Persuadir su deseo,Denegarle la atención,B
"Al centro de salud de chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué auditoría de la calidad 
de la atención en Salud corresponde seguir?",De caso,Externa,Regular,Dirimente,A
"En pro de la salud y el desarrollo social entre los diferentes actores, en los distintos niveles de gobierno y de la sociedad, lo 
primero que se debe fortalecer son las...",decisiones multisectoriales.,capacidades de gestión.,coordinaciones intersectoriales.,alianzas estratégicas.,D
"Mujer puérpera de 45 años, acude al EESS I-4, refiere haber sido mordido por un hámster en su casa. Para prevenir la rabia. 
¿Cuál es la acción a tomar?",Consejería y observación del hámster,Vacuna antirrábica y observación al hámster,Curar la herida y consejería,Vacuna antirrábica y curar la herida,C
"Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no 
respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?",Sugerencia,Consejería,Consulta,Queja,D
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Básicos,Comunes,Esenciales,Genéricos,C
"En relación al almacenamiento de medicamentos: “Las condiciones de almacenamiento deben ser las recomendadas por el 
…… y autorizadas en el rotulado del producto, pudiendo ser de congelación, temperatura de refrigeración, temperatura 
ambiente y temperatura ambiente controlada, lo cual debe estar indicado en su procedimiento …… de almacenamiento.”",farmacéutico / rutinario,fabricante / operativo,director / organizativo,jefe / establecido,B
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Mejorar el proceso de atención sanitaria en EESS,Notificarlo al nivel inmediato superior,Informar a los familiares,Medidas de mejora en el EESS,B
