questions,option_A,option_B,option_C,option_D,correct_answer
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Cultura,Salud pública,Población indígena,Interculturalidad en salud,D
"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a 
las cuales debe alinear sus objetivos operativos.",organizaciones institucionales,desarrollos institucionales,acciones institucionales,estrategias institucionales,D
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",instrumento de gestión,herramienta de gestión,herramienta de articulación,instrumento de articulación,A
"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los 
alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes 
firman y el personal interviene atendiendo.",beneficencia,autorización,consentimiento informado,justicia,C
"El paquete del cuidado integral de salud por curso de vida son las acciones e intervenciones personales, familiares y 
comunitarias destinadas a promover hábitos y conductas saludables. Como profesional de salud del primer nivel de atención. 
¿Qué dimensiones debe considerar para cumplir con este objetivo?",Socio económico,Dinámica familiar,Biopsicosociales,Derecho a la atención,C
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.",proporción / frecuencia,virulencia / frecuencia,casos antiguos / casos nuevos,velocidad / magnitud,D
"Milena, una obstetra serumista coloca una ampolla intramuscular de metamizol a una gestante que viene con fiebre, minutos 
después siente mareos, nauseas y se observa en la zona de aplicación un rash; por tanto ella debe consignar en la historia 
clínica de manera obligatoria las sospechas de reacciones adversas, reportarlas en el formato correspondiente y remitirlo al 
comité de ...... y tecnovigilancia de la IPRESS en los plazos correspondientes.",control interno,auditoría interna,auditoría externa,farmacovigilancia,D
"Una niña de doce años, ha ingresado al sexto grado de educación básica regular de institución educativa, su lengua materna 
es el quechua, le corresponde su vacunación de VPH. ¿Qué competencia debe tener el profesional de salud en el marco de 
la diversidad cultural?",Conocimiento de medicina occidental,Enfoque de género,Coordinación intersectorial,"Empatía, adecuación intercultural",D
"La caries dental es una enfermedad multicausal, tal como las otras enfermedades el cáncer, la diabetes y las enfermedades 
coronarias. Como profesional de la salud. ¿Sobre qué factores hay que intervenir para mejorar la la salud bucal?",Ambiental,Actividad física,Hereditarios,Hábitos de consumo,D
"Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe 
considerar para el archivo pasivo de historias clínicas que no han sido requeridas?",Más de 5,Más de 1,Más de 10,Más de 15,A
