questions,option_A,option_B,option_C,option_D,correct_answer
"Los adolescentes de una comunidad, necesitan atención integral estomatológica, para cubrir sus necesidades de salud. 
¿Qué establecimiento de salud del primer nivel oferta la cartera de servicios necesaria?",II-1,I-2,I-3,I-1,C
"En el CS I-4 con comunidad afroperuana, busca fortalecer la aplicación del enfoque intercultural con la participación de 
autoridades regionales y locales, personal de salud, promotores de salud y agentes de medicina tradicional para la 
identificación y solución de los problemas de salud de la persona, familia y comunidad. Esta acción se describe como:",Diálogo en salud,Participación ciudadana,Pertinencia cultural,Adecuación Intercultural,A
"Un establecimiento de salud I-3 tiene la mayor carga poblacional y el espacio territorial amplio y diverso. Las vías de 
comunicación por tema de transporte, dificulta acceder a los servicios de salud de manera oportuna, siendo los más 
afectados la población adulto mayor. ¿Qué acciones se deben desarrollar para minimizar las barreras de acceso y 
oportunidad de atención de salud?",Realizar visitas domiciliarias multidisciplinarias,Referir al establecimiento más cercano a su domicilio,Gestionar con los profesionales para considerar la atención,Organizar la atención diferenciada por grupo poblacional,D
"El P.S. de la comunidad de Angora no cuenta con cirujano dentista, los pacientes son referidos al C.S. Huasahuasi, 
teniendo que caminar 8 horas porque no se cuenta con carretera; esto ocasiona que muchos no asistan al C.S. para su 
atención odontológica; incrementándose los problemas de salud bucal. En el marco de la Atención Primaria en 
Salud. ¿Qué atributo se está vulnerando?",Accesibilidad,Primer contacto,Continuidad,Integralidad,A
"Antes de realizar un procedimiento en la toma del PAP, como por ejemplo colocar el espéculo; debo solicitar la 
autorización del mismo y explicar los beneficios del procedimiento. ¿En qué documento debe quedar la evidencia?",Consentimiento informado,Libro de reportes,Ficha de vigilancia,Registro de atención,A
"La medicina ...... se define como: las prácticas, conocimientos y creencias sanitarias diversas que incorporan medicinas 
basadas en plantas, animales y/o minerales, para mantener el bienestar, tratar y prevenir enfermedades?",holística,convencional,tradicional,minimalista,C
"En un EE.SS. para reducir la concentración de partículas infecciosas, priorizando las áreas de mayor riesgo de transmisión 
de M. tuberculosis, se debe considerar como medidas de control ambiental:",Promover la higiene respiratoria y uso de mascarilla quirúrgica,"Evaluar, utilizar, mantener o mejorar el sistema de ventilación",Capacitación periódica al personal de la salud sobre uso de EPP,Realizar la búsqueda activa y pasiva de casos de TB en personal de salud,B
"Analizando los resultados de las principales patologías nutricionales que conforman el ASIS institucional encontramos en 
la etapa de vida adulto a la obesidad con mayor incidencia evaluando factores económicos, sociales, estilos de vida, 
patrones culturales y sociales como parte causal de dicha patología. ¿Desde el punto de salud pública que estamos 
analizando?",Intervención sanitaria,Análisis situacional,Evaluación sanitaria,Proceso salud enfermedad,D
"El …… es un documento de gestión que articula el ejercicio de las funciones y competencias de los órganos y unidades 
ejecutoras, para la implementación de políticas nacionales.",Plan Estratégico Sectorial Multianual,Plan Operativo Institucional,Plan Esencial de Aseguramiento en Salud,Plan Estratégico Institucional,D
"Para lograr una atención de calidad, el personal de salud debe contar con insumos, ...... y ...",supervisión de apoyo / motivación.,capacitación continua / computadora.,medicamentos / sistemas de información.,consultorio propio / bonos de incentivo.,C
"En el modelo de abordaje de Promoción de la Salud. ¿Qué escenario nos permite trabajar con la comunidad la alta 
incidencia de anemia en el distrito de La Victoria del año en curso?",Colegio,Familia,Iglesia,Municipio,D
"En las intervenciones realizadas en el EESS por el personal de salud en guardias comunitarias esta la vigilancia 
epidemiológica en dengue para verificar el incremento de casos reportados en los meses de verano ¿Qué característica 
epidemiológica resulta de estas intervenciones?",Número de casas infectadas,Vigilancia pública,Tipos de almacenamiento de agua,Cambio en patrones de vectores,D
"Si la persona encargada de recomendar un antihistamínico conoce que la diferencia entre la levocetiricina y la cetiricina 
es solo el menor efecto de somnolencia del racemato, y aun así recomienda la levocetiricina a pesar de su elevado costo 
y suponiendo que la somnolencia no representaría mayor riesgo para el paciente. ¿Qué principio ético se está 
vulnerando?",No maleficencia,Justicia,Respeto a la autonomía,Beneficencia,D
"El Planeamiento Estratégico Institucional define la estrategia del pliego para lograr sus objetivos, en un periodo mínimo 
de …... años, a través de iniciativas diseñadas para producir una mejora en el bienestar de la población, los mismos 
que se deben reflejar en …",diez / cambios.,cinco / indicadores.,tres / resultados.,siete / productos.,C
