questions,option_A,option_B,option_C,option_D,correct_answer
"La obstetra María, acude al consultorio de su colega Anaís, con su hija de 23 años para descarte de embarazo, el cual sale 
positivo, le pide a Anaís mantener en secreto el resultado, pero pasada la semana, las colegas la felicitan y hacen bromas 
por que será abuela. ¿Qué falta incurre según el código de ética y deontología Anaís?",Del obstetra y la representación institucional,Del acto obstétrico,De la obstetra en la función asistencial,De las relaciones profesionales,B
"Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe 
considerar para el archivo pasivo de historias clínicas que no han sido requeridas?",Más de 1,Más de 10,Más de 5,Más de 15,C
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Sensibilidad ineficiente,Falso positivo,Falso negativo,Valor predictivo positivo,C
"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió 
su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición 
considera fue contrarreferido?",Curado,Mejorado,Retiro voluntario,Deserción,B
"La estructura de la consejería de lactancia materna considera ...… momentos, debiéndose asegurar una secuencia temática. 
Siendo en el segundo momento la evaluación de la ..…. y la observación de la madre y el bebé.",cinco / mamada,cinco / historia clínica,cuatro / historia clínica,cuatro / mamada,A
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:",Oportunidades,Estrategias,Amenazas,Fortalezas,D
"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad, está cometiendo actos en contra 
de:",Justicia,Responsabilidad,Beneficencia,Ética,D
"En la prevención y control de las enfermedades no transmisibles, el modelo de cuidado integral por curso de vida, familia y 
comunidad, cuenta con los siguientes componentes para su intervención:","Prestación, organización, gestión y financiamiento","Prestación, curso de vida, gestión e interculturalidad","Integralidad, organización, género y financiamiento","Integral, género, curso de vida e interculturalidad",A
"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Autocuidado,Hábito saludable,Práctica,Estilo de vida,D
"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como 
profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Denegarle la atención,Persuadir su deseo,Enviarla a otro establecimiento,Respetar su pedido,D
"En un establecimiento de salud nivel I-4 se atiende a Manuela por parto eutócico con recién nacido vivo mujer, peso: 3500 g, 
talla: 50 cm. Apgar: 9-9, Capurro: 40 sem, sin complicaciones ni factores de riesgo. Al tercer día trae al neonato por fiebre y 
distrés respiratorio. ¿Cuál es el diagnóstico probable?",Infección de tracto urinario,Infección de vía respiratoria,Resfriado común,Infección asociada a la atención de salud,D
"Zenaida de 14 años de edad es víctima de una violación sexual, una de las acciones dentro de la intervención clínica será 
asegurar la anticoncepción oral de emergencia, para la administración deberá considerar:",Autorización del representante legal,Evaluación del estado físico y mental,Nivel socioeconómico,Suministrar en todos los casos,D
"En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",necesaria y suficiente.,necesaria pero no suficiente.,de tipo ambiental.,no necesaria pero suficiente.,B
"En la organización de los servicios para adolescentes es importante realizar un diagnóstico …… según el contexto, con la 
conformación del equipo multidisciplinario capacitado en atención…… y estrategias de comunicación.",situacional / comunitaria,situacional / integral,regional / comunitaria,regional / vocacional,B
"En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de 
cambiar, se identifican como:",Negatividad,Amenazas,Oportunidades,Debilidades,B
"Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, 
las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:",Uso de medicamentos genéricos,Uso adecuado de medicamentos de marca,Uso irracional de medicamentos,Petitorio de los mismos medicamentos,C
"La transmisión del dengue a un huésped susceptible se da a través de la picadura de un zancudo hembra infectado (Aedes 
aegypti), estos zancudos pican preferentemente ...... y transmiten la enfermedad a varias personas durante toda su vida.",al amanecer y al atardecer,a medio día y sin lluvia,al atardecer y durante la noche,solo en época de lluvias,A
