questions,option_A,option_B,option_C,option_D,correct_answer
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear y evaluar los 
medicamentos en los sectores públicos y privados.",CENSOPAS,DIGEMID,CENARES,DIGESA,B
"Se desea identificar el ciclo vital familiar para abordar a una familia que tiene un hijo adolescente con riesgo social. ¿Cuál es 
la idea principal de ciclo vital familiar?",Herramienta de gestión para los cuidados integrales,Sucesión de eventos que ocurren durante su existencia,Secuencia de fases por las que atraviesa,Conjunto de prestaciones según necesidades de salud,C
"En el centro de salud, el serumista, atiende a varón de 20 años y le brinda consejería sobre salud bucal con la técnica del 
cepillado e hilo dental. ¿Qué desea implementar en la persona?",Autocuidado,Destreza,Motivación,Cambio de dieta,A
¿Qué grupo de pacientes tienen indicación de terapia preventiva para la tuberculosis?,Sin diagnóstico de ITBL que pertenecen a grupos con corticoterapia e inmunosupresores,Adultos que son contactos de caso índice-TB pulmonar y pacientes con VIH,Pacientes con tuberculosis sensible,Personas que no tienen diagnóstico de infección tuberculosa latente,B
¿Quién es el responsable frente a la pérdida de la totalidad o parte de la historia clínica en el proceso de atención de salud?,Jefe del establecimiento de salud,Quien la recibió por última vez,Quien la entregó por última vez,Jefe de archivo de historias clínicas,B
"Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de 
su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?",Exclusivo para dolor oncológico,Controlado para infecciones intrahospitalarias,Para métodos de planificación familiar,Específico para hepatitis A,A
"Varón de 20 años, señala haber tenido RS con pareja desconocida hace un mes y no acude al EESS para ser evaluado. Trae 
resultado de VDRL: 16 diluciones. FTA- ABS (+). Examen Físico: PA: 110/70 mmHg, FC: 85 X', FR: 14X', afebril; en REG, 
con úlcera genital, no presenta ronchas en manos y plantas de pies. ¿Cuál es el diagnóstico más probable?",Infección por clamydia,Gonorrea,Herpes genital,Sífilis primaria,D
"Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no 
respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?",Consejería,Consulta,Queja,Sugerencia,C
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Responsabilidad,Deontología,Moral,Comisión de ética,B
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",atenuar o eliminar,controlar o mantener,diferir o mitigar,restringir o acortar,A
"La Ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el 
derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios se debe de cumplir en la atención a la 
población objetivo?","Orden, moral, deber y derecho","Fraternidad, moral, deber y orden","Solidaridad, orden, deber y derecho","Orden, fraternidad, moral y derecho",A
"La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado 
desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. 
¿Qué principios éticos debe cumplirse?",Respeto y atención diferenciada,"Veracidad, lealtad, eficiencia","Respeto, probidad y eficiencia","Silencio, manejo de la información",C
"La pertinencia cultural en los servicios de salud implica que durante todo el proceso de la atención se tome en cuenta las 
características de la población a la que se atiende, en función a su cultura y contexto social. Evaluando cuatro dimensiones: 
gestión para la calidad de la atención, revaloración del sistema de salud tradicional, recursos humanos que promueven la 
salud intercultural y la …",atención intercultural.,interculturalidad en salud.,participación ciudadana.,inclusión social.,C
Dentro del paquete preventivo de salud del adolescente. ¿Cuántas mediciones al año de hemoglobina debe realizarse?,2,6,4,1,A
"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",De manera inmediata,Cuando se reporta el VEA de la semana,Hasta las 48 horas,Al alta de los pacientes,A
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Población indígena,Cultura,Salud pública,Interculturalidad en salud,D
El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?,2,4,3,1,D
"Se requiere implementar un plan de cuidado integral de salud del adulto mayor para la prevención de caídas. ¿Qué acción de 
cuidados será recomendable implementar en adultos mayores frágiles?",Descarte de enfermedades crónicas,Implementar visitas domiciliarias periódicas,Completar los esquemas de vacunación,Consejería para realizar ejercicio físico,D
"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad está cometiendo actos en contra 
de:",Ética,Beneficencia,Responsabilidad,Justicia,A
"Mujer de 45 años, presenta desde hace más de dos semanas ánimo bajo, poca energía, disminución de la actividad, 
anhedonia, sueño alterado, apetito disminuido, baja autoestima, estado de ánimo variable y cefalea intensa. ¿Cuál es el 
diagnóstico más probable?",Depresión mayor,Trastorno bipolar,Distimia,Episodio depresivo,D
"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a 
las cuales debe alinear sus objetivos operativos.",estrategias institucionales,acciones institucionales,desarrollos institucionales,organizaciones institucionales,A
"Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de 
las enfermedades...",degenerativas / infecciosas.,infecciosas / crónicas.,crónicas / infecciosas.,infecciosas / prevalentes.,B
"En el manejo integral de una paciente de 50 años con diabetes mellitus tipo II. ¿Qué valor de hemoglobina glicosilada indica 
un control metabólico óptimo?",< 7%,< 6.5%,< 6%,< 7.5%,A
"Según la normativa nacional de salud para la prevención y control de la anemia. ¿Cuál es la dosis oral diaria de hierro 
elemental y ácido fólico recomendada para tratamiento de una gestante con anemia ferropénica?",120 mg y 800 ug,200 mg y 1000 ug,60 mg y 400 ug,80 mg y 600 ug,A
"Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, 
las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:",Uso de medicamentos genéricos,Uso adecuado de medicamentos de marca,Petitorio de los mismos medicamentos,Uso irracional de medicamentos,D
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
cómo:",Estrategias,Oportunidades,Fortalezas,Amenazas,C
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Valor predictivo positivo,Falso positivo,Falso negativo,Sensibilidad ineficiente,C
"¿Cuál es el plazo máximo en días para entregar copia autenticada de la historia clínica y epicrisis, cuando el usuario de salud 
o su representante legal lo solicite?",7,3,5,10,C
"Un servidor público, brinda información de un diagnóstico médico, a personas de la comunidad. ¿Qué principio ético está 
vulnerando?",Individualidad,Respeto,Seguridad,Confidencialidad,D
"En un estudio sobre la depresión en adolescentes en su comunidad, aplica un instrumento de detección de depresión en 
estudiantes de 5° año de secundaria de un colegio cercano al establecimiento. ¿Qué tipo de muestreo está realizando?",No probabilístico,Probabilístico,Censal,Estadístico,A
"En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",necesaria y suficiente.,necesaria pero no suficiente.,de tipo ambiental.,no necesaria pero suficiente.,B
