questions,option_A,option_B,option_C,option_D,correct_answer
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Mejorar el proceso de atención sanitaria en EESS,Informar a los familiares,Notificarlo al nivel inmediato superior,Medidas de mejora en el EESS,C
"En relación al almacenamiento de medicamentos: “Las condiciones de almacenamiento deben ser las recomendadas por el 
…… y autorizadas en el rotulado del producto, pudiendo ser de: congelación, temperatura de refrigeración, temperatura 
ambiente y temperatura ambiente controlada, lo cual debe estar indicado en su procedimiento …… de almacenamiento.”",director / organizativo,jefe / establecido,farmacéutico / rutinario,fabricante / operativo,D
Las lenguas originarias del Perú son consideradas como:,Obstáculo en el desarrollo,La castellanización,Identidad cultural,Pobreza y analfabetismo,C
"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, 
a las cuales debe alinear sus objetivos operativos.",desarrollos institucionales,estrategias institucionales,organizaciones institucionales,acciones institucionales,B
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Resultados,Metodología,Introducción,Marco teórico,B
"Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no 
respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?",Sugerencia,Queja,Consejería,Consulta,B
"Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales 
interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?",Cuidado integral,Determinante social,Vías de cuidados,Curso de vida,D
"El Químico Farmacéutico dentro de los casos clínicos y factores de riesgo, está preparado para identificar una enfermedad 
no transmitibles como:",Malaria,Tuberculosis,Parkinson,Bartonelosis,C
"En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?",Lista de verificación,Matriz de operacionalización,Matriz de consistencia,Revisión de Turnitin,C
Ante la presencia de un caso probable de Tos Ferina. ¿Cuáles son las medidas a implementar?,"Censo de contactos, barrido vacunal, investigación del caso índice","Jornada de vacunación, quimioprofilaxis, búsqueda  de contactos indirectos","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal","Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso",C
