questions,option_A,option_B,option_C,option_D,correct_answer
"En el CS I-4 con comunidad afroperuana, se busca fortalecer la aplicación del enfoque intercultural con la participación 
de autoridades y personal de salud, promotores de salud, agentes de medicina tradicional y autoridades regionales y 
locales para la identificación y solución de los problemas de salud de la persona, familia y comunidad. Esta acción se 
describe como:",Diálogo en salud,Pertinencia cultural,Adecuación Intercultural,Participación ciudadana,A
"Ha ocurrido un terremoto en la capital y hay muchos fallecidos y heridos. El centro de salud I-4, ha colapsado, han traído 
heridos con traumatismo encéfalo craneano y con fracturas expuestas en miembros superiores e inferiores. ¿En qué 
situación se encuentra la salud de los pacientes?",Vulnerabilidad,Emergencia,Urgencia,Damnificado,B
"En las Buenas Practicas de Almacenamiento se indica que ...... es la secuencia que comprende las fases o eventos de 
transporte del producto farmacéutico y dispositivo médico termo-sensible desde su fabricación hasta su recepción por el 
usuario final, manteniendo la temperatura dentro de las especificaciones aprobadas.",la conservación de temperatura,el control de temperatura,la cadena de frio,el mapeo térmico,C
"El análisis ...... permite relacionar los factores externos (entorno) e internos (intorno) de la organización, así como 
descubrir las posibilidades de éxito o fracaso de la organización.",Retrospectivo,FODA,Situacional,Estratégico,B
"En un estudio descriptivo, realizado para entender el grado de adherencia a un tratamiento médico. ¿Qué tipo de 
herramienta de recolección de datos se caracteriza por tener como ventaja un mayor nivel de confianza, flexibilidad en el 
entendimiento de términos consultados, pero como desventaja la influencia en las respuestas durante la recolección de 
datos, y ser aplicable a un menor número de personas?",La entrevista,El foro,La observación,La encuesta,A
"El reglamento de establecimientos farmacéuticos determina que la farmacia de un establecimiento de salud puede brindar 
el servicio de farmacotecnia y farmacia clínica dependiendo del grado de complejidad. ¿A partir de qué categoría de 
establecimiento de salud se pueden tener estos servicios?",II-1,I-3,II-2,I-4,D
Los residuos farmacéuticos son consignados como:,Comunes,Biológicos,Punzocortantes,Especiales,D
"Para considerar a un medicamento como intercambiable, este debe tener en relación al medicamento innovador, el mismo 
principio activo, concentración, forma farmacéutica y ...... del PA.",biodisponibilidad,dosis,calidad,textura,A
"En un establecimiento de salud I-4, un ejemplo de UPSS podría considerarse al servicio de …",epidemiología.,pediatría.,docencia.,gestión de investigación.,B
"Según la directiva del SISMED, los productos ...... que se hayan identificado para su baja respectiva no forman parte de 
la información de stock que se genere en el sistema informático del SISMED.",de escasa demanda,vencidos o deteriorados,sin registro sanitario,de programas estratégicos,B
"¿Cómo se llaman los estudios con que deben contar los medicamentos para garantizar con mayor certeza su eficacia en 
relación al medicamento innovador, mejorando el acceso en función de costo y eficacia y colaborando de esta forma a la 
salud pública?",Control de calidad,Bioequivalencia,Similitud,Biodisponibilidad,B
"El fortalecimiento de capacidades del personal de salud para mejorar la calidad en un servicio específico de atención 
primaria de salud, es una actividad acorde al objetivo de planeamiento estratégico relacionado a …",incrementar el acceso a atención integral de salud.,fortalecer el ejercicio de la rectoría de la autoridad nacional de salud.,difundir la importancia de la salud como derecho.,mejorar asignación de presupuesto para atención integral.,A
"Durante el proceso de seguimiento farmacoterapéutico, corresponde al químico farmacéutico promover el uso racional 
de medicamentos, bajo este criterio está facultado para identificar y reportar:",PRM,Interconsultas,RAM,Sospechas de eventos adversos,A
"¿Cuáles son las características de una prueba diagnóstica, útiles para decidir en qué momento se deben utilizar y que 
significado tiene su resultado en un paciente?","Especificidad, confiabilidad y valores predictivos","Aplicabilidad, confiabilidad y especificidad",Valores predictivos y sensibilidad,"Sensibilidad, especificidad y valores predictivos",D
"El Petitorio Nacional único de Medicamentos Esenciales es un documento normativo que tiene la finalidad de mejorar el 
...... de medicamentos esenciales a la población, y tiene como uno de sus objetivos, promover el ...",requerimiento / consumo de medicamentos esenciales.,uso /gasto eficiente.,acceso / gasto farmacéutico.,acceso / uso racional de medicamentos.,D
