questions,option_A,option_B,option_C,option_D,correct_answer
"Con el fin de optimizar el uso de material de vidrio en el servicio de laboratorio clínico, se decidió reutilizar los tubos 
de ensayo aplicando procedimientos estándares. ¿Qué metodología de esterilización de material contaminado es 
más conveniente utilizar?",Ebullición en matraz,Calor húmedo en autoclave,Calor seco en horno de aire caliente,Inmersión en solución de formaldehido,B
"Dentro de las medidas de morbilidad, la medición de casos nuevos de tos ferina respecto al total de la población 
en un periodo de tiempo determinado es una medida de …",prevalencia.,epidemiologia.,incidencia.,letalidad.,C
"La madre de un niño a quién se le realizó descarte de anemia y parasitosis intestinal, reclama la incorrecta escritura 
del nombre y consignación del sexo de su menor hijo en el informe de laboratorio; sin embargo, el personal se niega 
a realizar las correcciones indicando que lo que importa es el resultado, y éste es conforme. ¿Qué etapa del proceso 
de atención al usuario se está vulnerando?",Gestión de la historia clínica,Post analítico,Entrega del informe,Pre analítico,B
"Todo el personal de salud esta capacitado en el manejo de residuos sólidos para su adecuada separación en el 
punto de generación, ubicándolos de acuerdo a su clase, en recipiente, contenedor o depósito correspondiente. 
Esta acción de ...... evita accidentes y exposición a agentes contaminantes en la comunidad.",acondicionamiento,segregación,recolección,almacenamiento,B
"La salud pública como ciencia multidisciplinaria, se interrelaciona con la ..…., cuyo objeto de estudio es el proceso 
salud-enfermedad relacionado con la población.",gerencia en salud,bioestadística,higiene,epidemiología,D
"Una de las aplicaciones de la telesalud es la ......, que permite al personal de laboratorio clínico recibir una 
retroalimentación vía Zoom sobre la toma y envío de muestras biológicas para el descarte de tosferina, por parte 
de especialistas del laboratorio de referencia regional.",telegestión,teleorientación,teleconsulta,telecapacitación,D
"Cuando un paciente viaja a otra región del Perú y no presenta problemas en acceder a su historia clínica a través 
de redes informáticas (Registro Nacional de Historias Clínicas) ¿Qué componente ha fortalecido el MINSA para el 
mejoramiento del Modelo de Cuidado Integral?",Financiamiento,Organización,Provisión,Gestión,D
"En el servicio de laboratorio clínico de su centro de salud observa una alta frecuencia de niños con giardiasis y 
diarreas inflamatorias. ¿Cuál es el principal aspecto a fortalecer en la salud comunitaria?",Eliminación de plagas,Saneamiento de mascotas,Control vectorial,Inocuidad alimentaria,D
"¿Cuáles son los componentes del modelo de cuidado integral por curso de vida relacionados a: los cuidados 
integrales para niños y adultos mayores; al incentivo económico anual por el logro de metas sanitarias, 
respectivamente?",Gestión y provisión,Gestión y financiamiento,Provisión y financiamiento,Organización y financiamiento,C
"Los pobladores de un sector periurbano son renuentes a acudir a su centro de salud, debido a la reiterativa 
indisposición y ausencia del personal sanitario en su respectivo servicio. ¿Qué aspecto de la gestión debe atender 
el establecimiento para recuperar la confianza?",Cultura organizacional,Clima organizacional,Planeamiento estratégico,Cartera de servicios,A
"Un candidato político visita a un centro poblado y durante su discurso ofrece la implementación de un laboratorio 
de biología molecular en el centro de salud (C.S.) donde usted realiza su SERUMS. ¿Por qué no es posible según 
la normativa vigente?",No hay personal capacitado,El C.S. no tiene infraestructura mínima,Los normas de bioseguridad lo prohíben,El C.S es de categoría I,D
"Un serumista inicia su trabajo en un centro de salud y durante las primeras semanas apoyó en actividades en la 
comunidad (visitas domiciliarias, apoyo en vacunación y vigilancia epidemiológica) que inmediatamente registra en 
su hoja HIS, información que enriquecen los indicadores de logros esperados anuales. ¿Qué componentes del plan 
estratégico institucional (PEI) son monitoreados a través de estos indicadores?",PEI y POI,Actividad operativa,OEI y AEI,PESEM,C
"Si una IPRESS consultante declina a gestionar la teleconsulta a una anciana en abandono y quechua hablante, 
debido a la dificultad idiomática. ¿Cuál es el principio de la Telesalud que se incumple?",Desarrollo social,Telegestión,Calidad de servicio,Universalidad,D
"¿Cuáles son los signos de alarma asociados a problemas de salud mental en gestantes y madres de niños menores 
de 5 años que puede ser detectado por el personal de salud?",Relación conflictiva con la pareja,Tristeza o fragilidad emocional,Consumo de sustancias psicoactivas,Víctima de violencia,B
"Las actividades promocionales del centro de salud sobre los cuidados familiares enfocados en el desarrollo de 
actividades lúdicas grupales, incorporación en la familia, cuidados para la prevención de caídas y diálogo 
intergeneracional. ¿A qué curso de vida corresponde?",Niño,Adulto,Adulto mayor,Adolescente,C
"En el servicio de laboratorio clínico, se atiende a un paciente con sospecha de peste, por lo cual procede a referir 
una muestra de sangre, considerando para el transporte envases primario y secundario sellados a prueba de fugas, 
y embalaje exterior resistente. ¿Cuál es la categoría de la sustancia infecciosa a transportarse?",A,B,D,C,A
"Se atiende en el centro de salud a un paciente varón de 50 años con sospecha clínica de rabia humana, quien 
reportó haber sido mordido por un animal silvestre hace un mes. Para el diagnóstico in vivo (Ante mortem)  se 
requiere una muestra de …… y la prueba diagnóstica a realizar en el laboratorio de referencia es…",sangre periférica/IFD.,masa encefálica/cultivo celular.,saliva/IFD.,plasma/IFD.,C
"En un centro de salud de la amazonía, el personal de laboratorio que acaba de culminar su SERUMS mostró una 
actitud inadecuada y ahora los pobladores indígenas se muestran renuentes a atenderse en el centro de salud. 
Considerando la secuencia del diálogo intercultural en salud, éste se debe retomar desde el ……, cuyo objetivo es 
solucionar el problema presentado.",comité impulsor,tercer momento,primer momento,segundo momento,D
