questions,option_A,option_B,option_C,option_D,correct_answer
"Gestante multípara a término, que acude a puesto de salud con contracciones uterinas cada 30 
minutos. Al tacto vaginal se identifica dilatación de cuello uterino de 3 cm, sin signos de alarma. 
Ud. procede referir a:",Centro de salud I-3,Hospital III,Centro de salud I-4,Hospital II,C
"Al consultorio de medicina acude María de 55 años, con 10 años de diabetes, actualmente 
controlada, en tratamiento con Metformina, con estilos de vida saludables, se realiza el seguimiento 
periódico ¿Cuál de los siguientes se considera como meta en el manejo integral del paciente con 
diabetes?",Glicemia en ayunas de 80 a 126 mg/dl,Hemoglobina glucosilada < 7.5%,Glicemia postprandial de 2 h <140 mg/dl,Perímetro de cintura < 94 cm,C
"En un establecimiento de salud I-4 el personal de salud recoge los datos en el escenario donde se 
presentó la enfermedad para su control, incluyendo a las personas que no acudieron al servicio de 
salud. ¿A qué tipo de vigilancia corresponde?",Centinela,Especializada,Pasiva,Activa,D
"Mujer de 52 años, natural de región selva, trabaja en prostitución, refiere a profesional de salud que 
el día anterior fue dopada y sufrió agresión sexual, tiene dolor pélvico y moretones en el cuerpo. 
¿Qué debe hacer el profesional de salud?","Aplicar kit completo de emergencia, previo consentimiento",Derivar a paciente para que se le brinde atención en salud mental,Aplicar kit de descarte sin consentimiento para que no se asuste,Hacer denuncia a las autoridades sin autorización de paciente,A
"Ud. como médico acude a una visita domiciliaria en el sector sanitario asignado, identificando a una 
pareja con unión de 4 meses y cursando el primer embarazo. ¿Cómo la clasificaría según su ciclo 
vital familiar?",Expansión,Dispersión,Contracción,Formación,A
"Gestante de 23 años, migrante, con primaria incompleta, control prenatal esporádico de su tercer 
embarazo, manifiesta a un profesional que le quiere regalar a su hijo porque tiene problemas 
económicos, y su pareja la ha abandonado. Esta persona se encuentra sola y no tiene testigos. 
¿Cuál es la conducta a seguir?","Comunicar a la policía, la intención de la gestante",Aceptar por el bienestar y bien superior del recién nacido,Referir a paciente a salud mental o servicio social,Rechazar porque es un acto en contra de la ética profesional,D
"¿Cuál es el rango de T° en °C, necesario para la conservación de las vacunas?",1 a 8,4 a 10,2 a 8,-1 a -8,C
"En un pueblo amazónico se está implementando una RIS de manera ordenada, siguiendo la 
normativa del MINSA, considerando su realidad local. ¿Qué característica del proceso se está 
cumpliendo?",Sistemático,Sostenible,Progresivo,Planificado,A
"La evaluación continua del recién nacido hospitalizado cuya madre tuvo ITU o ITS antes del parto, 
corresponde a una vigilancia epidemiológica de las IAAS de tipo ...",pasiva.,focalizada.,activa.,selectiva.,D
"En un establecimiento de salud I-4, mujer de 25 años, recibió esquema de tratamiento para TB, 
pero indica que los síntomas continúan, y que su hija menor de 5 años, también fue 
diagnosticada de lo mismo. ¿Qué principio del uso de medicamentos antimicrobianos NO se 
aplicó?",Calidad,Concentración,Resistencia,Biodisponibilidad,C
"El fortalecimiento de capacidades del personal de salud para mejorar la calidad en un servicio 
específico de atención primaria de salud, es una actividad acorde al objetivo de planeamiento 
estratégico relacionado a …",fortalecer el ejercicio de la rectoría de la autoridad nacional de salud.,incrementar el acceso a atención integral de salud.,mejorar asignación de presupuesto para atención integral.,difundir la importancia de la salud como derecho.,B
"En un establecimiento de salud I-4, ingresa paciente con parto inminente, no controlada. ¿ Cuál de 
las siguientes pruebas de tamizaje rápido se utiliza para detectar anticuerpos contra VIH y 
treponema pallidum o anticuerpos treponémicos totales?",FTA-Abs,PM (pruebas moleculares),PRT (pruebas rápidas triples),PRD (pruebas rápidas duales),D
"Durante la visita a un niño con anemia, se le orienta a la madre darle alimentos ricos en hierro como 
la sangrecita, sin embargo, la madre señal que su religión no se lo permite. ¿Cuál es la conducta 
más adecuada para mejorar el estado de salud del menor?",Llamarle la atención por negligencia y desidia,Obligar a que la madre lo alimente con la sangrecita,Respetar la decisión y creencia de la familia,Fortalecer el consumo de hierro intradomiciliario,D
"El tabaco es un factor de riesgo para cáncer pulmonar y EPOC, una intervención efectiva para 
disminuir la exposición es la implementación de medidas correctivas que favorezcan espacios libres 
de humo, siendo una función de salud...",individual.,pública.,familiar.,participativa.,B
"Durante la consulta de curso de vida de un adulto mayor, identifica que hace varios años no se ha 
aplicado vacunas, por lo que lo sensibiliza informándole sobre los beneficios. De acuerdo al curso 
de vida, le corresponde:",Hepatitis B y antiamarílica,Antiamarílica e influenza adulto,Influenza adulto y neumococo,"VPH, SPR y neumococo",C
"Frente a un paciente con sospecha de neumotórax y/o atrapamiento aéreo; para un adecuado 
diagnóstico, se debe tomar una radiografía en:",Decúbito supino,Inspiración,Decúbito prono,Espiración,D
"Un médico serumista se encuentra trabajando en un centro de salud de 12 horas, al cual acude una 
gestante de bajo riesgo obstétrico con contracciones. ¿A qué establecimiento de salud le 
corresponde referir?",I - 3,I - 4,II - 1,III - 1,B
"En el proceso de atención de Juan en consulta externa, el médico asume un rol ""Consejero 
- consultor"", buscando la autocomprensión de sus valores en salud del paciente. ¿Cómo se 
denomina a esta modelo de relación profesional de salud - paciente?",Deliberativo,Informativo,Paternalista,Interpretativo,D
"Las condiciones en que viven las personas y sus experiencias de convivencia que condicionan su 
salud, son determinantes de tipo:",Pobreza,Ambiental,Económico,Social,D
"¿Cuál es una vacuna multidosis, indicada a partir de los 15 meses hasta los 59 años?",Tétano y Difteria (DT),Antiamarílica (AMA),BCG,"Sarampión, Papera y Rubeola (SPR)",B
"Para garantizar el adecuado desempeño de los recursos humanos de su establecimiento de salud. 
¿Qué se debe considerar?",Virtudes,Competencias,Valores,Caracteres,B
Se considera posible cáncer o enfermedad muy grave a todo niño o adolescente que presente:,Ganglios mayores de 5 cm de cualquier localización,"Inicio progresivo de visión borrosa, doble o ceguera","Cefalea con pred, diurno, persistente y progresivo",Fiebre de duración mayor a 7 días sin causa conocida,D
"Se identifica un caso índice de tuberculosis en su comunidad, en población semicerrada, por lo 
que, de acuerdo con la normativa, inicia estudio de contactos. ¿Cuál es el plazo límite para el 
estudio de contactos?",≤7 días calendario,>7 días calendario,<48 horas,≥48 horas,A
"Se desea ordenar el servicio de Admisión en un establecimiento de salud. ¿Hasta cuántos años de 
la última consulta se pueden tener las historias clínicas en el archivo activo?",2,3,5,10,C
"Durante las campañas de vacunación se intervienen a las instituciones educativas a fin de vacunar 
a los niños y niñas con la vacuna de VPH para protegerlos y prevenir el cáncer cervical. ¿Desde 
qué edad se puede vacunar y cuantas dosis se debe aplicar?",9 años y dosis única,11 años y dosis única,9 años y dos dosis,13 años y dosis única,A
"Tras administrar un medicamento ""x"" a un paciente, este reporta nauseas. Esta reacción a pesar 
de solo ser una sospecha de haber sido generada por el medicamento ""x"", sin necesidad de 
confirmar la relación causal, debe reportarse en la historia clínica del paciente; porque corresponde 
a:",Reacción bien caracterizada,Evento centinela,ESAVI,Sospecha de reacción adversa,D
"En una actividad de prevención de cáncer en su comunidad, Ud. acude con su equipo 
multidisciplinario en salud para la captación de personas en riesgo, según la normatividad vigente 
sobre el acceso a la cobertura oncológica ¿Cuál es la conducta a seguir?",Citología cervical a mujeres de cualquier edad,Tamizaje de piel a varones mayores de 50 años,Dosaje de PSA a partir de los 40 años,Aplicar IVAA a mujeres de 30 a 49 años,D
"Varón de 18 años le comenta a usted que tuvo su primera relación sexual sin protección para lo 
cual pide una prueba de descarte de VIH. Al regresar a consulta para su resultado se da con la 
noticia que es positivo ¿Qué responsabilidades tiene usted como médico?",Movilizar redes de soporte social para el paciente,Coordinar con el servicio de inmunizaciones,Confirmar el diagnóstico,Identificar al agente de soporte,C
"La organización mundial de la salud ratifica la importancia de la actividad física y la considera como 
el factor que interviene en el estado de salud de las personas y la define como la principal estrategia 
en prevención de la ...",morbilidad.,letalidad.,mortalidad.,obesidad.,D
"Mariela de 25 años acude por segunda vez en un mes al servicio de medicina por problemas 
personales no físicos, con insomnio y preocupación. Ante esta situación el médico SERUMS aplica 
el Cuestionario Symptoms Report Questionnaire - SRQ; luego de responder las primeras 18 
preguntas obtiene  un puntaje de 09, esto significa:",Alta probabilidad de sufrir enfermedad mental,Joven con personalidad normal,Probabilidad baja de sufrir ansiedad,Alta probabilidad de sufrir adicción,A
"En el PS I-2 de la región central se ha detectado un caso de fiebre amarilla selvática, en este caso la 
notificación es:",Mensual,Inmediata,Quincenal,Semanal,B
