questions,option_A,option_B,option_C,option_D,correct_answer
"La organización mundial de la salud ratifica la importancia de la actividad física y la 
considera como el factor que interviene en el estado de salud de las personas y la define 
como la principal estrategia en prevención de la ...",morbilidad.,obesidad.,letalidad.,mortalidad.,B
"En un establecimiento de salud I-4 el médico jefe debe elaborar el ...... que es una 
herramienta de gestión que considera las actividades para la implementación del plan 
operativo institucional.",Plan de abastecimiento e inversiones,Plan estratégico institucional,Cuadro multianual de necesidades,Plan de salud local,D
"Personal de salud, realiza sesión educativa en el establecimiento e identifica a mujer con 
vida sexual activa, que desde hace un año no usa método anticonceptivo, la refiere a 
consultorio de PPFF, donde opta por un método. ¿Cuál es la definición operacional para 
su registro en el HIS?",Usuaria captada,Atención en PPFF,Charla informativa,Consejería en PPFF,A
"Dentro del paquete integral de salud adulto mujer. ¿Qué atenciones preventivas se 
realizan?","Despistaje de Sífilis,VIH/SIDA, cáncer de cérvix",Atención de violencia familiar,Tratamiento de algun daño prevalente,Identificación de síndrome de maltrato,A
"Al realizar la visita de seguimiento a una gestante de 28 años de edad, relata que su esposo 
la dopa y abusa sexualmente, por lo que el embarazo es no deseado, pide confidencialidad 
no comentar con otros profesionales de la salud por sentir vergüenza. Si la intervención es 
multidisciplinaria. ¿Qué acciones se debe tener en cuenta para respetar el derecho a la 
confidencialidad?",Coordinar acciones conjuntas para el acompañamiento y protección,Prevención de enfermedades de trasmisión sexual,Derivar a psicología para atención en salud mental,Derivar a un establecimiento de salud de mayor complejidad,A
"En la comunidad rural donde realiza su SERUMS varios moradores reportan el hallazgo 
de muerte y enfermedad inusuales en cuyes y ratas de campo, por lo que debe proceder a 
la notificación respectiva. ¿Cuál es el acontecimiento epidemiológico presentado?",Zoonosis,Endemia animal,Epizootia,Brote infeccioso,C
"En el centro de salud del primer nivel de atención, se esta llevando a cabo, pruebas de 
tamizaje de enfermedades venereas. Dicha estrategia corresponde al nivel de prevención:",Primaria,Cuaternaria,Terciaria,Secundaria,D
"Adolescente de 13 años, con 38 semanas de gestación, migrante de los andes, sin control, 
indica relaciones sexuales han sido voluntaria con ex pareja de 35 años, viene acompañada 
de madre al establecimiento I-3 ¿Cuál es la conducta a seguir?","Comunicar a las autoridades, como código violeta y referencia hospitalaria",Responsabilizar a sus progenitores por negligencia hacia la paciente,"Aplicar kits completos de emergencia para descarte de ITS, VIH, Hepatitis B",Brindar actividades socio educativas a fin de que paciente identifique riesgos,A
"Varón de35 años acude al establecimiento de salud para evaluación médica. Durante la 
consulta refiere que presenta tos y flema desde hace 15 días. Según la Norma Técnica de 
salud para la prevención y control de tuberculosis. ¿Cómo se denomina a un paciente con 
esta sintomatología?",Paciente con infección latente por tuberculosis,Sintomático respiratorio examinado,Sintomático respiratorio,Paciente con tuberculosis sensible,C
"¿Cuál es una vacuna multidosis, indicada a partir de los 15 meses hasta los 59 años?",BCG,"Sarampión, Papera y Rubeola (SPR)",Antiamarílica (AMA),Tétano y Difteria (DT),C
