questions,option_A,option_B,option_C,option_D,correct_answer
"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.",Teleconsulta,Teleinterconsulta,Telemonitoreo,Teleorientación,D
"Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...",incluye los procedimientos del proceso de la práctica «centinela».,usa mediciones sistemáticas.,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,usan datos específicos de información adicional.,C
"La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?",El responsable de epidemiologia y jefe de establecimiento,Promotores de salud y responsable de promoción de la salud,Todo el personal de salud y autoridades locales,Coordinadores de red y responsable de epidemiología,C
"En su comunidad observa con mucha frecuencia casos de alcoholismo en varones y también violencia física de ellos contra 
sus esposas, para investigar en el menor tiempo posible, si hay asociación entre el alcoholismo y la violencia familiar. ¿Qué 
diseño de estudio elegirá?",Cuasi experimental,Descriptivo,Analítico,Cohortes,C
En el marco del cuidado integral de la salud. ¿Cuáles son sus enfoques?,"Interculturalidad, solidaridad, eficiencia, equidad","Integralidad, calidad, solidaridad, equidad","Derechos humanos, interculturalidad, genero, equidad","Derechos humanos, solidaridad, eficiencia, calidad",C
"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los 
alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes 
firman y el personal interviene atendiendo.",justicia,autorización,consentimiento informado,beneficencia,C
"¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, 
creencias, conductas y normas?",Principios institucionales,Clima organizacional,Cultura organizacional,Valores institucionales,C
"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?",Regular,De caso,Dirimente,Externa,B
"En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",no necesaria pero suficiente.,de tipo ambiental.,necesaria y suficiente.,necesaria pero no suficiente.,D
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Responsabilidad,Deontología,Comisión de ética,Moral,B
