questions,option_A,option_B,option_C,option_D,correct_answer
"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Estilo de vida,Hábito saludable,Autocuidado,Práctica,A
"Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, 
las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:",Uso irracional de medicamentos,Uso de medicamentos genéricos,Petitorio de los mismos medicamentos,Uso adecuado de medicamentos de marca,A
"Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales 
interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?",Curso de vida,Cuidado integral,Vías de cuidados,Determinante social,A
"Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos 
problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?",Clima organizacional,Recursos humanos,Plan de acción,Proyecto de mejora,A
"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la 
literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Artículo original,Revisión sistemática,Reporte de caso,Carta al editor,B
"Milena, una obstetra serumista coloca una ampolla intramuscular de metamizol a una gestante que viene con fiebre, minutos 
después siente mareos, nauseas y se observa en la zona de aplicación un rash; por tanto ella debe consignar en la historia 
clínica de manera obligatoria las sospechas de reacciones adversas y reportarlas en el formato correspondiente y remitirlo al 
comité de ...... y tecnovigilancia de la IPRESS en los plazos correspondientes.",auditoría interna,auditoría externa,control interno,farmacovigilancia,D
"Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer 
una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?",Definir sus instrumentos de medición,Revisar literatura científica sobre el tema,Elaborar su pregunta de investigación,Elegir los objetivos de estudio,B
"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a 
las cuales debe alinear sus objetivos operativos.",desarrollos institucionales,estrategias institucionales,acciones institucionales,organizaciones institucionales,B
"En el manejo integral de una paciente de 50 años con diabetes mellitus tipo II. ¿Qué valor de hemoglobina glicosilada indica 
un control metabólico óptimo?",< 7.5%,< 7%,< 6.5%,< 6%,B
"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como 
profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Persuadir su deseo,Denegarle la atención,Respetar su pedido,Enviarla a otro establecimiento,C
"Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de 
las enfermedades...",degenerativas / infecciosas.,crónicas / infecciosas.,infecciosas / crónicas.,infecciosas / prevalentes.,C
"Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el 
establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo 
procedes ante este caso?",Solicitar al presidente de la comunidad que intervenga,"Llegas a un acuerdo en la terapia del niño, respetando sus creencias",Discrepas con su decisión porque no es correcto,Constatar con la policía y la autoridad comunal,B
"¿Cuál es el plazo máximo en días para entregar copia autenticada de la historia clínica y epicrisis, cuando el usuario de salud 
o su representante legal lo solicite?",5,7,10,3,A
Dentro del paquete preventivo de salud del adolescente. ¿Cuántas mediciones al año de hemoglobina debe realizarse?,1,6,4,2,D
El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?,4,3,2,1,D
"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió 
su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición 
considera fue contrarreferido?",Curado,Retiro voluntario,Mejorado,Deserción,C
"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los 
alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes 
firman y el personal interviene atendiendo.",beneficencia,justicia,consentimiento informado,autorización,C
"Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la 
violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?",Inferencial,Descriptivo,Inductivo,Probabilístico,A
"En una institución educativa primaria de 100 alumnos, se presenta un brote de varicela con 50 casos. ¿Cuál es el indicador y 
el valor que corresponde para caracterizar el riesgo?","Tasa de prevalencia, 500 x 1000 hab","Razón de prevalencia, 50%","Tasa de incidencia, 50%","Tasa de ataque, 50%",C
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Deontología,Responsabilidad,Comisión de ética,Moral,A
"¿Cuál es la sospecha diagnóstica de cáncer infantil más probable cuando hay un aumento no controlado de glóbulos blancos 
en la médula ósea?",Neuroblastoma,Linfoma,Leucemia,Tumor de Wilms,C
"Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...",usan datos específicos de información adicional.,usa mediciones sistemáticas.,incluye los procedimientos del proceso de la práctica «centinela».,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,D
"Un profesional de la salud desea realizar una ecografía, pero no cuenta en su centro con ese apoyo diagnóstico. Para realizar 
una referencia a otro establecimiento de salud. ¿Qué debe evaluar?",Categorización,Organigrama,Flujograma,Cartera de servicios,D
"Para investigar la relación entre la anemia y el peso de niños de 6° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y el peso a todos ellos. ¿Qué método de investigación está realizando?",Mixto,Experimental,Observacional,Cuasi experimental,C
"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",De manera inmediata,Cuando se reporta el VEA de la semana,Al alta de los pacientes,Hasta las 48 horas,A
"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario 
según normativa?",Zona de selección de residuos sólidos,Depósito y lavado de carros,Zona de almacenamiento de residuos contaminados,Área de internamiento,A
"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad está cometiendo actos en contra 
de:",Justicia,Ética,Responsabilidad,Beneficencia,B
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Informar a los familiares,Mejorar el proceso de atención sanitaria en EESS,Notificarlo al nivel inmediato superior,Medidas de mejora en el EESS,C
"Mujer de 52 años acude al establecimiento refiriendo sequedad vaginal y dispareunia desde hace unos 6 meses, tiene 
antecedente de menopausia hace un año. ¿Cuál es la conducta más apropiada para esta paciente?",Prescribir terapia de reemplazo hormonal,Recomendar uso de lubricante vaginal,Referir a especialista de ginecología,Prescribir estrógeno local vaginal,D
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Genéricos,Comunes,Básicos,Esenciales,D
"Usted trabaja en un centro de salud y advierte que la población que acude son personas adultas mayores en un 80%. ¿Qué 
medida inicial puede tomar para mejorar su atención?",Tener un enfoque de derechos,Favorecer la participación de la familia,Promover la educación en la comunidad,Fortalecer su equipo multidisciplinario,D
¿Quién es el responsable frente a la pérdida de la totalidad o parte de la historia clínica en el proceso de atención de salud?,Quien la entregó por última vez,Jefe de archivo de historias clínicas,Jefe del establecimiento de salud,Quien la recibió por última vez,D
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",La aparición de enfermedades epidémicas,El surgimiento de nuevas enfermedades,El aumento en la incidencia de enfermedades,Las crisis psicosociales,C
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
…... y la prevalencia que mide la …… de la enfermedad.",virulencia / frecuencia,proporción / frecuencia,velocidad / magnitud,casos antiguos / casos nuevos,C
"Debido a que se observaron muchos casos de suicidios en adolescentes en la comunidad donde usted labora, le encargan 
realizar un estudio descriptivo sobre la depresión en adolescentes en su comunidad ¿Cuál será la principal limitante del 
estudio?",Sus resultados no serán extrapolables,Demandará costos económicos muy elevados,El análisis estadístico será muy complejo,No permitirá hallar asociación de variables,D
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear y evaluar los 
medicamentos en los sectores públicos y privados.",DIGEMID,CENARES,DIGESA,CENSOPAS,A
"Mujer de 55 años, señala que su esposo se hizo prueba de papilomavirus y salió positiva. Acude a control al centro materno 
y le realizan tamizaje con PAP que salió positivo. ¿Qué prueba está en el siguiente paso en el flujograma de atención de 
cáncer de cuello uterino?",Curetaje endocervical,Colposcopía,Nuevo PAP,Tomar biopsias,B
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-3,I-1,I-2,I-4,C
"El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de 
Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública 
renovada, esta acción corresponde a la etapa de:",Evaluación,Acceso,Asignación de recursos,Desarrollo de políticas,B
"En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?",Matriz de consistencia,Lista de verificación,Revisión de Turniting,Matriz de operacionalización,A
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",restringir o acortar,atenuar o eliminar,controlar o mantener,diferir o mitigar,B
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",herramienta de gestión,instrumento de articulación,herramienta de articulación,instrumento de gestión,D
