questions,option_A,option_B,option_C,option_D,correct_answer
"Los cambios demográficos es el factor más relevante en el fenómeno de ...... resultante de las tasas de mortalidad y 
fertilidad, principalmente, los fenómenos que producen los cambios son los que generan una modificación en el perfil 
etario de las poblaciones y en el perfil de salud, así como en la expectativa de vida.",cambios en antigenicidad,transición epidemiológica,cambios en estilo de vida,cambios ambientales,B
"Una IPRESS de la amazonía peruana quiere generar evidencia de los efectos a la salud que produce la actividad minera 
ilegal en su región. ¿Cuál es el enfoque investigativo más apropiado para abordar este problema?",Cuantitativo,Mixto,Cualitativo,Correlacional,A
"En el establecimiento de salud el cirujano dentista se retira horas antes de terminar su turno de trabajo, sin permiso para 
acudir a la festividad de la comunidad vecina; teniendo sesiones educativas pendientes con las gestantes y niños. Según 
el código de ética. ¿Cuánto tiempo de suspensión profesional puede tener?",Menos de 24 meses,Entre 30 y 36 meses,Entre 25 y 29 meses,Más de 24 meses,A
"¿Cuál es el tipo de investigación en la que al investigador le interesa caracterizar y contextualizar fenómenos, situaciones, 
eventos indicando sus rasgos más distintivos o diferenciadores?",Correlacional,Analítica,Cuasiexperimental,Descriptiva,D
"El jefe del establecimiento de salud nivel I-2 ha identificado que existe necesidad de otro personal técnico para las visitas 
domiciliarias, porque no se logran las metas programadas. ¿En qué instrumento de gestión se debe programar 
este recurso?",Plan de salud local,Plan estratégico,Plan operativo,Presupuesto por resultados,C
"En el CS I-4 con comunidad afroperuana, se busca fortalecer la aplicación del enfoque intercultural con la participación 
de autoridades y personal de salud, promotores de salud, agentes de medicina tradicional y autoridades regionales y 
locales para la identificación y solución de los problemas de salud de la persona, familia y comunidad. Esta acción se 
describe como:",Participación ciudadana,Pertinencia cultural,Adecuación Intercultural,Diálogo en salud,D
"La obstetra fue designada a una comunidad indígena donde el 50.7% de mujeres no conoce sobre ITS y las hace 
vulnerables para contraer VIH/SIDA. Debe implementar acciones de información a esta población, tomando en cuenta 
sus características culturales, garantizando el derecho a la atención en salud. ¿A qué corresponden estas acciones?",Inclusión social,Interculturalidad en salud,Diálogo cultural,Pertinencia cultural,D
"El examen de articulación de sonidos del habla, evalúa la adquisición ...… del niño.",anatómica,silábica,fonémica,vocálica,C
"Paciente con diagnóstico de glioblastoma es evaluado en el consultorio de cuidados paliativos; manifiesta al médico que 
la dosis de fármaco que debe tomar a las 12 de la medianoche le altera el sueño por lo que ha decidido no tomarla. El 
médico realiza el ajuste en la prescripción de la hora de administración del fármaco, por lo que llegan a un acuerdo 
generando satisfacción y compromiso en el paciente. ¿Qué tipo de atención está realizando?",Atención primaria renovada,Atención centrada en la persona,Atención centrada en la familia,Atención centrada en la comunidad,B
"Su centro de salud le ha solicitado elaborar y estandarizar el formato de informe de exámenes de laboratorio, con el fin 
de mejorar la gestión de la historia clínica. ¿Cuál es parte del contenido mínimo de dicho formato?",Breve descripción del caso,Diagnóstico clínico presuntivo,Fecha y hora de emisión de resultado,Marca del equipo o reactivo utilizado,C
