questions,option_A,option_B,option_C,option_D,correct_answer
"Dentro de las estrategias planteadas en el establecimiento de salud en el área niño para la cobertura de sus indicadores 
de gestión se estableció trabajo intra y extramural el cual abarca coordinar con municipalidades, colegios e instituciones 
de la jurisdicción para la realización de un trabajo conjunto que incida en mejorar el vínculo entre instituciones así como 
también se estableció la participación de empresas privadas de la jurisdicción. ¿Qué principio del sistema de salud se 
toma en cuenta?",Sostenibilidad,Participación,Orientación a la calidad,Intersectorialidad,D
"El análisis ...... permite relacionar los factores externos (entorno) e internos (intorno) de la organización, así como 
descubrir las posibilidades de éxito o fracaso de la organización.",Situacional,Retrospectivo,Estratégico,FODA,D
"Varón de 68 años acude a su consulta nutricional, después de la evaluación nutricional antropométrica, se determina que 
presenta IMC de 27.5, el profesional nutricionista registra la interpretación de los valores de índice de masa corporal (IMC) 
como:",Normal,Obesidad,Sobrepeso,Delgadez,A
"Resultado de diagnóstico serológico de un paciente, se comprueba la presencia de proteínas séricas (anticuerpos) 
producidas como respuesta inicial ante la presencia de componentes estructurales del virus dengue y otras arbovirosis, 
¿Cuál es la Inmunoglobulina detectada?",M,G,E,A,A
"Ud. como personal de salud, acude con su equipo multidisciplinario a una visita domiciliaria de una persona con Diabetes 
mellitus, los familiares indican que el paciente toma medicación de forma irregular, ha mejorado su alimentación baja en 
azúcar, realiza actividad física 3 veces por semana ¿Qué indicación daría al paciente?",Coordinar una consulta de inmediato,Fortalecer adherencia al tratamiento,Abandonar el tratamiento,Disminuir dosis de medicamento,B
"Varón de 60 años, acude al establecimiento de salud para su tratamiento odontológico. Antecedente: hace 5 meses, 
manipuló el hocico de su vaca que murió a los 5 días con rabia. El personal de salud lo notifica y define el caso de la 
paciente como:",Probable,Contacto,Confirmado,Sospechoso,B
"La IPRES busca identificar estrategias para lograr sus objetivos institucionales en un periodo principalmente de 5 años 
incluidos en el plan multianual. ¿Cuál es el instrumento de gestión al que debe alinear sus objetivos?",POI,PIA,PEI,PDC,C
"Una puérpera hospitalizada en su centro de salud pide alta voluntaria, por lo que solicita una copia autenticada de su 
historia clínica y epicrisis. ¿Cuál debe ser la respuesta de la IPRESS?",Aceptar en el lapso de 1 mes,Referirla a la DIRIS/GERESA,Entregar en el lapso de 5 días,Rechazar por no estar obligada,C
"El contenido de la historia clínica de una paciente fallecida por presunta negligencia médica (muerte materna), debe ser 
custodiada bajo medidas de mayor seguridad. El tipo de archivo dónde se ubica se denomina:",Especial,Pasivo,Común,Activo,A
"Mujer de 25 años procedente de una comunidad nativa acude al establecimiento de salud, refiere que su niño de 1 año y 
10 meses fue mordido por murciélago en la cabeza, el personal de salud evalúa e indica vacunación antirrábica, según 
la norma técnica de rabia el lugar de aplicación es:",Glúteo,Zona periumbilical,Deltoides,Cara anterolateral del muslo,D
"En estudios clínicos y epidemiológicos, la medición de variables que incluyen la perspectiva del paciente con referencia 
a resultados relacionados a su calidad de vida. ¿Cuáles son los instrumentos de recolección de datos más indicados?",Registros y documentos ya existentes,Entrevistas y cuestionarios,Observación directa e indirecta,Registro por el paciente y familiar,B
"El personal de salud realiza visita domiciliaria a una vivienda donde se ha reportado casos de mordedura por araña, 
observan que no realizan limpieza permanente en habitaciones, muebles, cuadros, percheros de ropa y hay presencia de 
araña en los rincones, ¿Cuál es el tipo más probable?:",Latrodectus,Lycosa,Loxoceles laeta,Phoneutria,C
"Se desea evaluar el impacto del sulfato ferroso sobre el promedio de hemoglobina en niños de su comunidad. ¿Cuál es 
la prueba estadística que debe utilizar para probar su hipótesis?",Correlación de Pearson,t de Student,Percentiles,Chi cuadrado,B
"¿Cuál es uno de los cuatro ejes del desarrollo de la telesalud e incluye actividades de organización, dirección y control 
de servicios de salud?",Telemonitoreo,Teleorientación,Teleconsulta,Telegestión,D
"Como área usuaria de primer nivel de atención, usted tiene que hacer seguimiento de sus requerimientos. ¿Cuál es el 
documento de gestión que la DIRIS/DIRESA tiene que enviar a su establecimiento para tal fin?",Plan de continuidad operativa,Cuadro multianual de necesidades,Centro de costos,Cuadro de necesidades,D
"En la aplicación de la ficha familiar realizada por el personal de salud capacitado se ha establecido en los últimos meses 
que la incidencia de casos de anemia de niño y gestante está relacionada con factores económicos, vivienda y estilo de 
vida de la familia. ¿Qué aspectos nos permite identificar en la aplicación de la ficha?",Tipos de familia,Datos demográficos,Determinantes de salud,Número de casos de anemia,C
"Usted realiza su SERUMS en un establecimiento cuyas UPSS son Consulta Externa y Laboratorio Clínico. ¿Cuál es la 
categoría del establecimiento?",II-1,I-3,I-2,I-4,B
"Adulto mayor de 60 años indigente, agresivo, es llevado al CS por los vecinos, refieren que vive en la calle y que hace 
una hora lo mordió una rata en el dedo cuando realizaba labores de reciclaje, respecto a las mordeduras por roedores 
para la prevención de rabia y la situación del paciente. ¿Cuál es la conducta a seguir?",Vacunación esquema post exposición,Vacunar al paciente y consulta médica,Indicar desratización y fumigación,No vacunar y consulta a psicología,D
"En un pueblo amazónico se está implementando una RIS de manera ordenada, siguiendo la normativa del MINSA, 
considerando su realidad local. ¿Qué característica del proceso se está cumpliendo?",Planificado,Progresivo,Sistemático,Sostenible,C
"Al evaluar una nueva prueba diagnóstica, se realizan diversos cálculos, uno de ellos es la proporción de sujetos con una 
prueba negativa que no presentan la enfermedad, siendo este parámetro:",Falsos positivos,Valor predictivo negativo,Valor predictivo positivo,Falsos negativos,B
"En una comunidad, se han identificado algunos casos de rabia urbana, ante esta situación, el personal salud realiza 
acciones preventivas ante la mordedura de perros en la población. ¿Cuáles son las medidas a recomendar?","Identificar al animal, vacunar y dar antibiótico","Lavar la herida, cubrirla y dar tratamiento en posta más cercana",Identificar al animal y llevarlo a la posta para su control,"Lavar la herida, identificar al animal mordedor y acudir al EESS",D
"En los centros y puestos de salud, el ...... asume la responsabilidad de la gestión del SISMED debiendo designar a un 
responsable de farmacia y garantizar el soporte logístico y administrativo necesario.",químico farmacéutico,jefe del establecimiento,médico,administrador,B
"Los cambios demográficos es el factor más relevante en el fenómeno de ...... resultante de las tasas de mortalidad y 
fertilidad, principalmente, los fenómenos que producen los cambios son los que generan una modificación en el perfil 
etario de las poblaciones y en el perfil de salud, así como en la expectativa de vida.",cambios en antigenicidad,transición epidemiológica,cambios ambientales,cambios en estilo de vida,B
"Al asumir la responsabilidad de su servicio, encuentra como línea base una gran cantidad de problemas a resolver, para 
destinar los recursos disponibles de manera racional y eficiente, debe priorizar los problemas raíz. Bajo el supuesto que 
el 20% de las causas genera el 80% de los problemas. ¿Qué herramienta de gestión debe elegir para establecer la 
priorización?",Rueda de Deming,Diagrama de Paretto,Diagrama de Ichikawa,Análisis FODA,B
"Grupo de estudiantes de ciencias de la salud se acercan al CS, a solicitar vacunación antirrábica ya que viajarán a una 
comunidad de Loreto, refieren que hay reporte de mordeduras por murciélagos hematófagos, ante esta situación el 
personal de salud indica vacunarlos con el esquema pre exposición que consta de ...... dosis.",2,4,3,5,C
"En el modelo de abordaje de Promoción de la Salud. ¿Qué escenario nos permite trabajar con la comunidad la alta 
incidencia de anemia en el distrito de la Victoria del año en curso?",Colegio,Familia,Iglesia,Municipio,D
"La disminución de la mortalidad infantil, prematura por desnutrición y por enfermedades transmisibles, si bien han 
aumentado la esperanza de vida, ha traído consigo un perfil diferente de morbimortalidad, con predominio de las 
enfermedades:",Por vectores,No transmisibles,Genéticas,Huérfanas,B
"Antes de realizar un procedimiento en la toma del PAP, como colocar el espéculo; debo solicitar la autorización del mismo 
y explicar los beneficios del procedimiento. ¿En que documento debe quedar la evidencia?",Consentimiento informado,Libro de reportes,Ficha de vigilancia,Registro de atención,A
"Dentro de los factores determinantes de la salud las características genéticas y biológicas son catalogadas dentro de la 
categoría de:",Ambiente socio-económico,Servicios de salud,Hábitos personales de salud,Capacidad individual y aptitudes de adaptación,D
"Mujer de 32 años, pescadora, acude a la posta de Talara, presentando tos con flema por más de 15 días, febrícula, 
sudoración nocturna y pérdida de peso. Examen:  T°: 37.2 °C, FR: 21X', FC: 88X', PA: 115/80 mmHg. Aparato respiratorio 
y cardiovascular aparentemente normal. ¿Cuál es el diagnóstico?",TB confirmado por clínica,Sintomatico respiratorio,Caso presuntivo de TB,Caso de TB,C
"El servicio de laboratorio clínico de un establecimiento I-4, ha suspendido las pruebas bioquímicas por avería permanente 
del fotómetro digital. ¿Qué elemento de la oferta de servicios de salud se ha perdido?",Tamaño de los recursos,Capacidad de oferta,Capacidad resolutiva,Calidad de atención,C
"Mujer de 22 años, primigesta, acude a emergencia del hospital por sangrado vaginal, luego de la atención se indica a la 
familia que fue un aborto y está en recuperación, a la investigación del caso se presume las siguientes causas, tener un 
...... como animal de compañía, que le causó ...",perico / Leptospirosis.,hamster / Rabia.,gato / Toxoplasmosis.,perro / Toxocara.,C
"El fortalecimiento de capacidades del personal de salud para mejorar la calidad en un servicio específico de atención 
primaria de salud, es una actividad acorde al objetivo de planeamiento estratégico relacionado a …",difundir la importancia de la salud como derecho.,incrementar el acceso a atención integral de salud.,mejorar asignación de presupuesto para atención integral.,fortalecer el ejercicio de la rectoría de la autoridad nacional de salud.,B
"Esposos presentan síntomas gastrointestinales como diarrea, nauseas y malestar, luego de haber ingerido alimentos 
preparados en casa, acuden a la posta de la comunidad, luego de la atención el personal de salud indica a los alimentos 
como posible causa. ¿Cómo define este problema de salud?",Caso de ETA,Brote familiar de ETA,Brote de fuente común,Brote propagado,B
"El jefe de un establecimiento de salud requiere de hemoglobinómetros para realizar los controles de hemoglobina durante 
las visitas a la comunidad. La anemia es la primera morbilidad en el distrito y sobre todo en su localidad. Ha decidido 
presentar su requerimiento al alcalde. ¿Qué documento de gestión usará para sustentar lo requerido?",POI,ASIS,PEI,PPR,B
"Una IPRESS de la amazonía peruana quiere generar evidencia de los efectos a la salud que produce la actividad minera 
ilegal en su región. ¿Cuál es el enfoque investigativo más apropiado para abordar este problema?",Cuantitativo,Correlacional,Cualitativo,Mixto,A
"Con el interés de conocer los efectos a la salud humana de la exposición al arsénico a través del agua de consumo, 
plantea un proyecto de investigación analítico. ¿Cuál es la instancia a donde debe someter a revisión y aprobación 
su proyecto antes de recolectar datos?",Municipalidad distrital,Jefe de servicio,Comité de Ética en Investigación,Director de la IPRESS,C
