questions,option_A,option_B,option_C,option_D,correct_answer
"¿Como se conocen a aquellos medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el 
país y que luego de una evaluación técnica especializada multidisciplinaria han demostrado ser comparativamente 
seguros, eficaces y costo efectivos y deben estar disponibles en todo momento y al alcance de la población que los 
necesita?",Genéricos,De estrategias sanitarias,Huérfanos,Esenciales,D
"Para el tratamiento de hipercolesterolemia en pacientes adultos. ¿Cuál es una acción de seguimiento en sus controles 
bioquímicos?",Control de creatinina,Toma de glucosa al inicio de tratamiento,Prueba de electrolitos,Control de la función hepática,D
"El jefe de la RIS Jicamarca a evaluado un incremento en la prevalencia de caries dental en la población infantil de Campiña 
durante el 2025, esta localidad no cuenta con red de agua potable ni de alcantarillado. Si, requiere orientar las 
intervenciones sanitarias hacia la solución de las necesidades de salud locales priorizadas. ¿Qué documento de gestión 
participativa debe elaborar?",Plan Operativo Institucional,Plan Concertado de Desarrollo Local,Plan de Salud Local,Análisis de la Situación de Salud Local,C
"Al presentarse en el EESS le asigna la función de realizar los procedimientos de limpieza y desinfección, aplicados a 
infraestructura, ambientes, equipos, utensilios, superficies con el fin de reducir considerablemente la carga microbiana y 
peligros del servicio de Nutrición. ¿En que documento se contemplan dichos procedimientos?",Programa de Higiene y Saneamiento (PHS),Principios Generales de Higiene (PGH),Informe de Vigilancia Sanitaria,Buenas Prácticas de Manipulación (BPM),A
"El análisis de la situación de salud realizado en el establecimiento de salud de Puno nos indicó que se contaba con un 
90% de pacientes adultos mayores en horario de mañana a comparación de niños y adolescentes, lo cual determino 
modificación en el número de personal y servicios a brindar en la institución. ¿Qué etapa del ASIS se cumple?",Estrategias para solución de problemas,Análisis de riesgos de salud,Análisis de datos y de factores causales,Identificación y priorización de problemas,D
"En un centro de salud I-4, el nuevo médico jefe ha reestructurado el rol central de esta institución, la población objetivo 
asignada y los atributos de la entidad. Esta construcción de elementos se denomina:",Misión,Objetivo,Indicador,Visión,A
"Se desean disminuir los casos de anemia en una comunidad, ¿Qué políticas saludables se deben desarrollar con el 
objetivo de introducir la promoción de salud en ámbitos diferentes al sanitario?",Farmacológicas,Ambientales,Intersectoriales,Económicas,C
"El fortalecimiento de capacidades del personal de salud para mejorar la calidad en un servicio específico de atención 
primaria de salud, es una actividad acorde al objetivo de planeamiento estratégico relacionado a …",fortalecer el ejercicio de la rectoría de la autoridad nacional de salud.,mejorar asignación de presupuesto para atención integral.,difundir la importancia de la salud como derecho.,incrementar el acceso a atención integral de salud.,D
"En el tratamiento de la anemia gestacional. ¿Cuánto tiempo después de ingerir leche o alimentos ricos en calcio debe 
tomar el suplemento de hierro?",Una hora,2 horas,Inmediatamente,3 horas,A
"El CS desea que todos sus trabajadores tengan valores fundamentales inviolables para conducirse y responder al entorno 
así como la imagen sugerente de su futuro como organización. Es definición de ...",misión.,visión.,valores.,planeamiento.,B
