questions,option_A,option_B,option_C,option_D,correct_answer
"Según la historia natural de la enfermedad, identificar una persona con diabetes en la fase subclínica corresponde al periodo 
...... y el nivel de prevención es...",patogénico / secundario.,pre patogénico / secundario.,patogénico / terciario.,patogénico / primario.,A
"Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...",incluye los procedimientos del proceso de la práctica «centinela».,usan datos específicos de información adicional.,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,usa mediciones sistemáticas.,C
"Como parte de la atención estomatológica integral de personas con enfermedades no transmisibles (ENT); se recomienda 
realizar una evaluación periodontal. ¿Para qué debe realizarse esta evaluación una vez al año?",Tratamiento,Detección,Intervención,Control,B
"Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.",riesgo,intervención,soporte,análisis,B
"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Estilo de vida,Autocuidado,Hábito saludable,Práctica,A
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Grave,Confirmado sin signos de alarma,Probable con signos de alarma,Hemorrágico con signos de alarma,C
"Un profesional de la salud desea realizar una ecografía, pero no cuenta en su centro con ese apoyo diagnóstico. Para realizar 
una referencia a otro establecimiento de salud. ¿Qué debe evaluar?",Categorización,Organigrama,Cartera de servicios,Flujograma,C
"El personal de un establecimiento de salud desea saber lo que debe desarrollar prioritariamente. ¿Qué componente debe 
conocer para orientar sus objetivos estratégicos?",FODA,Visión,Misión,Valores,C
"Las evaluaciones e intervenciones en salud mental de la gestante se realizan en el marco de la atención de salud mental 
comunitaria, que considera diversos enfoques. El enfoque que evalúa los aspectos raciales, religiosos, políticos, orientación 
sexual, estado civil, migración, etc. ¿A qué enfoque corresponde?",Derechos humanos,Interculturalidad,Género,Interseccionalidad,D
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",Las crisis psicosociales,El aumento en la incidencia de enfermedades,El surgimiento de nuevas enfermedades,La aparición de enfermedades epidémicas,B
