questions,option_A,option_B,option_C,option_D,correct_answer
"La terapia antirretroviral de las mujeres embarazadas reduce el riesgo de transmisión vertical; por ello, es crucial asegurar 
que sean cribadas para el VIH, siendo necesario la consejería pre y post test. ¿Cuál es el paso de la consejería que hace 
referencia a analizar la situación, complementar información y establecer resoluciones conjuntas?",Cuarto,Tercero,Segundo,Primero,B
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Genéricos,Básicos,Esenciales,Comunes,C
"En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de 
cambiar, se identifican como:",Debilidades,Oportunidades,Negatividad,Amenazas,D
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Grave,Hemorrágico con signos de alarma,Confirmado sin signos de alarma,Probable con signos de alarma,D
"Para investigar la relación entre la anemia y el peso de niños de 6° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y el peso a todos ellos. ¿Qué método de investigación está realizando?",Experimental,Cuasi experimental,Observacional,Mixto,C
"Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...",usa mediciones sistemáticas.,usan datos específicos de información adicional.,incluye los procedimientos del proceso de la práctica «centinela».,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,D
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.",DIGESA,CENARES,DIGEMID,CENSOPAS,C
"La obstetra María, acude al consultorio de su colega Anaís, con su hija de 23 años para descarte de embarazo, el cual sale 
positivo, le pide a Anaís mantener en secreto el resultado, pero pasada la semana, las colegas la felicitan y hacen bromas 
por que será abuela. ¿Qué falta incurre según el código de ética y deontología Anaís?",De las relaciones profesionales,Del acto obstétrico,Del obstetra y la representación institucional,De la obstetra en la función asistencial,B
"La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?",Todo el personal de salud y autoridades locales,Promotores de salud y responsable de promoción de la salud,Coordinadores de red y responsable de epidemiología,El responsable de epidemiología y jefe de establecimiento,A
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Deontología,Moral,Comisión de ética,Responsabilidad,A
"Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe 
considerar para el archivo pasivo de historias clínicas que no han sido requeridas?",Más de 5,Más de 1,Más de 10,Más de 15,A
"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",Hasta las 48 horas,Al alta de los pacientes,Cuando se reporta el VEA de la semana,De manera inmediata,D
