questions,option_A,option_B,option_C,option_D,correct_answer
"Mujer de 40 años, natural del Callao, domicilia en el distrito Mi Perú, secundaria incompleta, madre soltera de 
cuatros hijos de 15,13, 8 y 5 años; los dos menores presentan retardo mental, sin atención de salud. 
Cuenta con vivienda precaria, sin servicios básicos. ¿Cuál es el proceso de atención que debe iniciar?",Atención de cuidado integral,"Derivación a servicio Alegra del MINJUS, para solicitar pensión alimenticia",Referencia a centro hospitalario,Gestión para certificado de discapacidad e inscripción en CONADIS a hijos,A
La recolección de datos en una investigación cuantitativa se caracteriza por:,Uso del diario de campo y toma de notas,Observación participativa y no participativa,Recolección de documentos y entrevistas,Test estandarizados con buenos niveles de validez y confiabilidad,D
"Para prevenir la anemia infantil en el distrito de San Martín de Porres, la municipalidad y los centros de salud del 
primer nivel de atención planifican la vigilancia y control de niños menores de un año, quienes deben consumir el 
hierro preventivo desde los ...… meses de edad.",3,4,6,5,B
"El ciclo de planeamiento estratégico es un proceso diseñado para impulsar el desarrollo y bienestar de un territorio 
a través de un planeamiento organizado y centrado en la obtención de resultados. ¿Cuáles son la fases de este 
ciclo?",Análisis de la situación actual; análisis prospectivo; decisión estratégica; seguimiento y evaluación de políticas y,"Misión, visión, objetivos estratégicos, seguimiento, evaluación de políticas y planes","Misión, decisión estratégica, objetivos, seguimiento, evaluación de políticas y planes","Misión, visión, decisión estratégica, objetivos estratégicos de políticas y planes",A
"Es la entrega de servicios de salud de acuerdo con los parámetros culturales de los/as usuarios/as; es decir, 
construidos a través de espacios de diálogo, en los que prestadores y usuarios/as acuerdan cuáles deben ser 
las características de los servicios que les son ofertados por parte del Estado:",Diversificación intercultural,Interculturalidad en salud,Pertinencia cultural,Adecuación cultural,C
"Los niños menores de 01 año con anemia, reciben 3 visitas domiciliarias mensuales de las actoras sociales. Para 
fortalecer las habilidades y capacidades de las lideres comunales. ¿Qué acciones prioritarias tiene que realizar el 
responsable de promoción de la salud del EESS?",Verificación del cumplimiento de las visitas,Vigilancia de la adherencia del consumo de hierro,Coordinación permanente con la municipalidad,Capacitación continua en visitas domiciliarias de calidad,D
"El programa del adulto mayor de un establecimiento de salud, no logra cumplir con la meta de atención del cuidado 
integral de salud. Como estrategia se convoca para que se integren al club del adulto mayor. ¿Qué acción prioritaria 
debe realizar para lograr un mayor número de participantes?",Convocar de los adultos mayores,Fortalecer la intersectorialidad,Planificar acciones concertadas,Censar a la población adulto mayor,B
"Un adulto mayor jubilado con diabetes mellitus y obesidad, se encuentra sin tratamiento por no contar con cita 
médica en EsSalud. Por estrategia sanitaria ¿Cómo se debe proceder?",No se le atiende por no contar con SIS,Solo brinda sesiones educativas en salud,Se atiende sin considerar el tipo de seguro,Se coordina con ESSALUD para contar con los medicamentos,C
"Paciente psiquiátrico de 32 años, ya cuenta con la referencia al hospital de salud mental. Los padres se muestran 
preocupados y deprimidos, porque los vecinos exigen que se vayan a vivir a otro lugar ya que consideran que es 
un gran riesgo para sus hijos. ¿Cómo plantearía la alternativa de solución para esta situación?",Denunciar a los vecinos,Promover la participación comunitaria,Recomendarle que cambien de domicilio,Internarlo en el hospital,B
"Trabajador de ESSALUD con TB BK (+), es derivado al EESS para la supervisión del tratamiento medicamentoso, 
sin embargo el paciente solicita análisis clínicos y radiológicos para su control por lo que acude a la oficina de 
servicio social solicitando la exoneración de los pagos ¿Cuál es la atención que se debe brindar al paciente?",Indicarle que debe de pagar los exámenes,Realizarle el estudio socio económico familiar,Aplicarle la ficha rápida de exoneración,Orientarle que estos estudios corresponden a su establecimiento de origen,D
