questions,option_A,option_B,option_C,option_D,correct_answer
"Se reportan 2 casos de peste en el hospital y se ha restringido el ingreso. Los casos son de la comunidad y no se sabe si hay 
más casos. ¿Cuál es la medida inicial a tomar?",Medidas de control químico de pulgas,Ordenamiento ambiental,Medidas de bioseguridad e identificar las casas de infectados,Control de roedores,C
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Marco teórico,Metodología,Introducción,Resultados,B
"En un establecimiento de salud que tiene bajos indicadores de desempeño, se desea realizar un concepto compartido para 
un futuro mejor, pues cada quien tiene una idea diferente de lo que se quiere lograr. ¿Qué componente estratégico se debe 
plantear entre todos?",Misión,Visión,Valores,FODA,B
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.",virulencia / frecuencia,casos antiguos / casos nuevos,proporción / frecuencia,velocidad / magnitud,D
"El personal de un establecimiento de salud desea saber lo que debe desarrollar prioritariamente. ¿Qué componente debe 
conocer para orientar sus objetivos estratégicos?",Misión,Visión,FODA,Valores,B
Respecto a la enfermedad hipertensiva: el ...... es un factor de riesgo modificable y el ...... es un no modificable.,edad / estilo de vida,origen afrodescendiente / síndrome metabólico,tabaquismo / sobrepeso,sedentarismo / sexo masculino,D
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Moral,Comisión de ética,Responsabilidad,Deontología,D
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-1,I-2,I-4,I-3,B
El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?,3,4,2,1,D
"Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de 
su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?",Exclusivo para dolor oncológico,Específico para hepatitis A,Controlado para infecciones intrahospitalarias,Para métodos de planificación familiar,A
"Personal de serenazgo, lleva al centro de salud a un paciente adulto mayor con problemas de salud y sin familiares, 
presenta indigencia y sin documentos. ¿Qué derecho se le atribuye?",Acceso a servicios de salud,Acceso a la información,Recuperación,Consentimiento informado,A
"Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...",basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,incluye los procedimientos del proceso de la práctica «centinela».,usa mediciones sistemáticas.,usan datos específicos de información adicional.,A
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Esenciales,Comunes,Genéricos,Básicos,A
"¿Qué consideraciones se deben tener en cuenta para comprar una silla para toma de muestra de un establecimiento de 
salud?",Comodidad ergonómica,Sin brazos de apoyo,Delicada a la limpieza,Que no presente respaldar,A
"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",Al alta de los pacientes,Hasta las 48 horas,Cuando se reporta el VEA de la semana,De manera inmediata,D
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",atenuar o eliminar,diferir o mitigar,restringir o acortar,controlar o mantener,A
