questions,option_A,option_B,option_C,option_D,correct_answer
"Personal de serenazgo, lleva al centro de salud a un paciente adulto mayor con problemas de salud y sin familiares, 
presenta indigencia y sin documentos. ¿Qué derecho se le atribuye?",Consentimiento informado,Acceso a la información,Recuperación,Acceso a servicios de salud,D
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.",virulencia / frecuencia,proporción / frecuencia,casos antiguos / casos nuevos,velocidad / magnitud,D
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.",DIGEMID,DIGESA,CENARES,CENSOPAS,A
"La lengua de señas, el sistema Braille, la comunicación táctil, los macrotipos, la visualización de textos, los dispositivos 
multimedia, el lenguaje escrito, los sistemas auditivos, el lenguaje sencillo, los medios de voz digitalizada  y medios 
aumentativos o alternativos de la comunicación. Es un derecho a la accesibilidad a...",la comunicación.,la educación.,los medios de comunicación.,las tecnologías de información.,A
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Valor predictivo positivo,Falso negativo,Sensibilidad ineficiente,Falso positivo,B
"Es parte integrante tanto del Sistema Nacional de Salud, del que constituye la función central y el núcleo principal, como del 
desarrollo social y económico global de la comunidad. ¿A qué corresponde esta definición?",Salud pública,Atención temprana de la salud,Salud integral,MINSA,B
"Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de 
su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?",Exclusivo para dolor oncológico,Específico para hepatitis A,Para métodos de planificación familiar,Controlado para infecciones intrahospitalarias,A
"Como parte de la prevención y control de infecciones durante la atención los centros de salud deben realizar programas 
educativos; los cuales tienen el objetivo de:",Prevención y control,Aprendizaje y enseñanza,Desinfección y esterilización,Orientación y capacitación,D
"Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos 
problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?",Clima organizacional,Plan de acción,Proyecto de mejora,Recursos humanos,A
"Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la 
violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?",Inductivo,Inferencial,Descriptivo,Probabilístico,B
"Usted desea motivar a su personal de salud para realizar una investigación científica sobe la anemia infantil en su comunidad, 
para ello les dice que el principal propósito de la investigación científica es...",captar inversiones en salud.,mejorar la gestión de la salud.,generar conocimiento científico útil.,consolidar el trabajo en equipo.,C
"Dentro de las intervenciones de promoción de la salud. El programa “Familia Saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.",intervención,soporte,análisis,riesgo,A
"Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no 
respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?",Consulta,Sugerencia,Consejería,Queja,D
"El personal T.M. realiza una atención de rehabilitación en domicilio como parte de la estrategia de RBC, a una niña de 3 años 
con diagnóstico de parálisis cerebral, la madre refiere que nunca antes recibió atención médica ni educativa, ya que no cuenta 
con seguro médico ni con medios económicos. ¿Quién detecta a las personas con discapacidad en la comunidad?",Responsable de OMAPED,Jefe del servicio de terapia,Coordinador de RBC,Agente comunitario,D
"Milena, una obstetra serumista coloca una ampolla intramuscular de metamizol a una gestante que viene con fiebre, minutos 
después siente mareos, náuseas y se observa en la zona de aplicación un rash; por tanto ella debe consignar en la historia 
clínica de manera obligatoria las sospechas de reacciones adversas, reportarlas en el formato correspondiente y remitirlo al 
comité de ...... y tecnovigilancia de la IPRESS en los plazos correspondientes.",auditoría externa,auditoría interna,farmacovigilancia,control interno,C
"Un profesional de la salud desea realizar una ecografía, pero no cuenta en su centro con ese apoyo diagnóstico. Para realizar 
una referencia a otro establecimiento de salud. ¿Qué debe evaluar?",Cartera de servicios,Flujograma,Categorización,Organigrama,A
"Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...",usa mediciones sistemáticas.,usan datos específicos de información adicional.,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,incluye los procedimientos del proceso de la práctica «centinela».,C
"En un establecimiento de salud que tiene bajos indicadores de desempeño, se desea realizar un concepto compartido para 
un futuro mejor, pues cada quien tiene una idea diferente de lo que se quiere lograr. ¿Qué componente estratégico se debe 
plantear entre todos?",Visión,Valores,FODA,Misión,A
"Varón de 17 años con artritis reumatoide juvenil, se realiza una valoración funcional, social, del entorno y psíquica, en la 
intervención de terapia ocupacional se realizó adaptaciones de la vivienda, ayudas técnicas y adaptación del puesto de estudio 
con el fin de mejorar su...",rehabiltación laboral.,orientación vocacional.,inserción laboral.,ergonomía.,D
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",instrumento de articulación,instrumento de gestión,herramienta de articulación,herramienta de gestión,B
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:",Oportunidades,Fortalezas,Estrategias,Amenazas,B
"Según la historia natural de la enfermedad, identificar una persona con diabetes en la fase subclínica corresponde al periodo 
...... y el nivel de prevención es...",patogénico / terciario.,patogénico / secundario.,pre patogénico / secundario.,patogénico / primario.,B
"La ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el 
derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios debe cumplir en la atención a la población 
objetivo?","Fraternidad, moral, deber y orden","Orden, moral, deber y derecho","Solidaridad, orden, deber y derecho","Orden, fraternidad, moral y derecho",B
"En pro de la salud y el desarrollo social entre los diferentes actores, en los distintos niveles de gobierno y de la sociedad, lo 
primero que se debe fortalecer son las...",alianzas estratégicas.,decisiones multisectoriales.,capacidades de gestión.,coordinaciones intersectoriales.,A
"Un servidor público, brinda información de un diagnóstico médico, a personas de la comunidad. ¿Qué principio ético 
está vulnerando?",Confidencialidad,Seguridad,Respeto,Individualidad,A
"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Hábito saludable,Autocuidado,Práctica,Estilo de vida,D
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Moral,Deontología,Responsabilidad,Comisión de ética,B
"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió 
su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición 
considera fue contrarreferido?",Curado,Retiro voluntario,Deserción,Mejorado,D
"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad, está cometiendo actos en contra 
de:",Responsabilidad,Justicia,Beneficencia,Ética,D
"En una institución educativa primaria de 100 alumnos, se presenta un brote de varicela con 50 casos. ¿Cuál es el indicador y 
el valor que corresponde para caracterizar el riesgo?","Razón de prevalencia, 50%","Tasa de incidencia, 50%","Tasa de prevalencia, 500 x 1000 hab","Tasa de ataque, 50%",B
"Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?",Acceso equitativo a servicios de salud integrales y de calidad,Asegurar el acceso y el uso racional de medicamentos,Desarrollo de recursos humanos para la salud,Financiamiento de la salud eficiente y equitativo,A
Según Kielhofner. ¿Cuáles son las tres áreas de la ocupación humana?,"AIVD, trabajo y roles","AVD, juego y productividad","Contexto cultural, hábitos y roles","Desempeño, ocupación y trabajo",B
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",restringir o acortar,controlar o mantener,diferir o mitigar,atenuar o eliminar,D
"En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",de tipo ambiental.,no necesaria pero suficiente.,necesaria pero no suficiente.,necesaria y suficiente.,C
"El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de 
Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública 
renovada, esta acción corresponde a la etapa de:",Evaluación,Asignación de recursos,Acceso,Desarrollo de políticas,C
"La Ley 29973, indica que la persona con discapacidad debidamente acreditada tiene un descuento del 50% sobre el valor de 
la entrada a los espectáculos culturales, deportivos y recreativos organizados por las entidades del estado. 
¿Qué institución brinda la acreditación?",DEMUNA,OMAPED,INABIF,CONADIS,D
"Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales 
interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?",Vías de cuidados,Curso de vida,Determinante social,Cuidado integral,B
"¿Cuál es el  modelo en el cual sus componentes esenciales como la prestación, organización, gestión y financiamiento están 
interrelacionados y alineados?","Cuidado integral por curso de vida para la persona, familia y comunidad",Cuidados individuales por curso de vida adolescente,Cuidados individuales periodo prenatal,Cuidados individuales por curso de vida niño,A
