questions,option_A,option_B,option_C,option_D,correct_answer
"¿Cuál es la medida de tendencia central que se interpreta como el promedio de los datos, y se construye con la suma de 
todos los datos observados entre el total de observaciones?",Rango,Moda,Mediana,Media,D
"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Autocuidado,Estilo de vida,Hábito saludable,Práctica,B
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",instrumento de gestión,herramienta de articulación,instrumento de articulación,herramienta de gestión,A
"Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?",Económico,Comercial,Estructural,Intermedio,C
"En la promoción de la salud de la persona con discapacidad se le debe orientar que tiene acceso a medicamentos, tecnología 
de apoyo y ...... para su atención y ...... tomando en cuenta su condición socioeconómica, geográfica y cultural.",dispositivos / rehabilitación,seguros / ocupación,herramientas / monitoreo,educación / diagnostico,A
"Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de 
las enfermedades...",infecciosas / crónicas.,infecciosas / prevalentes.,degenerativas / infecciosas.,crónicas / infecciosas.,A
"Los pacientes con síntomas leves de la enfermedad producida por COVID-19, con signos vitales normales, con saturación de 
oxígeno mayor a 94% y radiografía pulmonar normal. ¿Cuál es la medida general de tratamiento a seguir?",Mantenerse en reposo,Uso de oxigenoterapia,Tratamiento con corticoides,Mantener una correcta hidratación,D
"Durante la valoración terapéutica a un paciente varón de 55 años, refiere dolor constante e intenso en articulación del hombro, 
la presunción diagnóstica es …… con afectación del músculo...",tenosinovitis - serrato.,esguince - redondo mayor.,tendinosis - bicipital.,tendinitis - supraespinoso.,D
"Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, 
las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:",Uso de  medicamentos genéricos,Uso irracional de medicamentos,Uso adecuado de medicamentos de marca,Petitorio de los mismos medicamentos,B
"Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la 
violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?",Probabilístico,Descriptivo,Inductivo,Inferencial,D
Ante la presencia de un caso probable de tos ferina. ¿Cuáles son las medidas a implementar?,"Jornada de vacunación, quimioprofilaxis, búsqueda de contactos indirectos","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal","Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Censo de contactos, barrido vacunal, investigación del caso índice",B
"Las políticas de salud pública en el Perú, contemplan medidas de prevención y control de tuberculosis hacia la población. 
¿Qué acción se brinda en el primer nivel de atención?",Atención del riesgo social,Tratamiento quirúrgico,Intervenciones educativas,Pruebas de espirometría,C
"En el centro de salud de Lamas, reportan que un varón de 30 años, presenta fiebre, malestar general, sangrado y shock. Se 
informa que han aparecido muchos más casos en estos días y se sospecha de un brote de fiebre amarilla. Siendo Ro: el 
número promedio de casos nuevos que genera un caso dado a lo largo de un período infeccioso. ¿Cuál es el Ro que se 
espera tener en brote de fiebre amarilla?",Ro = 0,Ro < 1,Ro > 1,Ro > 0.5,C
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",atenuar o eliminar,diferir o mitigar,controlar o mantener,restringir o acortar,A
"El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de 
Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública 
renovada, esta acción corresponde a la etapa de:",Desarrollo de políticas,Asignación de recursos,Evaluación,Acceso,D
"Según la historia natural de la enfermedad, identificar una persona con diabetes en la fase subclínica corresponde al periodo 
...... y el nivel de prevención es...",patogénico / secundario.,patogénico / primario.,patogénico / terciario.,pre patogénico / secundario.,A
"Paciente mujer de 13 años, víctima de hostigamiento en el centro educativo, proveniente de familia disfuncional, acude al 
centro de salud de su localidad por primera vez. ¿Qué actividad se debe tener en cuenta al momento de la evaluación?",Actividad física,Psicoterapia familiar,Realizar entrevista clínica,Manejo de emociones,C
"Las personas con discapacidad física y/o mental que tenga dificultad para acudir al establecimiento de salud, se les garantiza 
el acceso a las prestaciones de servicios de salud de calidad, en ese sentido.¿A qué nivel de atención corresponde?",Cuarto,Segundo,Tercer,Primer,D
"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario 
según normativa?",Zona de almacenamiento de residuos contaminados,Zona de selección de residuos sólidos,Depósito y lavado de carros,Área de internamiento,B
"En un centro de salud, en el esquema de vacunación se contempla, que la vacuna antipolio inactivada (IPV o Salk) está 
indicado para la prevención de la poliomielitis y esta vacuna debe iniciar a los …… meses de edad.",dos,diez,ocho,cuatro,A
"Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director 
le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este 
cometido?",Compromiso paterno,Asentimiento informado,Consentimiento informado,Carta de investigación,C
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:",Amenazas,Estrategias,Fortalezas,Oportunidades,C
El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?,4,3,2,1,D
"Paciente varón de 35 años, con discapacidad física por amputación total del miembro inferior derecho cuyo objetivo es 
practicar deporte adaptado. ¿A cuál institución se le debe referir?",Comité olímpico peruano,CONADIS,Instituto peruano del deporte,Federaciones deportivas de personas con discapacidad,D
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Sensibilidad ineficiente,Valor predictivo positivo,Falso negativo,Falso positivo,C
"Paciente de 60 años, con antecedente de dolor en rodilla, el cual aumenta al bajar escaleras o ante la flexión prolongada 
(signo de la butaca) y puede presentar inestabilidad rotuliana. ¿Qué patología corresponde a la valoración física?",Tendinosis rotuliana,Síndrome rotuliano,Lesiones meniscales,Condromalacia rotuliana,B
"Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer 
una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?",Elaborar su pregunta de investigación,Definir sus instrumentos de medición,Elegir los objetivos de estudio,Revisar literatura científica sobre el tema,D
"En la enfermedad de la tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",no necesaria pero suficiente.,de tipo ambiental.,necesaria y suficiente.,necesaria pero no suficiente.,D
