questions,option_A,option_B,option_C,option_D,correct_answer
"Para investigar la relación entre la anemia y la talla de niños de 5° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y talla a todos ellos. ¿Qué enfoque de investigación está realizando?",Mixto,Cuantitativo,Cualitativo,Observacional,B
"Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos 
problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?",Recursos humanos,Clima organizacional,Plan de acción,Proyecto de mejora,B
"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.",Teleconsulta,Teleinterconsulta,Teleorientación,Telemonitoreo,C
"Al texturizar los alimentos de un paciente con disfagia empleamos una jeringa de 10 ml para probar la consistencia. Para usar 
la prueba de goteo con un tenedor. ¿Cuál es el nivel de consistencia en el marco del IDSSI?",2,4,3,5,B
Ante la presencia de un caso probable de tos ferina. ¿Cuáles son las medidas a implementar?,"Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal","Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Jornada de vacunación, quimioprofilaxis, búsqueda de contactos indirectos","Censo de contactos, barrido vacunal, investigación del caso índice",A
"En una clínica privada diagnostican con TB a una mujer de 28 años, y no cuentan con un programa gratuito para su atención. 
¿Cuál es el protocolo a seguir según normativa nacional?",A una clínica cerca de su casa,Solicitar que compre sus pastillas,Derivar a un establecimiento del MINSA o ESSALUD,Interconsulta con su médico de cabecera,C
"Varón de 36 años docente de nivel secundario, dicta en el 4to piso de una escuela, sufrió un accidente de tránsito, le 
amputaron miembro inferior derecho; al reincorporarse solicita al director realizar un ajuste razonable. ¿Qué ajuste razonable 
acorde debe realizar?",Invitarlo al retiro con indemnización,Construir un ascensor,Cambiarlo de puesto laboral,Habilitar un aula en el primer piso,D
"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los 
alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes 
firman y el personal interviene atendiendo.",autorización,consentimiento informado,beneficencia,justicia,B
"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?",Regular,Dirimente,Externa,De caso,D
"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a 
las cuales debe alinear sus objetivos operativos.",organizaciones institucionales,acciones institucionales,estrategias institucionales,desarrollos institucionales,C
"Según la ley 29973, la persona con discapacidad para comunicarse. En los procesos judiciales y en los procedimientos 
administrativos que siga ante la administración pública y los proveedores de servicios. ¿Qué tiene derecho a utilizar?",Ajustes razonables y SAAC,Lenguaje de señas y SAAC,"Lengua de señas, Braille y otros formatos",Braile y el lenguaje de señas,C
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Responsabilidad,Moral,Deontología,Comisión de ética,C
"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió 
su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición 
considera fue contrarreferido?",Retiro voluntario,Curado,Mejorado,Deserción,C
"Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la 
violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?",Inferencial,Probabilístico,Descriptivo,Inductivo,A
"La transmisión del dengue a un huésped susceptible se da a través de la picadura de un zancudo hembra infectado (Aedes 
aegypti), estos zancudos pican preferentemente ...... y transmiten la enfermedad a varias personas durante toda su vida.",al atardecer y durante la noche,a medio día y sin lluvia,al amanecer y al atardecer,solo en época de lluvias,C
"Mujer de 37 años, con anemia, nutrición le indica una dieta rigurosa de suplementos y sus controles cada semana vía 
teleorientación. ¿Cuál es el objetivo del control?",Reevaluar su hemograma,Verificar el consumo de los medicamentos,Adherencia a los suplementos,Interconsultas continuas,C
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Confirmado sin signos de alarma,Grave,Probable con signos de alarma,Hemorrágico con signos de alarma,C
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos político-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",Las crisis psicosociales,La aparición de enfermedades epidémicas,El aumento en la incidencia de enfermedades,El surgimiento de nuevas enfermedades,C
"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la 
literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Revisión sistemática,Reporte de caso,Artículo original,Carta al editor,A
"Para investigar la relación entre la anemia y el peso de niños de 6° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y el peso a todos ellos. ¿Qué método de investigación está realizando?",Cuasi experimental,Mixto,Observacional,Experimental,C
"Usted desea motivar a su personal de salud para realizar una investigación científica sobe la anemia infantil en su comunidad, 
para ello les dice que el principal propósito de la investigación científica es...",consolidar el trabajo en equipo.,captar inversiones en salud.,mejorar la gestión de la salud.,generar conocimiento científico útil.,D
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",instrumento de articulación,herramienta de gestión,herramienta de articulación,instrumento de gestión,D
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Esenciales,Básicos,Comunes,Genéricos,A
"Se reportan 2 casos de peste en el hospital y se ha restringido el ingreso. Los casos son de la comunidad y no se sabe si hay 
más casos. ¿Cuál es la medida inicial a tomar?",Medidas de bioseguridad e identificar las casas de infectados,Control de roedores,Ordenamiento ambiental,Medidas de control químico de pulgas,A
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:",Fortalezas,Oportunidades,Amenazas,Estrategias,A
"En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?",Lista de verificación,Matriz de consistencia,Matriz de operacionalización,Revisión de Turnitin,B
"Según la historia natural de la enfermedad, identificar una persona con diabetes en la fase subclínica corresponde al periodo 
...... y el nivel de prevención es...",pre patogénico / secundario.,patogénico / terciario.,patogénico / secundario.,patogénico / primario.,C
"En el centro de salud, el serumista atiende a varón de 20 años y le brinda consejería sobre salud bucal con la técnica del 
cepillado e hilo dental. ¿Qué desea implementar en la persona?",Autocuidado,Destreza,Motivación,Cambio de dieta,A
"En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?",Áreas con poca variabilidad en temperatura,Dependientes del sistema de monitoreo,Con exactitud de aproximadamente 0.3°C,Deben estar calibrados,D
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-4,I-1,I-3,I-2,D
"Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de 
su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?",Exclusivo para dolor oncológico,Controlado para infecciones intrahospitalarias,Para métodos de planificación familiar,Específico para hepatitis A,A
"¿Cuál es la medida de tendencia central que se interpreta como el promedio de los datos, y se construye con la suma de 
todos los datos observados entre el total de observaciones?",Moda,Media,Mediana,Rango,B
"Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales 
interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?",Vías de cuidados,Determinante social,Cuidado integral,Curso de vida,D
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Mejorar el proceso de atención sanitaria en EESS,Notificarlo al nivel inmediato superior,Medidas de mejora en el EESS,Informar a los familiares,B
"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Autocuidado,Práctica,Estilo de vida,Hábito saludable,C
"Paciente de 57 años, sufrió un ACV isquémico en arteria cerebral media izquierda. Utiliza palabras incorrectas desde el punto 
de vista de su selección y composición. Según Ardila. ¿Cómo se denominan esas desviaciones?",Parafasias,Logorrea,Muletillas,Agnosias,A
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.",DIGESA,CENSOPAS,DIGEMID,CENARES,C
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.",virulencia / frecuencia,casos antiguos / casos nuevos,proporción / frecuencia,velocidad / magnitud,D
"Recién nacido de 15 días con síndrome de Down al amamantar presenta 6 succiones débiles y pausa, inicia un cuadro de 
anemia. ¿Cuántas succiones aproximadamente debería realizar para considerar una succión madura?",10 a 15,10 a 30,5 a 15,5 a 10,B
"Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer 
una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?",Elaborar su pregunta de investigación,Elegir los objetivos de estudio,Definir sus instrumentos de medición,Revisar literatura científica sobre el tema,D
"En una institución educativa primaria de 100 alumnos, se presenta un brote de varicela con 50 casos. ¿Cuál es el indicador y 
el valor que corresponde para caracterizar el riesgo?","Tasa de prevalencia, 500 x 1000 hab","Razón de prevalencia, 50%","Tasa de incidencia, 50%","Tasa de ataque, 50%",C
"Mujer de 56 años con diagnóstico médico ELA, con marcha independiente, ingesta oral, presenta alteraciones en su habla 
como: prosodia monótona, voz de baja intensidad y nasalizada. ¿Qué trastorno presenta para comunicarse?",Afasia,Tartamudez,Disfagia,Disartria,D
