questions,option_A,option_B,option_C,option_D,correct_answer
"Paciente mujer de 50 años acude al centro de salud con diagnóstico de artrosis de rodillas, refiere dolor mecánico leve, 
tumefacción y rigidez articular, tiempo de evolución de 4 semanas. Evaluación fisioterapéutica: flexo extensión de rodillas 
limitados y debilidad de vastos medial y lateral. ¿Cuál es el tratamiento adecuado en base al ejercicio terapéutico?",Pliométricos de rodillas,Resistidos de cuádriceps con pesas de 3 Kg,"Concéntricos de cuádriceps, en contra de la gravedad",Descarga de peso tipo sentadillas,C
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Deontología,Comisión de ética,Moral,Responsabilidad,A
"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió 
su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición 
considera fue contrarreferido?",Curado,Deserción,Mejorado,Retiro voluntario,C
"El instrumento adecuado para la valoración funcional de un paciente adulto mayor en un centro de salud del primer nivel de 
atención es:",Índice de Katz,Escala de Gijón,Escala de Yesavage,Cuestionario de fragilidad,A
"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los 
alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes 
firman y el personal interviene atendiendo.",justicia,beneficencia,autorización,consentimiento informado,D
"La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?",El responsable de epidemiologia y jefe de establecimiento,Todo el personal de salud y autoridades locales,Promotores de salud y responsable de promoción de la salud,Coordinadores de red y responsable de epidemiología,B
"En la enfermedad de la tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",de tipo ambiental.,necesaria pero no suficiente.,no necesaria pero suficiente.,necesaria y suficiente.,B
"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad, está cometiendo actos en contra 
de:",Justicia,Ética,Beneficencia,Responsabilidad,B
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",herramienta de gestión,herramienta de articulación,instrumento de gestión,instrumento de articulación,C
"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?",De caso,Externa,Regular,Dirimente,A
"En pro de la salud y el desarrollo social entre los diferentes actores, en los distintos niveles de gobierno y de la sociedad, lo 
primero que se debe fortalecer son las...",coordinaciones intersectoriales.,capacidades de gestión.,decisiones multisectoriales.,alianzas estratégicas.,D
"En una institución educativa primaria de 100 alumnos, se presenta un brote de varicela con 50 casos. ¿Cuál es el indicador y 
el valor que corresponde para caracterizar el riesgo?","Tasa de incidencia, 50%","Razón de prevalencia, 50%","Tasa de ataque, 50%","Tasa de prevalencia, 500 x 1000 hab",A
