questions,option_A,option_B,option_C,option_D,correct_answer
"Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, 
las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:",Uso irracional de medicamentos,Uso adecuado de medicamentos de marca,Petitorio de los mismos medicamentos,Uso de medicamentos genéricos,A
"Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?",Desarrollo de recursos humanos para la salud,Financiamiento de la salud eficiente y equitativo,Acceso equitativo a servicios de salud integrales y de calidad,Asegurar el acceso y el uso racional de medicamentos,C
"Varón de 23 años, acude al establecimiento por morbilidad, el personal después de atender el motivo de consulta le oferta el 
paquete de atención integral para identificar precozmente los factores, conductas de riesgo y potenciales problemas de salud. 
¿Cómo debe ejecutarse el Plan de Atención Integral?",1 año con 7 sesiones como mínimo,1 año con 12 sesiones,6 meses con 6 sesiones como mínimo,12 meses con 6 sesiones como mínimo,A
"En un estudio sobre la depresión en adolescentes en su comunidad, aplica un instrumento de detección de depresión en 
estudiantes de 5° año de secundaria de un colegio cercano al establecimiento. ¿Qué tipo de muestreo está realizando?",Estadístico,Censal,No probabilístico,Probabilístico,C
"Milena, una obstetra serumista coloca una ampolla intramuscular de metamizol a una gestante que viene con fiebre, minutos 
después siente mareos, náuseas y se observa en la zona de aplicación un rash; por tanto ella debe consignar en la historia 
clínica de manera obligatoria las sospechas de reacciones adversas, reportarlas en el formato correspondiente y remitirlo al 
comité de ...... y tecnovigilancia de la IPRESS en los plazos correspondientes.",control interno,auditoría externa,auditoría interna,farmacovigilancia,D
"Gestante de 30 semanas, es atendida en establecimiento I-4, presenta signos compatibles con shock hipovolémico, el 
personal decide referir a un establecimiento de mayor complejidad. ¿Qué medidas incluyen el manejo durante su referencia?","Un catéter venoso central, monitoreo de funciones vitales, monitoreo de la dilatación","Una vía de NaCl 9/00 catéter N° 16, Oxígeno a 3 litros x min, posición decúbito lateral","Dos vías de NaCl 9/00 catéter N° 18, monitoreo de la dilatación, Oxígeno a 5 litros x min","Dos vías de NaCl 9/00 catéter N° 18, Oxígeno a 3 litros x min, estimar pérdidas sanguíneas",D
"La transmisión del dengue a un huésped susceptible se da a través de la picadura de un zancudo hembra infectado (Aedes 
aegypti), estos zancudos pican preferentemente ...... y transmiten la enfermedad a varias personas durante toda su vida.",a medio día y sin lluvia,solo en época de lluvias,al atardecer y durante la noche,al amanecer y al atardecer,D
"En su comunidad observa con mucha frecuencia casos de alcoholismo en varones y también violencia física de ellos contra 
sus esposas, para investigar en el menor tiempo posible, si hay asociación entre el alcoholismo y la violencia familiar. ¿Qué 
diseño de estudio elegirá?",Analítico,Cuasi experimental,Cohortes,Descriptivo,A
"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Autocuidado,Estilo de vida,Hábito saludable,Práctica,B
"Mujer de 40 años de la etnia Ashaninka, con diagnóstico de VIH, con tratamiento en establecimiento I-3, presenta infección 
oportunista y el personal sospecha de fracaso al tratamiento. ¿Cuál es la medida a seguir?","Referir por consulta externa, previa coordinación",Darle tratamiento antibiótico y hacer seguimiento,Referir por la ley de emergencias,Reiniciar el tratamiento y tratar infecciones,A
"La ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el 
derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios debe cumplir en la atención a la población 
objetivo?","Orden, moral, deber y derecho","Solidaridad, orden, deber y derecho","Orden, fraternidad, moral y derecho","Fraternidad, moral, deber y orden",A
"Varón de 35 años, acude al establecimiento I-2 para atención de morbilidad, como parte de la atención integral, se hace 
tamizaje de VIH con prueba rápida y tiene resultado reactivo, se aplica una segunda prueba con resultado No reactivo. ¿Cuál 
es el procedimiento a seguir?",Hacer seguimiento y tomar prueba en 3 días,Iniciar tratamiento con primer resultado,Se descarta el caso con segundo resultado,Tomar muestra de suero para prueba confirmatoria,D
"En el centro de salud, el serumista, atiende a varón de 20 años y le brinda consejería sobre salud bucal con la técnica del 
cepillado e hilo dental. ¿Qué desea implementar en la persona?",Destreza,Motivación,Autocuidado,Cambio de dieta,C
"Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos 
problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?",Recursos humanos,Plan de acción,Proyecto de mejora,Clima organizacional,D
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:",Fortalezas,Oportunidades,Amenazas,Estrategias,A
"En relación al almacenamiento de medicamentos: “Las condiciones de almacenamiento deben ser las recomendadas por el 
…… y autorizadas en el rotulado del producto, pudiendo ser de congelación, temperatura de refrigeración, temperatura 
ambiente y temperatura ambiente controlada, lo cual debe estar indicado en su procedimiento …… de almacenamiento.”",jefe / establecido,director / organizativo,farmacéutico / rutinario,fabricante / operativo,D
"En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",necesaria pero no suficiente.,necesaria y suficiente.,no necesaria pero suficiente.,de tipo ambiental.,A
"La ética sugiere aquello que es deseable y condena lo que no debe hacerse, mientras que la deontología cuenta con las 
herramientas administrativas para garantizar que la profesión se ejerza de manera ética. ¿Con qué debe contar un profesional 
de la salud para su ejercicio profesional?",Diplomados,Currículo vitae documentado,"Título profesional, colegiatura",Estudios de posgrado,C
"Niño de un año 6 meses, es llevado a su control de crecimiento y desarrollo, a la evaluación antropométrica tiene los siguientes 
resultados: Indicador P/E: entre -2 y +2 DS, Indicador P/T: por debajo de -2 DS e Indicador T/E: entre -2 y +2 DS. ¿Cuál es 
su clasificación nutricional?",Desnutrición global,Desnutrición aguda,Desnutrición crónica,Ganancia inadecuada de peso,B
"Usted desea motivar a su personal de salud para realizar una investigación científica sobre la anemia infantil en su comunidad, 
para ello les dice que el principal propósito de la investigación científica es...",consolidar el trabajo en equipo.,mejorar la gestión de la salud.,captar inversiones en salud.,generar conocimiento científico útil.,D
"En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de 
cambiar, se identifican como:",Oportunidades,Negatividad,Debilidades,Amenazas,D
"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la 
literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Revisión sistemática,Artículo original,Reporte de caso,Carta al editor,A
"Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de 
las enfermedades...",infecciosas / crónicas.,infecciosas / prevalentes.,crónicas / infecciosas.,degenerativas / infecciosas.,A
"En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?",Revisión de Turniting,Matriz de consistencia,Lista de verificación,Matriz de operacionalización,B
"La pertinencia cultural en los servicios de salud implica que durante todo el proceso de la atención se tome en cuenta las 
características de la población a la que se atiende, en función a su cultura y contexto social. Evaluando cuatro dimensiones: 
gestión para la calidad de la atención, revaloración del sistema de salud tradicional, recursos humanos que promueven la 
salud intercultural y la …",atención intercultural.,interculturalidad en salud.,participación ciudadana.,inclusión social.,C
"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como 
profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Respetar su pedido,Enviarla a otro establecimiento,Denegarle la atención,Persuadir su deseo,A
"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?",De caso,Regular,Externa,Dirimente,A
"Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.",análisis,riesgo,soporte,intervención,D
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Genéricos,Básicos,Esenciales,Comunes,C
"La atención integral donde el objetivo es la participación de la gestante, pareja y su familia en la preparación para un parto 
institucional, puerperio y cuidado del recién nacido; además de actividades preventivo promocionales y evitar complicaciones. 
¿A qué tipo de atención corresponde?",Prenatal reenfocada,Básica,Preconcepcional,Primaria,A
"Varón de 34 años en puesto de vacunación, se le administra la vacuna de Influenza; 8 horas después presenta dolor, 
enrojecimiento, fiebre, irritabilidad y síntomas no específicos. Llega al puesto de salud para su evaluación. ¿Cuál es el 
diagnóstico probable?",Reacción adversa,ESAVI leve,Evento adverso,Inmunogenicidad,B
Ante la presencia de un caso probable de Tos Ferina. ¿Cuáles son las medidas a implementar?,"Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal","Jornada de vacunación, quimioprofilaxis, búsqueda de contactos indirectos","Censo de contactos, barrido vacunal, investigación del caso índice",B
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Hemorrágico con signos de alarma,Grave,Probable con signos de alarma,Confirmado sin signos de alarma,C
"Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de 
su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?",Exclusivo para dolor oncológico,Específico para hepatitis A,Para métodos de planificación familiar,Controlado para infecciones intrahospitalarias,A
"Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la 
violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?",Probabilístico,Inferencial,Descriptivo,Inductivo,B
"El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de 
Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública 
renovada, esta acción corresponde a la etapa de:",Evaluación,Acceso,Asignación de recursos,Desarrollo de políticas,B
"Es una actividad que se ejecuta dentro de las 72 horas de notificado un caso probable de una enfermedad prevenible por 
vacuna y consiste en completar dosis pendientes de vacunación; en zona rural en toda la comunidad o en zona urbana a 5 
manzanas a la redonda del caso. ¿A qué actividad corresponde?",Bloqueo vacunal,Campaña de seguimiento,Semana de vacunación de las Américas,Jornada de vacunación de cierre de brechas,A
"Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer 
una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?",Elegir los objetivos de estudio,Revisar literatura científica sobre el tema,Elaborar su pregunta de investigación,Definir sus instrumentos de medición,B
"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.",Teleconsulta,Teleorientación,Telemonitoreo,Teleinterconsulta,B
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Moral,Comisión de ética,Responsabilidad,Deontología,D
"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad, está cometiendo actos en contra 
de:",Responsabilidad,Beneficencia,Justicia,Ética,D
"Personal de salud del P.S. Inmaculada toma conocimiento de un parto domiciliario, al acudir al domicilio, se trata de un recién 
nacido con peso de 2800 g, edad gestacional 39 semanas y sin malformación congénita; a la evaluación se encuentra 
hipotonía, llanto débil; es llevado al establecimiento de salud y fallece en el trayecto. ¿A qué tipo de muerte corresponde?",Neonatal evitable,Súbita del recién nacido,Perinatal por asfixia,Por aspiración meconial,A
"¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, 
creencias, conductas y normas?",Clima organizacional,Cultura organizacional,Valores institucionales,Principios institucionales,B
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-4,I-1,I-2,I-3,C
"Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales 
interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?",Curso de vida,Determinante social,Vías de cuidados,Cuidado integral,A
¿Cuál es un síntoma/signo que es considerado como riesgo para la detección de cáncer en niños y adolescentes?,Pérdida de apetito o cansancio en los últimos 3 meses,Ictericia conjuntival y palmar,Eritema con fiebre mayor a 14 días,Linfadenopatía no dolorosa con evolución de un año,A
"La enfermera Elizabeth al realizar sus intervenciones de promoción de la salud en el primer nivel de atención, en el programa 
de control de tuberculosis. ¿Qué acción debe realizar?",Estudio de contactos,Tamizaje sistemático de tuberculosis (búsqueda pasiva),Medidas de bioseguridad,Implementación de actividades con los agentes comunitarios de salud,D
"La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado 
desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. 
¿Qué principios éticos debe cumplirse?","Respeto, probidad y eficiencia","Silencio, manejo de la información",Respeto y atención diferenciada,"Veracidad, lealtad, eficiencia",A
"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a 
las cuales debe alinear sus objetivos operativos.",acciones institucionales,estrategias institucionales,organizaciones institucionales,desarrollos institucionales,B
"Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?",Comercial,Intermedio,Estructural,Económico,C
"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los 
alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes 
firman y el personal interviene atendiendo.",consentimiento informado,autorización,justicia,beneficencia,A
"Varón de 67 años se atiende en un establecimiento de salud, refiere ser hipertenso con diagnóstico de diabetes mellitus. Al 
examen PA:160/100 mmHg. Su riesgo cardiovascular es alto por historia clínica. Como profesional de salud del primer nivel. 
¿Qué intervención corresponde?",Cribado,Medidas preventivas,Estratificación,Referencia,D
"Al consultorio del Centro de Salud de Ocongate llegó el señor Mario de 66 años de edad para ser evaluado; se encuentra el 
técnico de enfermería capacitado para realizar la atención. ¿Qué tipo de valoración clínica del adulto mayor le debe realizar?",VGI,Corta,Breve,Completa,C
"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",Hasta las 48 horas,De manera inmediata,Cuando se reporta el VEA de la semana,Al alta de los pacientes,B
"Para investigar la relación entre la anemia y el peso de niños de 6° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y el peso a todos ellos. ¿Qué método de investigación está realizando?",Experimental,Mixto,Observacional,Cuasi experimental,C
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Mejorar el proceso de atención sanitaria en EESS,Medidas de mejora en el EESS,Informar a los familiares,Notificarlo al nivel inmediato superior,D
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Marco teórico,Introducción,Resultados,Metodología,D
¿Cuál es el esquema de suplementación preventiva con hierro a un lactante con bajo peso al nacer y/o prematuro?,"Inicia a los 30 días de nacido hasta los 6 meses, 4 mg/Kg/día","Inicia a los 4 meses días de nacido hasta los 6 meses, 2 mg/Kg/día","Inicia a los 30 días de nacido hasta los 5 meses con 29 días, 2 mg/Kg/día","Inicia a los 2 meses de nacido hasta los 5 meses con 29 días, 2 mg/Kg/día",C
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.",DIGEMID,CENSOPAS,CENARES,DIGESA,A
"En un establecimiento de salud que tiene bajos indicadores de desempeño, se desea realizar un concepto compartido para 
un futuro mejor, pues cada quien tiene una idea diferente de lo que se quiere lograr. ¿Qué componente estratégico se debe 
plantear entre todos?",Valores,Misión,Visión,FODA,C
"Un servidor público, brinda información de un diagnóstico médico, a personas de la comunidad. ¿Qué principio ético esta 
vulnerando?",Confidencialidad,Seguridad,Individualidad,Respeto,A
"En el consultorio de crecimiento y desarrollo del puesto de salud Mariátegui, una mamita primeriza refiere que su niño es 
prematuro, estuvo con el método canguro, actualmente su hijo tiene un mes de edad. Usted debe realizar su atención de 
CRED según su edad. ¿Cómo debe programar sus siguientes controles?",Cada 15 días hasta los 6 meses de edad,Cada 15 días hasta los 3 meses de edad,Semanalmente hasta los 3 meses de edad,Semanalmente hasta los 6 meses de edad,B
"El puesto de salud del distrito de Lares a 2 horas del Cusco reporta que veinte gallinas amanecieron muertas en toda su 
localidad; realiza el reporte como corresponde. ¿Esto se denomina?",Brote,Evento,Contingencia,Epizootia,D
"¿Cuál es la medida de tendencia central que se interpreta como el promedio de los datos, y se construye con la suma de 
todos los datos observados entre el total de observaciones?",Mediana,Moda,Media,Rango,C
El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?,2,1,3,4,B
"Según la historia natural de la enfermedad, identificar una persona con diabetes en la fase subclínica corresponde al periodo 
...... y el nivel de prevención es...",patogénico / terciario.,patogénico / primario.,patogénico / secundario.,pre patogénico / secundario.,C
"El personal de un establecimiento de salud desea saber lo que debe desarrollar prioritariamente. ¿Qué componente debe 
conocer para orientar sus objetivos estratégicos?",Visión,FODA,Misión,Valores,C
"Puérpera mediata de parto normal en un establecimiento de salud I-4, se decide mantenerla en observación un día más por 
un leve incremento de la presión arterial; a la evaluación médica al día siguiente, presenta signos de endometritis. ¿A qué 
caso corresponde?",Infección concomitante,Deficiente higiene de la puérpera,Infección asociada a la atención de salud,Mala práctica en la atención de parto,C
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Salud pública,Población indígena,Interculturalidad en salud,Cultura,C
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Valor predictivo positivo,Falso negativo,Sensibilidad ineficiente,Falso positivo,B
"Un profesional de la salud desea realizar una ecografía, pero no cuenta en su centro con ese apoyo diagnóstico. Para realizar 
una referencia a otro establecimiento de salud. ¿Qué debe evaluar?",Categorización,Organigrama,Flujograma,Cartera de servicios,D
"Personal de serenazgo, lleva al centro de salud a un paciente adulto mayor con problemas de salud y sin familiares, 
presenta indigencia y sin documentos. ¿Qué derecho se le atribuye?",Acceso a la información,Consentimiento informado,Recuperación,Acceso a servicios de salud,D
"Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el 
establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo 
procedes ante este caso?",Constatar con la policía y autoridad comunal,Discrepas con su decisión porque no es correcto,"Llegas a un acuerdo en la terapia del niño, respetando sus creencias",Solicitar presidente de la comunidad que intervenga,C
"El personal de salud en Cañete atiende a una madre de familia y su hija de 5 años de edad; en la evaluación de la niña se 
evidencia: inapetente, sueño incrementado, piel seca y su ganancia de peso no fue de acuerdo a su edad; usa el 
hemoglobinómetro portátil, obteniendo Hb: 9 g/dL. ¿Inmediatamente correspondería realizar?",Referir a hospital,Prescripción nutricional,Análisis de laboratorio,Diagnostico diferencial,C
"Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe 
considerar para el archivo pasivo de historias clínicas que no han sido requeridas?",Más de 1,Más de 15,Más de 5,Más de 10,C
"Llega a consulta de crecimiento y desarrollo una madre con su recién nacido de siete días, la enfermera ejecuta el control, 
encontrándose en valores normales en su evaluación. Se deja indicaciones. ¿A qué edad será su próxima cita?",21 días,1 mes,14 días,28 días,C
"¿Cuál es el tipo de prevención cuyo objetivo es disminuir el avance y las complicaciones de la enfermedad establecida, 
mediante acciones orientadas a disminuir las secuelas y la discapacidad?",Primaria,Terciaria,Secundaria,Cuaternaria,B
"En una institución educativa primaria de 100 alumnos, se presenta un brote de varicela con 50 casos. ¿Cuál es el indicador y 
el valor que corresponde para caracterizar el riesgo?","Tasa de ataque, 50%","Tasa de prevalencia, 500 x 1000 hab","Tasa de incidencia, 50%","Razón de prevalencia, 50%",C
"La Enfermera del puesto de salud, se encuentra con uñas cortas sin accesorios por debajo del codo; atiende a madre de 
familia que viene con su hija de 3 años de edad citada por inmunización; cuenta con desinfectante de base alcohólica, se 
higieniza la mano, prepara la vacuna para administrar; ayuda a la niña a tomar posición cómoda. ¿Qué momento del lavado 
de manos continúa?",Tercer,Primer,Cuarto,Segundo,D
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",atenuar o eliminar,restringir o acortar,controlar o mantener,diferir o mitigar,A
"Para investigar la relación entre la anemia y la talla de niños de 5° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y talla a todos ellos. ¿Qué enfoque de investigación está realizando?",Observacional,Cualitativo,Cuantitativo,Mixto,C
"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la 
……. y la prevalencia que mide la …… de la enfermedad.",velocidad / magnitud,proporción / frecuencia,casos antiguos / casos nuevos,virulencia / frecuencia,A
"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió 
su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición 
considera fue contrarreferido?",Curado,Deserción,Retiro voluntario,Mejorado,D
"Debido a que se observaron muchos casos de suicidios en adolescentes en la comunidad donde usted labora, le encargan 
realizar un estudio descriptivo sobre la depresión en adolescentes en su comunidad ¿Cuál será la principal limitante del 
estudio?",Sus resultados no serán extrapolables,No permitirá hallar asociación de variables,El análisis estadístico será muy complejo,Demandará costos económicos muy elevados,B
"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario 
según normativa?",Zona de almacenamiento de residuos contaminados,Área de internamiento,Zona de selección de residuos sólidos,Depósito y lavado de carros,C
"La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?",Todo el personal de salud y autoridades locales,Coordinadores de red y responsable de epidemiología,Promotores de salud y responsable de promoción de la salud,El responsable de epidemiologia y jefe de establecimiento,A
"La señora Kathia se acerca al puesto de salud temprano por una cita programada por enfermería, con su menor hijo de 15 
meses de edad, trae su cartilla de vacunación. Según calendario vacunal. ¿Qué vacunas se le debe aplicar?","Varicela, contra Hepatitis B","Antiamarílica, contra Hepatitis A","SPR, influenza pediátrica","Virus Hepatitis, influenza pediátrica",B
"Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...",usa mediciones sistemáticas.,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,incluye los procedimientos del proceso de la práctica «centinela».,usan datos específicos de información adicional.,B
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",Las crisis psicosociales,El aumento en la incidencia de enfermedades,El surgimiento de nuevas enfermedades,La aparición de enfermedades epidémicas,B
"En el centro de salud de Lamas, reportan que un varón de 30 años, presenta fiebre, malestar general, sangrado y shock. Se 
informa que han aparecido muchos más casos en estos días y se sospecha de un brote de fiebre amarilla. Siendo Ro: el 
número promedio de casos nuevos que genera un caso dado a lo largo de un período infeccioso. ¿Cuál es el Ro que se 
espera tener en brote de fiebre amarilla?",Ro > 1,Ro > 0.5,Ro = 0,Ro < 1,A
"Danuska de 16 años acude sola al Centro de Salud Natividad de categoría I-2, no quiere sacar historia clínica, solo desea 
preguntar a la enfermera sobre un “problema de salud”. ¿Cómo se debería proceder al respecto?","Debe ser atendida aun esté sola, con privacidad y respeto a su autonomía","Debe ser atendida en presencia de otro personal, protegiendo su privacidad y confidencialidad",No se puede atender si no saca la historia clínica y no está acompañada por un adulto,El personal debe solicitar que la adolescente regrese acompañada por un familiar,B
"Se reportan 2 casos de peste en el hospital y se ha restringido el ingreso. Los casos son de la comunidad y no se sabe si hay 
más casos. ¿Cuál es la medida inicial a tomar?",Ordenamiento ambiental,Control de roedores,Medidas de bioseguridad e identificar las casas de infectados,Medidas de control químico de pulgas,C
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",instrumento de gestión,instrumento de articulación,herramienta de articulación,herramienta de gestión,A
"Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director 
le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este 
cometido?",Carta de investigación,Consentimiento informado,Asentimiento informado,Compromiso paterno,B
