questions,option_A,option_B,option_C,option_D,correct_answer
"Si un niño de 4 años es detectado con AV 20/70, 20/100. ¿Cuál es el procedimiento a seguir?",Referir al oftalmología,Repetir evaluación,Seguimiento mensual,Control en tres meses,A
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Notificarlo al nivel inmediato superior,Medidas de mejora en el EESS,Informar a los familiares,Mejorar el proceso de atención sanitaria en EESS,A
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",controlar o mantener,diferir o mitigar,restringir o acortar,atenuar o eliminar,D
"Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?",Estructural,Comercial,Intermedio,Económico,A
Ante la presencia de un caso probable de tos ferina. ¿Cuáles son las medidas a implementar?,"Censo de contactos, barrido vacunal, investigación del caso índice","Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Jornada de vacunación, quimioprofilaxis, búsqueda  de contactos indirectos","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal",D
"Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director 
le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este 
cometido?",Consentimiento informado,Carta de investigación,Asentimiento informado,Compromiso paterno,A
"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la 
literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Revisión sistemática,Reporte de caso,Artículo original,Carta al editor,A
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",El surgimiento de nuevas enfermedades,La aparición de enfermedades epidémicas,Las crisis psicosociales,El aumento en la incidencia de enfermedades,D
"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",De manera inmediata,Al alta de los pacientes,Hasta las 48 horas,Cuando se reporta el VEA de la semana,A
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Deontología,Comisión de ética,Responsabilidad,Moral,A
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Salud pública,Interculturalidad en salud,Cultura,Población indígena,B
"Personal de serenazgo, lleva al centro de salud a un paciente adulto mayor con problemas de salud y sin familiares, 
presenta indigencia y sin documentos. ¿Qué derecho se le atribuye?",Consentimiento informado,Recuperación,Acceso a servicios de salud,Acceso a la información,C
"El ambiente de psicología para evaluar niño, niña, adolescente. ¿Qué característica debe presentar?",Iluminación tenue,Mobiliario adaptado para la edad,Paredes de colores fuertes,Sin cuadros,B
"Debido a que se observaron muchos casos de suicidios en adolescentes en la comunidad donde usted labora, le encargan 
realizar un estudio descriptivo sobre la depresión en adolescentes en su comunidad ¿Cuál será la principal limitante del 
estudio?",No permitirá hallar asociación de variables,El análisis estadístico será muy complejo,Sus resultados no serán extrapolables,Demandará costos económicos muy elevados,A
"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Hábito saludable,Práctica,Estilo de vida,Autocuidado,C
"La suplementación con hierro al bebé, se debe realizar a partir de los ...... meses de edad.",3,6,4,5,C
"En el primer nivel de atención, se realizan las atenciones optométricas haciendo uso de los insumos y recursos necesarios. 
En caso de contar con una cartilla de optotipos; para la evaluación óptima, dependiendo de la estatura. ¿Cuál es la altura 
adecuada?",20/25,20/40,20/30,20/50,C
"La pertinencia cultural en los servicios de salud implica que durante todo el proceso de la atención se tome en cuenta las 
características de la población a la que se atiende, en función a su cultura y contexto social. Evaluando cuatro dimensiones: 
gestión para la calidad de la atención, revaloración del sistema de salud tradicional, recursos humanos que promueven la 
salud intercultural y la …",participación ciudadana.,atención intercultural.,interculturalidad en salud.,inclusión social.,A
"En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...",de tipo ambiental.,necesaria pero no suficiente.,no necesaria pero suficiente.,necesaria y suficiente.,B
"Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?",Asegurar el acceso y el uso racional de medicamentos,Desarrollo de recursos humanos para la salud,Financiamiento de la salud eficiente y equitativo,Acceso equitativo a servicios de salud integrales y de calidad,D
"Se reportan 2 casos de peste en el hospital y se ha restringido el ingreso. Los casos son de la comunidad y no se sabe si hay 
más casos. ¿Cuál es la medida inicial a tomar?",Medidas de bioseguridad e identificar las casas de infectados,Control de roedores,Ordenamiento ambiental,Medidas de control químico de pulgas,A
Niño de 5 años es tamizado para detectar errores refractivos. ¿Cuál es la evaluación a realizar?,Cover test,Agudeza visual,Retinoscopía,Test de Hirsbert,B
"Niña de 10 años acude a un centro de salud del primer nivel, donde en el tamizaje visual se obtiene: AV 20/50, 20/70 y  AE 
20/20, 20/25. ¿Cuál es la conducta a seguir?",Control,Diagnóstico definitivo,Reevaluación,Referencia,D
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Metodología,Marco teórico,Resultados,Introducción,A
"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como 
profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Persuadir su deseo,Denegarle la atención,Respetar su pedido,Enviarla a otro establecimiento,C
"En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de 
cambiar, se identifican como:",Oportunidades,Amenazas,Negatividad,Debilidades,B
"En el centro de salud, el serumista, atiende a varón de 20 años y le brinda consejería sobre salud bucal con la técnica del 
cepillado e hilo dental. ¿Qué desea implementar en la persona?",Motivación,Autocuidado,Destreza,Cambio de dieta,B
"¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, 
creencias, conductas y normas?",Cultura organizacional,Valores institucionales,Principios institucionales,Clima organizacional,A
"Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.",análisis,soporte,intervención,riesgo,C
"Para investigar la relación entre la anemia y la talla de niños de 5° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y talla a todos ellos. ¿Qué enfoque de investigación está realizando?",Observacional,Mixto,Cuantitativo,Cualitativo,C
"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a 
las cuales debe alinear sus objetivos operativos.",organizaciones institucionales,desarrollos institucionales,estrategias institucionales,acciones institucionales,C
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.",DIGESA,CENSOPAS,DIGEMID,CENARES,C
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:",Oportunidades,Amenazas,Fortalezas,Estrategias,C
"La …… es consecuencia del sobrecrecimiento bacteriano e infiltración de la capa epitelial conjuntival, por la disrupción de los 
mecanismos de defensa del ojo.",catarata,catarata congénita,conjuntivitis bacteriana,blefaritis,C
"Paciente senil acude a un centro salud, con opacificación del cristalino, con sospecha de catarata. ¿Qué prueba de tamizaje 
se le debe realizar?",Fondo de ojo,Retinoscopía,Agudeza visual,Tonometría,C
