questions,option_A,option_B,option_C,option_D,correct_answer
"En las intervenciones realizadas en el EESS por el personal de salud en guardias comunitarias esta la vigilancia 
epidemiológica en dengue para verificar el incremento de casos reportados en los meses de verano ¿Qué característica 
epidemiológica resulta de estas intervenciones?",Número de casas infectadas,Tipos de almacenamiento de agua,Vigilancia pública,Cambio en patrones de vectores,D
"Los cambios demográficos es el factor más relevante en el fenómeno de ...... resultante de las tasas de mortalidad y 
fertilidad, principalmente, los fenómenos que producen los cambios son los que generan una modificación en el perfil 
etario de las poblaciones y en el perfil de salud, así como en la expectativa de vida.",transición epidemiológica,cambios en antigenicidad,cambios en estilo de vida,cambios ambientales,A
"Los estudios transversales son principalmente útiles por su finalidad descriptiva y analítica, al estar basados en una 
muestra representativa de la población, siendo esto ventajoso en estudios de enfermedades:",Metabólicas,Corta duración,Genéticas,No transmisibles,D
"Con el interés de conocer los efectos a la salud humana de la exposición al arsénico a través del agua de consumo, 
plantea un proyecto de investigación analítico. ¿Cuál es la instancia a donde debe someter a revisión y aprobación 
su proyecto antes de recolectar datos?",Municipalidad distrital,Comité de Ética en Investigación,Jefe de servicio,Director de la IPRESS,B
"Se encuentra usted en un centro de salud donde el ingreso es mediante transporte fluvial y debido a la temporada de 
lluvias no puede llegar el equipo especialista; con el fin de resguardar su seguridad les indican que realizaran la reunión 
de soporte técnico de forma virtual, para todo el personal involucrado del establecimiento de salud. ¿Qué tipo de servicio 
de telesalud se aplica?",Telecapacitación,Telemonitoreo,Telemedicina,Teleconsulta,A
"Analizando epidemiológicamente el número de casos de dengue en el sector V de la jurisdicción de San Juan de 
Lurigancho del EESS Motupe se encontró viviendas con exposición al mosquito Aedes aegypti tanto en almacenamiento 
de tanques como en recipientes. ¿Qué tipo de determinante está influyendo en la comunidad?",Sistema sanitario,Biología humana,Medio ambiente,Estilo de vida,C
"El centro de salud donde realiza su SERUMS ha registrado varios casos de leucemia infantil en los últimos años, por lo 
que tiene interés de investigar los factores asociados. ¿Qué tipo de estudio será el más conveniente?",Cohortes prospectiva,Descriptivo,Casos y controles,Ensayo clínico,C
"El Comité Distrital de Salud (CDS) del distrito de Lurigancho, en sesión, ha aprobado el plan de acciones articuladas para 
intervenir sobre las principales enfermedades que afectan a los pobladores y reducir su impacto, contribuyendo con la 
cultura de autocuidado. ¿Cómo deben ser estas acciones?",Participativas,Intersectoriales,Multidisciplinarias,Comunitarias,B
"Ud. desea definir las líneas de mejora continua de su centro de salud para lo cual es necesario conocer sus 
fortalezas. ¿Qué pregunta debe realizar?",¿Qué nos falta para mejorar?,¿Qué se está haciendo bien?,¿Qué facilidades se presentan?,¿Qué riesgos externos existen?,B
"Gestante migrante quechua hablante, que acude para atención a su establecimiento de salud tiene derecho a ...",servicios de salud con adecuación cultural.,traductor de idioma original.,presencia solo de pareja.,acompañamiento de familia.,A
"En una comunidad ocurre un huayco que pone en riesgo la asistencia alimentaria de la población. ¿hasta qué edad en 
años se considera al grupo vulnerable en niños?",5,<1,<3,2,C
"Se identifica un caso índice de tuberculosis en su comunidad, en población semicerrada, por lo que, de acuerdo con la 
normativa, inicia estudio de contactos. ¿Cuál es el plazo límite para el estudio de contactos?",≥48 horas,<48 horas,≤7 días calendario,>7 días calendario,C
"Paciente con diagnóstico de glioblastoma es evaluado en el consultorio de cuidados paliativos; manifiesta al médico que 
la dosis de fármaco que debe tomar a las 12 de la medianoche le altera el sueño por lo que ha decidido no tomarla. El 
médico realiza el ajuste en la prescripción de la hora de administración del fármaco, por lo que llegan a un acuerdo 
generando satisfacción y compromiso en el paciente. ¿Qué tipo de atención está realizando?",Primaria renovada,Centrada en la comunidad,Centrada en la familia,Centrada en la persona,D
"En el establecimiento de salud, el Cirujano Dentista se retira horas antes de terminar sus horas de trabajo, sin permiso 
alguno a la festividad de la comunidad vecina; teniendo sesiones educativas con las gestantes, niños que realizaría 
tratamientos. ¿Cuánto tiempo de suspensión profesional puede tener?",Más de 24 meses,Menos de 24 meses,Entre 25 y 29 meses,Entre 30 y 36 meses,B
"Supervisar implica necesariamente comunicarse con las otras personas de una manera apropiada y significativa. La 
comunicación adecuada simplifica la supervisión, se aplica el principio de ....... en el proceso de control.",planeación,liderazgo,comunicación,enseñanza,C
"Varón de 68 años acude a su consulta nutricional, después de la evaluación nutricional antropométrica, se determina que 
presenta IMC de 27.5, el profesional nutricionista registra la interpretación de los valores de índice de masa corporal (IMC) 
como:",Sobrepeso,Obesidad,Delgadez,Normal,D
"Los adolescentes de una comunidad, necesitan atención integral estomatológica, para cubrir sus necesidades de salud. 
¿Qué establecimiento de salud del primer nivel oferta la cartera de servicios necesaria?",I-2,I-3,II-1,I-1,B
"A los 20 días de un parto vaginal, se recibe a paciente puérpera con fiebre >38ºC y drenaje purulento de útero, se le 
diagnostica como endometritis puerperal. ¿Cómo debe ser registrada?",Infección de transmisión sexual,Infección de sitio quirúrgico,Exposición a agentes patógenos,Infección asociada a la atención en salud,D
"El modelo actual de salud en el Perú busca mejorar su calidad, atender a toda persona bajo su contexto cultural, 
comunitario y familiar, brindando un amplio rango de servicios. ¿Cuál es el atributo de la APS aplicado para este fin?",Accesibilidad del primer contacto,Integralidad de los servicios,Coordinación de la atención,Participación activa,B
"El jefe del establecimiento de salud nivel I-2 ha identificado que existe necesidad de otro personal técnico para las visitas 
domiciliarias, porque no se logran las metas programadas. ¿En qué instrumento de gestión se debe programar 
este recurso?",Plan estratégico,Presupuesto por resultados,Plan operativo,Plan de salud local,C
"En un hospital regional se reporta un aumento de los casos de infección de heridas posquirúrgicas, identificándose que 
el primer caso reportado fue un paciente hospitalizado en la UCI. ¿A qué tipo de caso corresponde?",Secundario,Primario,Brote,Índice,D
