questions,option_A,option_B,option_C,option_D,correct_answer
"Su orientación es fortalecer la participación de los ciudadanos en forma proactiva y organizada, en la planificación, 
gestión y evaluación de las acciones e intervenciones de la salud pública, se construye a partir de la promoción de 
los conocimientos y las capacidades para prever y afrontar en forma responsable, las necesidades relacionadas 
con la propia salud y la del grupo social de pertenencia. ¿A qué principio se refiere?","Participación, colaboración y corresponsabilidad ciudadana","Participación social activa, comprometida y responsable",Realización progresiva del derecho a la salud,Responsabilidad ciudadana,B
"¿Cuál es el “instrumento de gestión que identifica la estrategia de la entidad para lograr sus objetivos y acciones 
estratégicas institucionales”?",Planeamiento estratégico institucional,Plan operativo institucional,Plan operativo anual,Plan descentralizado sectorial,A
"¿A qué corresponde la siguiente afirmación: “se ha caracterizado por las maneras saludables de convivir en 
sociedad, prevenir enfermedades y asegurar la vida de las personas""?",Salud comunitaria,Salud pública,Salud hospitalaria,Salud ocupacional,B
"Es el conjunto de referencias compartidas entre todos, como resultado de una historia y de significados comunes 
que se dan a las situaciones y a las relaciones mediante el lenguaje cotidiano. Se forja y modifica en las relaciones 
de cotidianeidad de la organización. ¿A qué corresponde esta definición?",Cultura organizacional,Ambiente laboral,Clima institucional,Función institucional,A
"Un serumista aplica un equipo de TENS; los electrodos por el uso del tiempo se pela el cableado, lo cubren con 
una cinta adhesiva; al aplicarlo al paciente, siente una descarga eléctrica. ¿Qué incidencia laboral ha ocurrido?",De las direcciones generales y ejecutivas,Obligaciones y atribuciones de la alta dirección,Equipo de seguridad y salud en el trabajo,Obligaciones y atribuciones de los servidores,C
"El grado en que un instrumento produce resultados consistentes y coherentes se denomina ...... y el grado en que 
un instrumento en verdad mide la variable que se busca medir se denomina...",confiabilidad / validez.,piloto / confiabilidad.,validez de constructo / validez de criterio.,validez / objetividad.,A
"¿Qué profesional está autorizado a otorgar el certificado de discapacidad que acredita la condición de persona con 
discapacidad?",Médico familiar,Médico cirujano,Médico especialista,Médico certificador registrado,D
"El reporte de la última vigilancia vectorial del Aedes aegypti en una comunidad es IA=3, por lo que el personal 
programa el control focal al 100% de viviendas; esta actividad debe promover la participación de la comunidad en 
el control larvario físico / mecánico, que consiste en:",Control biológico y uso de larvicida en viviendas con criaderos positivos,Nebulización espacial y eliminación de criaderos en coordinación con las autoridades,Uso de larvicida al 100% de viviendas con potenciales criaderos,Cepillar y tapar recipientes de agua y eliminar o disponer adecuadamente los potenciales criaderos,D
"El serumista da una charla informativa en el centro de salud y con los promotores de salud van casa por casa para 
informar a todos acerca del problema de salud comunitario, la enfermedad diarreica, causado por un factor 
ambiental: el agua contaminada. Al atacar las raíces del problema mediante la ......; la comunidad empezó a lograr 
mejoras en la salud ambiental.",participación sectorial y la inducción,participación nacional y la aceptación,participación local y la capacitación,participación comunitaria y la educación,D
"Las poblaciones cercanas a las zonas mineras están expuestas a múltiples afecciones ocasionadas por la 
exposición a metales pesados; la intervención para prevenir las enfermedades generadas deberá integrar…",actividades físicas y recreativas.,técnicas de cambios de conductas y estilos de vida.,información de purificación del agua.,charlas educativas de alimentación saludable.,B
"Las personas con discapacidad tienen derecho a ser atendidos por los especialistas de acuerdo a las necesidades 
de su condición para ello el ...... debe garantizar el acceso a las prestaciones de salud integral.",estado,presidente,congreso,gobierno local,A
"La Convención de las Naciones Unidas menciona sobre los derechos de las personas con ...…, incluyen a las 
personas que tengan deficiencias físicas, mentales, intelectuales o…",discapacidad / sensoriales.,retraso / somáticas.,incapacidad / locomotor.,minusvalía / mecánica.,A
