questions,option_A,option_B,option_C,option_D,correct_answer
"Un profesional de la salud desea realizar una ecografía, pero no cuenta en su centro con ese apoyo diagnóstico. Para realizar 
una referencia a otro establecimiento de salud. ¿Qué debe evaluar?",Categorización,Cartera de servicios,Organigrama,Flujograma,B
"En su comunidad observa con mucha frecuencia casos de alcoholismo en varones y también violencia física de ellos contra 
sus esposas, para investigar en el menor tiempo posible, si hay asociación entre el alcoholismo y la violencia familiar. ¿Qué 
diseño de estudio elegirá?",Analítico,Cohortes,Descriptivo,Cuasi experimental,A
"Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?",Asegurar el acceso y el uso racional de medicamentos,Acceso equitativo a servicios de salud integrales y de calidad,Financiamiento de la salud eficiente y equitativo,Desarrollo de recursos humanos para la salud,B
"Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado 
pertenece a la:",Deontología,Comisión de ética,Moral,Responsabilidad,A
"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los 
alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes 
firman y el personal interviene atendiendo.",consentimiento informado,autorización,beneficencia,justicia,A
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Sensibilidad ineficiente,Falso positivo,Valor predictivo positivo,Falso negativo,D
"En un puesto de salud de la localidad de Huaral se está realizando la vacunación para el virus papiloma humano para niños 
y niñas. De acuerdo al esquema nacional de vacunación. ¿Cuál es el rango de edad en años, para la vacunación de una sola 
dosis?",11 a 13,8 a 14,6 a 13,9 a 13,D
"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad, está cometiendo actos en contra 
de:",Responsabilidad,Ética,Beneficencia,Justicia,B
"El tecnólogo médico al realizar una radiografía al mandil plomado como parte del proceso de control de calidad, observa 
grietas y agujeros. ¿Qué debe hacer?",Soldar y seguir usando,Reparar con cinta aislante,Desechar y reemplazar,Mantenerlo y seguir usando,C
"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.",Telemonitoreo,Teleinterconsulta,Teleconsulta,Teleorientación,D
"La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.",restringir o acortar,controlar o mantener,atenuar o eliminar,diferir o mitigar,C
"Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?",Intermedio,Estructural,Comercial,Económico,B
"En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de 
cambiar, se identifican como:",Debilidades,Amenazas,Oportunidades,Negatividad,B
"Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la familia como la unidad 
de ...... de mayor eficacia.",riesgo,soporte,análisis,intervención,D
El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?,2,4,3,1,D
¿Cuáles son los principales ejes estratégicos que garantizan el éxito de la participación comunitaria en la planeación en salud?,"El abordaje territorial, espacios participativos y la familia como base",La actitud política y el esfuerzo de la administración local,La participación comunitaria y escuelas saludables,Los cambios en la realidad económico-social y ordenanzas municipales,A
