questions,option_A,option_B,option_C,option_D,correct_answer
"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario 
según normativa?",Zona de almacenamiento de residuos contaminados,Depósito y lavado de carros,Área de internamiento,Zona de selección de residuos sólidos,D
"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió 
su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición 
considera fue contrarreferido?",Deserción,Curado,Mejorado,Retiro voluntario,C
"En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?",Dependientes del sistema de monitoreo,Con exactitud de aproximadamente 0.3°C,Áreas con poca variabilidad en temperatura,Deben estar calibrados,D
"La ley 29719 promueve la convivencia sin violencia en las Instituciones educativas, que establece los mecanismos para ……, 
prevenir, evitar, sancionar y erradicar la ……, el hostigamiento, la intimidación y cualquier acto considerado como acoso entre 
los alumnos.",prevenir / crisis,pronosticar / violación,diagnosticar / violencia,observar / crisis,C
"Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el 
establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo 
procedes ante este caso?","Llegas a un acuerdo en la terapia del niño, respetando sus creencias",Constatar con la policía y autoridad comunal,Solicitar presidente de la comunidad que intervenga,Discrepas con su decisión porque no es correcto,A
"La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado 
desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. 
¿Qué principios éticos debe cumplirse?",Respeto y atención diferenciada,"Respeto, probidad y eficiencia","Veracidad, lealtad, eficiencia","Silencio, manejo de la información",B
"La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?",El responsable de epidemiologia y jefe de establecimiento,Coordinadores de red y responsable de epidemiología,Todo el personal de salud y autoridades locales,Promotores de salud y responsable de promoción de la salud,C
"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.",Teleconsulta,Teleorientación,Teleinterconsulta,Telemonitoreo,B
"Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe 
considerar para el archivo pasivo de historias clínicas que no han sido requeridas?",Más de 5,Más de 15,Más de 10,Más de 1,A
"Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?",Asegurar el acceso y el uso racional de medicamentos,Financiamiento de la salud eficiente y equitativo,Desarrollo de recursos humanos para la salud,Acceso equitativo a servicios de salud integrales y de calidad,D
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Cultura,Interculturalidad en salud,Salud pública,Población indígena,B
"Niño de 2 años, acompañado de su madre, recibe atención transeúnte en el servicio de CRED, es derivado al servicio de 
psicología por tener: alteraciones en el desarrollo del lenguaje, le molestan los ruidos comunes, problemas para socializar con 
sus pares, aleteo, camina en puntas, entre otros. Al aplicar el M-CHAT-R, obtiene un puntaje de 10. ¿Cuál es su diagnóstico 
presuntivo y procedimiento a seguir?",Trastorno de déficit de atención y tratamiento,Anhedonia y referencia,Retraso mental y seguimiento,Trastorno del espectro autista y referencia,D
"El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de 
Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública 
renovada, esta acción corresponde a la etapa de:",Asignación de recursos,Desarrollo de políticas,Acceso,Evaluación,C
"Al hacer el diagnóstico situacional de la población o institución educativa, el nivel ...... es una determinante social de la salud 
que influye en la calidad de vida de las personas y el desarrollo económico y social del país.",etiológico,intercultural,educativo,epidemiológico,C
"Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director 
le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este 
cometido?",Consentimiento informado,Asentimiento informado,Carta de investigación,Compromiso paterno,A
"Personal de serenazgo, lleva al centro de salud a un paciente adulto mayor con problemas de salud y sin familiares, 
presenta indigencia y sin documentos. ¿Qué derecho se le atribuye?",Consentimiento informado,Acceso a la información,Acceso a servicios de salud,Recuperación,C
"La identificación de factores de riesgo: edad, sexo, antecedentes familiares de diabetes, tabaquismo, dislipidemia, 
sedentarismo, entre otros; facilitará la …… y control de las enfermedades no transmisibles.",verificación,prevención,disminución,recuperación,B
¿Cuáles son los principales ejes estratégicos que garantizan el éxito de la participación comunitaria en la planeación en salud?,"El abordaje territorial, espacios participativos y la familia como base",La actitud política y el esfuerzo de la administración local,La participación comunitaria y escuelas saludables,Los cambios en la realidad económico-social y ordenanzas municipales,A
"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?",Externa,Dirimente,De caso,Regular,C
"El centro de salud ha enviado a un equipo multidisciplinario a evaluar las condiciones psicosociales y de salubridad de la 
comunidad como proceso de asistencia sanitaria. Esta atención es considerada prioridad en ...",el cuidado integral.,la atención primaria de salud.,la reinserción de la familia.,la responsabilidad social.,B
"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, 
requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad, está cometiendo actos en contra 
de:",Beneficencia,Responsabilidad,Ética,Justicia,C
"Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no 
respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?",Consulta,Sugerencia,Queja,Consejería,C
"Gestante de 26 semanas, se está realizando la estimulación prenatal, técnicas de relajación y atención con su pareja para 
asegurar en el feto un ambiente uterino de desarrollo favorable. Estas actividades con la gestante aseguran un embarazo 
saludable que permita controlar y manejar las exposiciones que sufra el feto para que éste alcance un adecuado desarrollo 
psicomotor, ...... y social en el curso de vida.",conductual,emocional,intelectual,cognitivo,B
"Mujer de 39 años, durante la entrevista en el proceso de sectorización; informa tener pareja estable actualmente.  Antecedente 
de haber tenido 5 parejas; desde el inicio de la actividad sexual no ha recibido atención profesional, tampoco se 
hizo Papanicolaou. Ante ello se le invita a una campaña de despistaje de VPH, a través de pruebas moleculares. ¿Qué tipo 
de campaña es?",Pronóstico,Tratamiento,Prevención,Promoción,C
