questions,option_A,option_B,option_C,option_D,correct_answer
"Paciente de 10 años, con antecedente de asma controlado, es expuesto a áreas de gran concurrencia donde se 
encuentran personas resfriadas. Según la teoría de la triada ecológica en este caso se contempla la interacción del 
huésped, agente y ...",medio ambiente.,especificidad.,temporalidad.,gradiente bilógico.,A
"Paciente acude al establecimiento de salud a sacar una cita, su última atención fue hace más de 5 años. ¿En qué 
archivo se ubica su historia clínica?",Pasivo,Nacional,Activo,Regional,A
"Los recién nacidos con peso igual o mayor a 1.5 Kg se deben vacunar con la BCG, para la prevención de la:",Hepatitis,Influenza,Varicela,TB,D
"Paciente de 45 años, con diagnóstico de vulvodinia, refiere dolor pélvico. ¿Cuál es el tiempo en meses para 
considerarlo como dolor crónico?",3,2,7,4,C
"Cuando se tiene por objetivo disminuir el avance y las complicaciones de la enfermedad ya establecida, y esto se 
hace mediante acciones orientadas a disminuir las secuelas y la discapacidad, reducir al máximo el sufrimiento y 
facilitar la adaptación de los enfermos a su entorno. ¿A qué nivel de prevención corresponde?",Terciaria,Primaria,Secundaria,Cuaternaria,A
"Es la entrega de servicios de salud de acuerdo con los parámetros culturales de los/as usuarios/as; es decir, 
construidos a través de espacios de diálogo, en los que prestadores y usuarios/as acuerdan cuáles deben ser 
las características de los servicios que les son ofertados por parte del Estado:",Interculturalidad en salud,Pertinencia cultural,Diversificación intercultural,Adecuación cultural,B
"En el 2026 el Centro de Salud ""Langa"" será líder en la atención primaria en salud con calidad, calidez, equidad y 
eficiencia, logrando usuarios internos y externos satisfechos para conseguir estilos de vida saludables. Esto 
constituye la ...... de la institución.",estrategia,meta,misión,visión,D
"El sistema de farmacovigilancia es de responsabilidad compartida entre la autoridad sanitaria, laboratorios, titular 
de registro, centros de investigación, profesionales de la salud y paciente, para ser ideal. ¿Qué característica debe 
reunir este sistema?",Promoción,Supervisión,Retroalimentación,Prescripción,C
"Al realizar la inducción a profesionales del SERUMS 2025-II del establecimiento de salud; se les capacita sobre 
los principios, tecnologías y prácticas de contención que se implementan en el establecimiento para prevenir la 
exposición no intencional a agentes biológicos. ¿A qué corresponde esta definición?",Buenas prácticas,Bioseguridad,Probabilidad de incidente,Medidas de control,B
"Paciente que acude al centro de salud con cuadro respiratorio, se busca facilitar la inspiración teniendo en cuenta 
al músculo diafragma. ¿Cuál es la posición que favorece a este objetivo?",Lateral,Supino,Sedente,Prono,C
"Madre quechua hablante de la comunidad Sihuas, que se encuentra a 3 horas de caminata del centro de salud, 
acude para descarte de pie plano de su hijo de 3 años y no llega a obtener un cupo para su atención. ¿Cuál es la 
medida a tomar con la usuaria?",Garantizar su atención de manera prioritaria,Se le atenderá al final de todos,Indicarle que vuelva por la tarde,Asignarle el primer cupo al siguiente día,A
"Adolescente de 15 años llega al EESS I-1 acompañada por su madre y profesor, por propiciarse cortes profundos 
en la muñecas con sangrado considerable; después de su atención en tópico, la enfermera pregunta a la paciente 
¿Cómo se hizo esas lesiones?, ella responde, “quiero morirme, mi vida no me interesa”. Enfermera determina que 
este caso debe ser referido. ¿Quién firma el consentimiento informado para la referencia?",Enfermera,Paciente,Madre,Profesor,C
"Personal de salud realiza abordaje del complejo orofacial, para desechar los guantes que entraron en contacto con 
los fluidos del paciente. ¿En qué color de bolsa debe hacerlo?",Rojo,Negro,Amarillo,Verde,A
"En el centro de salud Limatambo del distrito de Juliaca, asiste gestante en trabajo de parto primeriza de 18 años, 
quechua hablante, de acuerdo a su pertinencia cultural, refiere realizarse el parto vertical (posición parada o 
sostenida de una soga). ¿Cuál es la ventaja de realizar este procedimiento?",Contracciones menos dolorosas,Permite monitoreo fetal,Facilita contacto precoz,Promueve el descanso,A
"En un establecimiento de salud, acude una embarazada que solicita que luego del parto pueda hacer su higiene 
genital con la hierba matico; este concepto corresponde a:",Parto vertical,Interculturalidad en salud,Medicina tradicional,Inclusión social,B
"Paciente 45 años, policía por más de 20 años, manifiesta dolor en rodilla derecha, durante sus días de descanso 
trabaja como guardia de seguridad en un almacén, debido a los largos periodos de pie, refiere edema y limitación 
articular que se acentual al subir y bajar escaleras. ¿Qué medida es necesaria para la protección articular?",Ejercicios de fortalecimiento,Adopción de posturas correctas,Ácido hialurónico anualmente,Inmovilizar la zona dolorosa,B
"Paciente mujer, de 72 años con diagnóstico de hipertensión arterial, se atiende en un establecimiento de salud I-2. 
Médico quiere referirlo a un centro de mayor complejidad. ¿Qué criterio se debe considerar?",Cuadros de depresión,Disfunción ventricular izquierda,Tamizaje de hipertensión,Manejo integral hipertensivo,B
"El personal de salud que ingrese al área de laboratorio debe utilizar batas, uniformes u otras prendas apropiadas, 
estas son medidas de:",Vestimenta,Contingencia,Accesibilidad,Bioseguridad,D
"Se detecta un caso de discapacidad motora en la comunidad, el personal de salud con el apoyo del agente 
comunitario debe realizar visitas a la familia en el domicilio donde vive la PCD, para establecer la estrategia de la 
RBC. ¿Cuántas visitas anuales como mínimo debe realizarse?",8,6,4,2,D
"El parto vertical con enfoque de pertinencia intercultural, procede si hay presentación cefálica del feto; esto 
corresponde a:",Psicoprofilaxis,Criterio de inclusión,Consentimiento informado,Posibles complicaciones,B
"Paciente que refiere haberse lesionado por impacto de proyectil de arma de fuego, por estar comprometido en 
situaciones delictivas, por ética esta información debe ser mantenida en reserva; esto hace referencia a:",Respeto,Derecho a la atención,Confidencialidad,Consentimiento informado,C
"El personal de salud realiza …… cuando busca desarrollar habilidades personales y generar los diferentes 
mecanismos que faciliten a las personas y grupos a tener mayor control sobre su salud y mejorarla.",gestión de riesgo,sistema de vigilancia,promoción de la salud,prevención en salud,C
"En el curso de vida niño se busca promover el desarrollo infantil temprano (DIT), donde intervienen sectores 
nacionales, regionales y locales en base a determinantes sociales para mejorar las condiciones de vida, tales como:",Vías de transporte aéreo,Desarrollo y aprendizaje,Aspectos demográficos y culturales,Transición tecnológica y recreación,B
"En un establecimiento de salud, el terapeuta físico se pincho con la aguja de punción seca al momento de 
desecharlo en el recipiente adecuado porque se encontraba completamente lleno. ¿Qué parte de la capacidad total 
debe ser llenado?",1/2,1/3,3/5,2/3,D
"Paciente con dolor cervical de tipo mecánico, el terapeuta le informa al paciente sobre la punción seca con una 
aguja de acupuntura, sin embargo, una mala aplicación podría generar neumotórax, pero si se realiza 
adecuadamente disminuye el dolor del punto gatillo cervical. Esta información. ¿A qué aspecto de la bioética 
corresponde?",Consentimiento informado,Historia clínica,Gestión de riesgos,Confidencialidad,A
"El establecimiento de salud, como medida de prevención, realiza tamizaje de cáncer de colon y recto, a través del 
test inmunológico de sangre oculta en heces. Se realiza a varones y mujeres del grupo etario, en años, 
correspondidos entre los:",50 a 70,30 a 49,25 a 29,71 a 80,A
"El ministerio de salud a través de los establecimientos de primer nivel, deben desarrollar acciones para personas 
con discapacidad enfocadas a reducir en su mínima expresión la aparición de nuevas deficiencias físicas, 
sensoriales a través del uso de férulas y/o prótesis, para atenciones especializadas de rehabilitación se debe 
realizar la ...… para el …… de mayor complejidad.",videollamada / centro de salud I-4,teleconsulta / centro de salud I-3,cita / policlínico,referencia / hospital,D
"El planeamiento ...... se desarrolla a través de un ciclo compuesto por ...... fases, con base a un análisis de la 
situación actual y de acuerdo con la situación futura deseada. Se encuentra establecida en la Directiva N°001-
2024-CEPLAN/PCD.",enstitucional /dos,eperativo / tres,sectorial / cinco,estratégico / cuatro,D
"La capacitación del personal de salud del primer nivel de atención, se realiza en base a los …… de capacitación 
aprobados por el Ministerio de Salud, a cargo de …… capacitados.",programas / equipos,manuales / profesionales,proyectos / servidores,estrategias / gestores,B
"Paciente de 12 años, sufre accidente automovilístico y es diagnosticada con lesión medular a nivel de D10, con 
secuela de paraplejia, el Ministerio de Salud asegura su atención a servicios de rehabilitación, así como el acceso 
a…",medicamentos de calidad.,transporte para atención médica.,dotación de muletas o andador.,alimentación y recreación.,A
