questions,option_A,option_B,option_C,option_D,correct_answer
"En el caserío donde está realizando su SERUMS, se tiene la estadística de que a finales del año 2024, 
20 niños tenían un diagnóstico de anemia de un total de 45, sin embargo, de enero a junio del año 2025 mediante 
campañas de tamizaje se detectaron que la cantidad de niños con diagnóstico de anemia aumentó a 25, de un total 
de 50 niños (hubieron 5 nuevos nacimientos). Indicar la tasa de incidencia por cada 100 habitantes en los primeros 
6 meses del año.",10,50,11.1,44.4,A
"El establecimiento de salud donde realiza su SERUMS ha remitido al centro de referencia correspondiente, el 
formato de notificación de SRAM de una aparente RAM detectada, para que pueda ser ingresado al sistema 
Vigiflow para su centralización por la autoridad nacional. ¿Cuál es el eje de desarrollo de telesalud que se está 
realizando?",Teleorientación,Telegestión,Telemonitoreo,Teleconsulta,B
"Varón acude al establecimiento I–2 y solicita al jefe del PS información acerca del tratamiento que su señora esposa 
se realiza en Planificación Familiar todos los meses, está muy alterado. El jefe del establecimiento informa que 
debe guardar reserva respecto a la información referente a su esposa. ¿Qué deber del servidor público se está 
aplicando en este caso?",Transparencia,Discreción,Responsabilidad,Neutralidad,B
"En el servicio de farmacia, un paciente varón de mediana edad, recoge medicamento para el VIH, horas después, 
una mujer, menciona y demuestra ser la esposa del paciente anterior y consulta por el tipo de medicamentos que 
se ha dispensado a su esposo, o al menos la confirmación de sus sospechas de ser un medicamento para ITS. ¿El 
dispensador debe confirmar las sospechas de la esposa?","Sí, aduciendo al principio de justicia","Sí, aduciendo al principio bioético de beneficencia","No, aduciendo al principio bioético de no maleficencia","No, aduciendo al principio bioético de confidencialidad",C
"Al realizar un estudio sobre el análisis situacional de salud en su comunidad, se detecta que las diarreas infecciosas 
y las infecciones respiratorias son los principales problemas prioritarios en la población pediátrica. Si además se 
indaga de manera exhaustiva que los cultivos, que posteriormente son consumidos por los mismos pobladores, se 
riegan con aguas servidas. ¿A que fase del análisis situacional pertenece este hallazgo?",Recogida de la información,Identificación de los problemas de salud,Priorización de los problemas identificados,Análisis de los factores causales,D
"En el servicio de farmacia se reportan varios problemas, desde el suministro de medicamentos, hasta quejas en la 
atención a los pacientes. ¿Qué herramienta de gestión puede usar el encargado del servicio para una vez 
identificadas saber priorizar las principales causas de los problemas?",Histograma,Diagrama de flujo,Diagrama de Pareto,Lluvia de ideas,C
"Los medicamentos anti TB en la atención ambulatoria del primer nivel de atención debe ser directamente 
suministrados al PAT desde...",el servicio de neumología donde se hizo el diagnóstico.,la ESPCT del establecimiento de salud.,la UNET.,el servicio de farmacia de la UNET.,B
"¿Cuál es el tratamiento más idóneo para un paciente de 25 años con reciente diagnóstico de leishmaniasis cutánea 
por L. peruviana y con criterios para recibir tratamiento sistémico?",Paromomicina,Antimoniales pentavalentes,Miltefosina,Isetionato de pentamidina,B
"Las farmacias pertenecientes a establecimientos de salud de una red integrada de salud, en el ámbito de la 
coordinación intersectorial, deben guardar similitud en cierto grado del…",horario de atención.,atención de especialidades médicas.,stock de medicamentos.,grado de instrucción del director técnico.,C
"El director técnico de una farmacia atiende una receta donde se solicita la dispensación de cápsulas de doxiciclina 
cada 12 horas, después del desayuno y de la cena, y suspensión de magaldrato antes del desayuno, para paciente 
adolescente con acné inflamatorio y problemas de reflujo. Acorde a las funciones del químico farmacéutico se 
puede sugerir...",cambiar el momento de administración del antibiótico.,cambiar el antibiótico por otro de la misma familia.,cambiar el intervalo de administración del antibiótico.,retirar el uso de magaldrato por otro análogo.,A
