questions,option_A,option_B,option_C,option_D,correct_answer
"Una niña de doce años, ha ingresado al sexto grado de educación básica regular de institución educativa, su lengua materna 
es el quechua, le corresponde su vacunación de VPH. ¿Qué competencia debe tener el profesional de salud en el marco de 
la diversidad cultural?",Enfoque de género,"Empatía, adecuación intercultural",Conocimiento de medicina occidental,Coordinación intersectorial,B
"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.",CENARES,DIGESA,DIGEMID,CENSOPAS,C
"Para la implementación del cuidado integral en salud por curso de vida es necesario mejorar la provisión de servicios de salud, 
organización, gestión y financiamiento. El fortalecimiento de capacidades de los profesionales de la salud es fundamental. 
¿Qué tipo de formación deben tener?",En la formación clínica,En lo recuperativo asistencial,Preventivo promocional,Logro de resultados,C
"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.",herramienta de articulación,herramienta de gestión,instrumento de gestión,instrumento de articulación,C
"La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?",Promotores de salud y responsable de promoción de la salud,El responsable de epidemiologia y jefe de establecimiento,Coordinadores de red y responsable de epidemiología,Todo el personal de salud y autoridades locales,D
"Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no 
respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?",Sugerencia,Consulta,Queja,Consejería,C
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Mejorar el proceso de atención sanitaria en EESS,Notificarlo al nivel inmediato superior,Informar a los familiares,Medidas de mejora en el EESS,B
"¿Cuál es el tipo de prevención cuyo objetivo es disminuir el avance y las complicaciones de la enfermedad establecida, 
mediante acciones orientadas a disminuir las secuelas y la discapacidad?",Terciaria,Primaria,Secundaria,Cuaternaria,A
"El paquete del cuidado integral de salud por curso de vida son las acciones e intervenciones personales, familiares y 
comunitarias destinadas a promover hábitos y conductas saludables. Como profesional de salud del primer nivel de atención. 
¿Qué dimensiones debe considerar para cumplir con este objetivo?",Biopsicosociales,Derecho a la atención,Socio económico,Dinámica familiar,A
"Frente a un caso de adulto mayor que presenta problemas de salud y vive solo. ¿Qué tipo de acción inicial debe brindar la 
trabajadora social?",Buscar un albergue local o contactar con sus familiares,Incentivar cambios de estilo de vida saludable e invitarlo al servicio de salud,Actividades educativas que lo motiven y acompañamiento social,Visita domiciliaria y coordinar continuidad en el segundo nivel de atención,D
"En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?",Dependientes del sistema de monitoreo,Áreas con poca variabilidad en temperatura,Deben estar calibrados,Con exactitud de aproximadamente 0.3°C,C
"En el asentamiento humano Castilla de Manchay, hay una alta tasa de conductas de riesgo de adolescentes, por ende el 
centro de salud mental  comunitario, viene trabajando con profesionales de diversas especialidades a nivel multisectorial, 
prestando atenciones especializadas y desarrollando programas en la comunidad, este servicio corresponde a:",Participación social comunitaria,Atención hospitalaria,Albergues seleccionados,Centros de rehabilitación transitorios,A
"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario 
según normativa?",Zona de almacenamiento de residuos contaminados,Zona de selección de residuos sólidos,Depósito y lavado de carros,Área de internamiento,B
"Después de la pandemia COVID-19 se tiene problemas con los antivacunas. Para vacunar al mayor porcentaje de niños 
menores de 05 años. ¿Qué estrategias se tiene que implementar para cumplir con ese objetivo?",Sensibilizar a las madres de familia,Vacunar casa por casa,Conformar un comité multisectorial,Denunciar a los antivacunas,C
