questions,option_A,option_B,option_C,option_D,correct_answer
"En una comunidad andina, las personas tienen conocimientos y prácticas basadas en las creencias y experiencias propias 
de su cultura que utilizan para mejorar su salud. Esto corresponde a:",Medicina complementaria,Pertinencia cultural,Diálogo intercultural en salud,Medicina alopática,A
"Con el objetivo de brindar una mejora calidad de servicio, las instituciones de salud realizan diversas implementaciones 
para impulsar sus productos y/o servicios a través de estándares internacionales como las ISO. ¿A qué corresponde este 
proceso?",Mejora continua,Sistema control,Programa operativo,Plan estratégico,A
"En un establecimiento de salud, se realizan actividades para fortalecer el sentimiento de pertenencia a la organización, 
mediante un tiempo de esparcimiento y celebraciones de los cumpleaños del mes. ¿A que corresponde esta dimensión 
del clima organizacional?",Identidad,Liderazgo,Estructura,Comunicación,A
"¿Cuál es uno de los cuatro ejes del desarrollo de la telesalud e incluye actividades de organización, dirección y control 
de servicios de salud?",Teleconsulta,Telemonitoreo,Teleorientación,Telegestión,D
"El centro de salud donde realiza su SERUMS ha registrado varios casos de leucemia infantil en los últimos años, por lo 
que tiene interés de investigar los factores asociados. ¿Qué tipo de estudio será el más conveniente?",Descriptivo,Casos y controles,Ensayo clínico,Cohortes prospectiva,B
"Existe el interés de conocer el grado de aceptación o rechazo de la vacuna tetravalente contra el dengue en una 
comunidad de alto riesgo de la selva peruana. ¿Qué tipo de instrumento corresponde utilizar para medir esta variable?",Inventario,Ficha de datos,Escala,Lista de chequeo,C
"Las Redes Integradas de Salud (RIS) cuentan con población y territorio definido, según el modelo de la RIS. Este atributo 
corresponde a la dimensión:",Financiamiento,Gobernanza,Gestión,Prestación,D
"Luego de una investigación sobre anemia en el Perú, el investigador principal presenta resultados parcialmente 
convenientes para justificar más presupuesto a la entidad financiadora. Dicho profesional está incurriendo en una falta de 
tipo:",Deontológica,Administrativa,Intelectual,Judicial,A
"Se observa que hay migrantes de la selva que viven en un asentamiento humano de un distrito de Lima, que son 
discriminados y rechazados por los pobladores del distrito donde pernoctan. ¿Qué acciones debe realizar como personal 
de salud?",Reforzar la interacción cultural,Imponer acciones socio educativas,"Cambiar hábitos, costumbres y creencias",Normalizar el comportamiento de la comunidad,A
"En una localidad, el agente comunitario del EESS, realiza visitas domiciliarias a los recién nacidos, para brindar 
orientación con respecto a la lactancia materna exclusiva. Esta acción fortalece la:",Prevención secundaria,Transición epidemiológica,Tasa de natalidad,Participación comunitaria,D
"Los cambios demográficos es el factor más relevante en el fenómeno de ...... resultante de las tasas de mortalidad y 
fertilidad, principalmente, los fenómenos que producen los cambios son los que generan una modificación en el perfil 
etario de las poblaciones y en el perfil de salud, así como en la expectativa de vida.",cambios en antigenicidad,cambios en estilo de vida,cambios ambientales,transición epidemiológica,D
"En la localidad del Santa en Ancash, el centro de salud Nueva Esperanza, detecto un caso de síndrome de Guillain Barré 
luego de realizar el análisis situacional realiza las siguientes acciones: identifican casos por semana, localidades y distritos 
afectados. ¿Qué variables se están considerando?","Género, ocupación","Tiempo, espacio","Ocupación, geografía","Edad, raza",B
"El P.S. de la comunidad de Angora no cuenta con cirujano dentista, los pacientes son referidos al C.S. Huasahuasi, 
teniendo que caminar 8 horas porque no se cuenta con carretera; esto ocasiona que muchos no asistan al C.S. para su 
atención odontológica; incrementándose los problemas de salud bucal. En el marco de la Atención Primaria en 
Salud. ¿Qué atributo se está vulnerando?",Primer contacto,Continuidad,Integralidad,Accesibilidad,D
