questions,option_A,option_B,option_C,option_D,correct_answer
"En establecimiento de salud de atención primaria, se encuentra reparando el techo de concreto el cual deben 
taladrar, si se habla de prevención de contaminación por ruido. ¿Cuál es el nivel de decibeles (dB) más alto 
permisible de exposición en el lugar de trabajo, según los lineamientos de la OMS?",100 dB durante un máximo de 12 horas al día,85 dB durante un máximo de ocho horas al día,70 dB durante un máximo de seis horas al día,90 dB durante un máximo de doce horas al día,B
"El programa de mejora continua es un proceso ...... y sistemático dirigido a obtener un rendimiento mayor de un 
proceso, aumentar la ...… de un servicio o disminuir el costo de obtención de actividades que ya se desarrollan de 
forma habitual.",proyectado / demanda,estructurado / calidad,continuo / producción,planificado / oferta,B
"Puérpera atendida en un establecimiento de salud de Tumbes se le realiza control de hemoglobina, obteniéndose 
el valor de 12.3 g/dL. ¿Cuál es el diagnóstico?",Anemia leve,Anemia moderada,Sin anemia,Anemia severa,C
"¿Cuáles son los componentes del modelo de cuidado integral de salud por curso de vida para la persona, familia y 
comunidad, los cuales se encuentra interrelacionados y alineados?","Prestación, organización, gestión y financiamiento","Prestación, estructuración, capacitación y servicio","Organización, gestión, servicio y presupuesto","Servicio, gestión, presupuesto, capacitación",A
"¿Cuál es la terapia preventiva de la tuberculosis en contactos de casos con TB sensible a administrar en menores 
de 2 años, como primera elección?",H + R y como alternativa administrar sólo H,P + H y como alternativa H + R o sólo H,P + R y como alternativa H + R o sólo H,P + H y como alternativa H + R o sólo P,A
"En los centros de salud, cuando se aplica un conjunto de técnicas y procedimientos que tienen como finalidad 
proteger a las personas y a su descendencia de los efectos nocivos de las radiaciones, nos referimos a ...",atención primaria.,salud radiológica.,salud ocupacional.,protección radiológica.,D
"Es una medida de control dirigida a destruir los agentes infecciosos que se encuentran fuera del organismo, 
mediante la aplicación de medios físicos o químicos. Nos referimos a:",Neutralización,Desinfección,Aspiración de gérmenes,Esterilización,B
"¿Cuál es el indicador que permite determinar y dar a conocer la distribución de las determinantes sociales de la 
salud, la morbimortalidad en territorios o grupos poblacionales de un ámbito geográfico determinado?",Crecimiento de un evento de interés sanitario,Razón de riesgo de evento de interés sanitario,Concentración de un evento de interés sanitario,Diferencia de riesgo de un evento de un interés sanitario,C
"Durante la visita a la comunidad los vecinos indican que un vecino se encuentra solo en su domicilio, el personal 
verifica que se trata de un adulto mayor con signos de desnutrición y descuidado. ¿Qué actitud debe tomar el 
personal de salud?",El personal no tiene responsabilidad en el marco de sus competencias,Buscar a sus familiares para que se hagan cargo del adulto mayor,Invitarlo a ser parte del círculo del adulto mayor que tiene la municipalidad,Cuidado integral e integrado de salud del adulto mayor en la comunidad,D
"Tecnólogo Médico en un establecimiento de salud, durante su jornada laboral realiza la higiene de sus manos 
mediante la fricción de manos con alcohol gel. ¿Cómo se denomina este procedimiento?",Antisepsia de manos,Lavado de mano,Desinfección de manos,Esterilización de manos,A
"¿Cuál es tipo de entrevista clínica, donde el profesional muestra de manera integrada y global los problemas de 
salud del consultante, enmarcándolos en su evolución biográfica ?",Operativa,De cambio,Informativo-deliberativa,Psicopedagógica,D
"¿Cuáles son las medidas de protección radiológica que aplicaría un tecnólogo medico en radiología al atender un 
paciente y poder reducir la dosis de radiación?","Justificación, límite de dosis y optimización","Distancia, tiempo de exposición y blindaje","Distancia, justificación, optimización de dosis","Distancia, tiempo de exposición y justificación",B
"Alberto cría 50 gallinas y 50 patos en su vivienda, acude al centro porque la mitad de sus aves amanecieron muertas 
y muchas tienen ""moquillo"", quiere comprar alguna medicina para tratar a su aves enfermas. ¿A qué tipo de evento 
corresponde el caso y cuál es la conducta a seguir?",Es una zoonosis y debe reportarse al sistema de vigilancia epidemiológica,Es una zoonosis y se debe eliminar a las aves enfermas en coordinación con el municipio,Es una epizootia y debe notificarse al sistema de vigilancia epidemiológica,Es un evento usual y su manejo solo corresponde a SENASA y al municipio,C
Es un  factor de riesgo para el aumento de enfermedades transmisibles posteriores a los desastres:,Cambios de los planes de estudio.,Interrupción de los medios de comunicación.,Interrupción de los servicios básicos de salud.,Colapso de carreteras.,C
"Es el órgano de formación académica del ministerio de salud, encargado de planificar, gestionar y evaluar la 
formación de recursos humanos en salud a nivel nacional, de acuerdo a la política del sector con autonomía 
académica, económica y administrativa.",Escuela nacional de salud publica,Escuela de planificación del personal de salud,Escuela nacional de administración pública,Dirección general del personal de salud,A
"En el establecimiento de salud ""Vida Nueva"" se está haciendo un spot publicitario para promocionar la ventajas del 
parto vertical. ¿Cuál es uno de los criterios de inclusión para este tipo de parto?",Falta de colaboración de la gestante para el trabajo de parto y la atención del mismo(problemas psiquiátricos),Gestante con antecedente de miomectomías,"Gestantes sin complicación obstétrica, incluye adolescentes y mujeres jóvenes",Gestante con distocias de contracción,C
"El uso de las sustancias como agentes de contraste radiológico, que se administran al paciente, sirven para:",Disminuir la borrosidad.,Incrementar las diferencias de densidad.,Disminuir las diferencias de densidad.,Homogenizar la densidad.,B
"En la posta médica acude una paciente que manifiesta haber sufrido una caída sentada y tiene mucho dolor en la 
zona del sacro y coxis. El médico luego de examinar solicita radiografía de sacro y coxis, las angulaciones 
requeridas para tomar las proyecciones A-P axial de estas estructuras son:",Sacro y coxis sin angulación,Sacro 10° cefálico y coxis 15° caudal,Sacro 15° cefálico y coxis 10° caudal,Sacro 12° cefálico y coxis 10° cefálico,C
