questions,option_A,option_B,option_C,option_D,correct_answer
"A un centro de salud, acude un niño de 6 años acompañado de su madre, la cual refiere presentar dificultades para: 
escribir, cortar, atarse los zapatos y se tropieza constantemente. ¿Cuál es el diagnóstico terapéutico?",Dispraxia del desarrollo,Apraxia motora,Praxias motrices,Planificación motriz,A
"Una empresa requiere contratar personal. Según normas vigentes, el 5% de este grupo de contratación deben ser 
personas con discapacidad. ¿Cuál es la entidad que cuenta con una data de personas con discapacidad 
domiciliadas en sus jurisdicciones, precisando las características específicas de su situación, así como la 
localización exacta de su vivienda?",Ministerio de trabajo y promoción del empleo,Junta vecinal,OMAPED,SINAPEDIS,C
"Una madre de familia acude al EESS con su menor de 15 días de nacido, por presentar tos intensa, dolor de 
garganta hace 8 días, se verifica que en su gestación no fue vacunada de Tdap. Se toma muestra por sospecha 
de tos ferina. Después de una semana se confirma caso; en  la visita domiciliaria se observa que su bebé tiene tos 
persistente, asi como el personal que atendió presenta síntomas. ¿A qué corresponde esta situación?",Evento,Emergencia sanitaria,Brote,Desastre,C
"En un establecimiento de salud se está realizando un spot radial en idioma quechua para ser difundida en su radio 
local. Esto es un ejemplo de medio de expresión que garantiza la...",política radial.,diversidad cultural.,responsabilidad étnica.,creatividad.,B
"En un centro integral del adulto mayor, un terapeuta ocupacional trabaja con usuarios de visión reducida, sugiere 
estrategias, y adapta tareas de cuidado personal que ellos realizan satisfactoriamente en el hogar. ¿Qué proceso 
grupal e intervención realiza?",Psicoeducativo,Actividades de la vida diaria,Reminiscencia,Habilidades sociales,B
"En un establecimiento de salud de Yurimaguas se han reunido todos los profesionales de salud y han desarrollado 
su análisis FODA. Dentro de su análisis, la mejora al acceso digital y mayor conectividad en esta zona rural se 
considera una:",Debilidad,Amenaza,Fortaleza,Oportunidad,D
¿Cuál es el propósito de la OPS sobre las Redes Integradas de Salud?,Mejorar los mecanismos activos,Contribuir al desarrollo de los Sistemas de Salud,Facilitar las acciones intersectoriales,Incrementar el énfasis de prevención,B
"Según el modelo de abordaje de promoción de la salud en el Perú. ¿Cuáles son los escenarios donde las personas 
desarrollan sus actividades diarias y el lugar donde se integran los procesos relacionados con las condiciones de 
vida y de salud?","Colegios, centros de salud y agentes comunitarios","Vivienda, institución educativa y municipios","Centro laboral, domicilios y representantes de la comunidad","Centros educativos, agentes comunitarios y trabajo",B
"Las prácticas y entornos saludables contribuyen en la disminución de los trastornos mentales y problemas 
psicosociales. ¿Con qué fin la comunidad representada por las juntas vecinales comunales y agentes comunitarios 
reciben dicha información?",Sensibilizar y capacitar para promover prácticas y entornos saludables,Identificar para la derivación e intervención profesional,Agrupación de casos similares y la intervención de un profesional,Detección y derivación a un centro de atención de mayor nivel,A
"El instrumento de gestión que comprende la programación de actividades operativas e inversiones en todas las 
dependencias del Ministerio con sus respectivas metas físicas y financieras es el:",POI,PESEM,PEI,PDLC,A
