questions,option_A,option_B,option_C,option_D,correct_answer
"Niño de 6 meses acude a su establecimiento de salud, se le detecta 10.6 g/dl de hemoglobina. ¿Cuál es la indicación más 
adecuada para este niño?",Suplementación con hierro o micronutrientes por 6 meses,Aumentar lactancia materna,Tratamiento con hierro polimaltosado por 3 meses,Tratamiento con sulfato ferroso por 6 meses,A
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Cultura,Población indígena,Interculturalidad en salud,Salud pública,C
"Considerando el modelo de cuidado integral de salud, que indica que el estado debe dar las condiciones para que las personas 
vivan en condiciones saludables. ¿A qué enfoque corresponde?",Curso de vida,De género,De derechos,De interculturalidad,C
"Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?",Asegurar el acceso y el uso racional de medicamentos,Desarrollo de recursos humanos para la salud,Acceso equitativo a servicios de salud integrales y de calidad,Financiamiento de la salud eficiente y equitativo,C
"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define 
como:",Fortalezas,Estrategias,Oportunidades,Amenazas,A
"Una prueba de screening que tiene muy baja sensibilidad, tiene mayor probabilidad de clasificar a sujetos enfermos como 
sanos. ¿Qué tipo de resultado es?",Valor predictivo positivo,Falso negativo,Sensibilidad ineficiente,Falso positivo,B
"En una capacitación de residuos solidos en el establecimiento de salud, se le indica al personal administrativo que genera 
papeles, cartón y otros que no tienen contacto con los pacientes. ¿A qué clase de residuos sólidos corresponden?",B3,C1,A3,A2,B
"Niño de 3 años acude al establecimiento de salud, se le diagnostica anemia y usted como parte del equipo 
multidisciplinario realizará la visita domiciliaria. ¿Qué factor de riesgo ambienta para la anemia espera encontrar?",Uso de leña para cocinar,Contaminación sonora,Inadecuado manejo de residuos sólidos,Déficit de saneamiento básico,D
"En pro de la salud y el desarrollo social entre los diferentes actores, en los distintos niveles de gobierno y de la sociedad, lo 
primero que se debe fortalecer son las...",decisiones multisectoriales.,coordinaciones intersectoriales.,capacidades de gestión.,alianzas estratégicas.,D
"En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?",Lista de verificación,Revisión de Turnitin,Matriz de operacionalización,Matriz de consistencia,D
