questions,option_A,option_B,option_C,option_D,correct_answer
"Puérpera atendida en un establecimiento de salud de Jaen, se le realiza control de hemoglobina, obteniéndose el 
valor de 12.3 g/dL. ¿Cuál es el diagnóstico?",Anemia severa,Anemia moderada,Anemia leve,Sin anemia,D
"En los establecimientos de salud categoría I-4 cuenta como mínimo para la atención ambulatoria e internamiento 
con capacidad resolutiva con las UPSS de consulta externa, ....... y farmacia.",central de esterilización,nutrición,patología clínica,hospitalización,C
"Paciente afectado con tuberculosis pulmonar en segunda fase de tratamiento y baciloscopía negativa, acude al 
servicio de odontología por presentar dolor dental, el odontólogo del establecimiento se niega a realizar la atención. 
De acuerdo al Código de Ética y Deontología del COP. ¿Qué deber estaría incumpliendo?","Cumplir con sus labores profesionales, institucionales y administrativas, con responsabilidad y puntualidad","Atender con la misma probidad y diligencia a todos los pacientes, sin ningún tipo de discriminación",Abstenerse de realizar cualquier conducta que perjudique la vida o la salud de los pacientes,Abstenerse de realizar cualquier conducta que perjudique la vida o la salud de los pacientes,B
"Hombre de 32 años de edad, acude a la consulta odontológica para evaluación; refiere que hace una semana 
presentó dolor dental, acudió a la botica del barrio donde le administraron “tres tomas” de amoxicilina de 500 mg y 
naproxeno de 500 mg. Actualmente presenta dolor dental que no calma con analgésicos. Se observa asimetría 
facial en hemicara lado derecho. Al examen bucal se observa absceso a nivel de pieza 4.6. ¿A qué corresponde 
esta situación principalmente?",Diagnósticos microbiológicos de baja calidad,Uso inadecuado de medicamentos,Programa de uso racional de medicamentos,Presencia de microorganismos multirresistentes en el ambiente,B
"La obstetra del P.S. Lupo recibe multigesta de 38 sem de gestación, con evidente hemorragia vaginal, al examen: 
piel fría, signos vitales alterados, la coloca en decúbito lateral izquierdo, la abriga y despeja sus vías aéreas, 
administrándole oxígeno con cánula binasal. ¿Qué tipo de respuesta empleó ante esta emergencia?",Reto de fluidos,Medidas de soporte,Reposición de volumen,Trato interpersonal,B
"El respeto a la pertenencia étnica del usuario y su registro en el formato HIS constituye una garantía y respeto a la 
identidad étnica, garantizado por el personal que registra la atención, sin discriminación por razón de raza u origen, 
respetando la respuesta señalada por el paciente. Este registro sigue un procedimiento y para clasificar a la persona 
se utiliza la lista de:",Lenguas originarias,Afrodescendientes,Pueblos indígenas u originarios,Pueblos no contactados,C
¿Es una de las medidas preventivas más importantes en el manejo de la caries dental?,El uso de pasta dental con fluoruro,Tratamiento restaurador atraumático,Aplicación de sellantes,Profilaxis dental,A
"Adulto mayor acude a evaluación odontológica. Examen: edéntulo total con reabsorción de hueso alveolar del tipo 
IV, bimaxilar, a predominio de sector posterior; refiere similar condición en otros familiares. Esta intensidad de 
reabsorción se asocia a un factor genético que codifica el factor de crecimiento de fibroblastos. ¿Cómo clasifica a 
este factor?",Hereditario,Social,Individual,Estilo de vida,A
"El SERMUS debe visitar a la familia asignada, para mayor información recurre al archivo familiar que se conserva 
en el establecimiento para revisar el avance de los problemas de salud identificados en la visita domiciliaria, al 
revisar observa que los niños de la familia (02) deben recibir su segunda aplicación de flúor barniz, requiere 
programar la cita. ¿Cómo se llama este archivo?",Formato de evolución,Carpeta familiar,Historia individual,Ficha de seguimiento,B
"En la comunidad de “El Descanso” se ha identificado que carecen de servicios básicos como agua y desagüe, no 
tienen carreteras, solo escaleras y hay un incremento de embarazos en adolescentes. En reunión con los dirigentes 
y la autoridad sanitaria para la priorización de los problemas de salud se encontró a la caries dental como la primera 
causa de morbilidad en la consulta externa.  El proceso descrito corresponde a:",Plan de salud local,Análisis de la situación de salud,Salud comunitaria,Participación ciudadana,B
¿En qué tipo de archivo se encuentra la historia clínica de un paciente fallecido en el establecimiento de salud?,Pasivo,Regional,Activo,Temporal,A
"La detección de casos de tuberculosis (TB) empieza identificando sintomáticos respiratorios desde el primer 
contacto en los servicios de salud a los cuales acude la persona. Esta acción busca reducir el riesgo de transmisión 
de la micobacterium tuberculosis al disminuir la exposición del personal de la salud y de las personas que acuden 
al establecimiento de salud. ¿Cuál es la manifestación clínica clave del sintomático respiratorio?",Tos y flema por 15 días o más,Tos y flema por 5 días,Tos menos a 15 días,Flema mayor a 15 días,A
"En la evaluación del avance de las metas físicas del plan operativo institucional del C.S. “El Mirador del Cielo”, se 
observa que las actividades odontológicas básicas preventivas y recuperativas se encuentran con cobertura 
disminuida. En el análisis se concluye que hay falta de insumos para el cumplimiento de las tareas. ¿Qué programa 
presupuestal está relacionado con las actividades de salud bucal?",024. Prevención y Control de Cáncer,0104. Reducción de la mortalidad por emergencias y urgencias medicas,018. No Transmisible,1001. Productos específicos para desarrollo infantil temprano,C
"La nutrición es el conjunto de procesos fisiológicos y bioquímicos que comprenden la digestión, absorción, …… y 
…… de las sustancias nutritivas y no nutritivas presentes en los alimentos.","metabolismo, excreción","asimilación, desintegración","incorporación, eliminación","adhesión, evaporación",A
"Paciente mujer atendida regularmente en el consultorio odontológico, acude por presentar pérdida de pieza 1.1 y 
2.1 por accidente de tránsito. En relación al odontograma. ¿Qué corresponde hacer?",Periodontograma,Registrar en la observación,Continuar con el mismo odontograma,Nuevo odontograma,D
"Se realizó un estudio epidemiológico nacional de salud bucal a escolares de 3-15 años; los resultados obtenidos 
fueron una prevalencia de la enfermedad periodontal en niños de 3 a 9 años del 49.2% y 52.5% en el grupo de 10-
15 años de edad. Comparando con estudios anteriores, se puede afirmar:",La prevalencia incrementó en relación a estudios anteriores,La prevalencia es mayor en el grupo de a 3 a 9 años,Ambas enfermedades presentan igual porcentaje de prevalencia,No se cuenta con datos debido a limitados estudios,D
"Se ha producido un terremoto que ha devastado la localidad, las autoridades deben tomar acciones post desastre 
de manera inmediata, evaluando el riesgo  potencial epidémico, como el incremento o introducción de 
enfermedades transmisibles proporcional al grado de endemicidad. ¿A qué factor corresponde esta descripción?",Cambios en la densidad poblacional,Cambios ecológicos producto del desastre,Cambios de la morbilidad preexistente,Desplazamiento de poblaciones,C
"Niño de 8 años, con discapacidad intelectual asociada con el espectro autista, integrante de una familia asignada 
al cirujano dentista, acude a su evaluación odontológica. Sabiendo que dicha condición tiende a reaccionar 
negativamente frente a agentes externos como ruidos, luces u olores. ¿Cuál es una de las medidas previas a la 
atención estomatológica que se debe adoptar?",Procurar graduar o eliminar estos agentes,Solicitar apoyo del personal para control del niño,Utilizar la camilla de contención,Realizar la referencia inmediat,A
"Joven es atendido en el consultorio odontológico de un establecimiento de salud; luego de recibir el tratamiento, se 
retira a su domicilio. Por curiosidad investiga al profesional que lo atendió y se da con la sorpresa de que se 
encuentra inhabilitado para el ejercicio de la profesión. En el marco de los derechos de las personas usuarias de 
los servicios de salud. ¿Cuál es el derecho que se está vulnerando?",Al consentimiento informado,Al acceso a servicios de salud,Al acceso de información,A ser atendido por personal de salud autorizado,D
"Adulto joven, acude a consulta odontológica por dificultad al masticar hace 5 días, dolor en zona retromolar 
izquierda. Examen: pieza 38 parcialmente erupcionado, tejido gingival adyacente inflamada y edematosa, y con la 
presión puede drenar un contenido seropurulento. Dx. pericoronaritis. ¿Cuál es el tratamiento antibiótico 
recomendado?",Amoxicilina-ácido clavulánico en dosis de 2 g + 125 mg/12 h por vía oral durante 15 días,Amoxicilina-ácido clavulánico en dosis de 2 g + 125 mg/12 h por vía oral durante 5 días,Amoxicilina-ácido clavulánico en dosis de 1 g + 62.5 mg/12 h por vía oral durante 5 días,Amoxicilina-ácido clavulánico en dosis de 2 g + 125 mg/12 h por vía oral durante 7 días,D
"Este tipo de prevención puede lograrse con la promoción de la salud y con la protección específica, el cual se logra 
con medidas educativas, económicas y sociales, por lo tanto, no está desvinculada de los diferentes sectores de la 
economía y de la realidad sociocultural de una comunidad en particular. ¿A qué nivel de prevención hace referencia 
el enunciado?",Terciaria,Secundaria,Primaria,Cuaternaria,C
