questions,option_A,option_B,option_C,option_D,correct_answer
"El equipo multidisciplinario en salud va a realizar una campaña de salud integral en una comunidad indígena; a la 
hora del almuerzo, la psicóloga recibe el alimento preparado por la población, más no lo ingiere haciendo gestos 
de disgusto de la comida recibida. A partir de la fecha, la población ya no desea que vaya la psicóloga a atenderlos, 
mucho menos dejarse atender por ella en el establecimiento de salud. Esta situación forma parte de una …… de 
la comunicación.",estrategia,barrera,habilidad,forma,B
"¿Cuál es el documento médico legal, que registra en forma unificada, personal, multimedia, refrendada con la firma 
digital del médico u otros profesionales de la salud, cuyo tratamiento (registro, almacenamiento, actualización, 
acceso y uso) se realiza en estrictas condiciones de seguridad, integralidad, autenticidad, confidencialidad, 
exactitud, inteligibilidad, conservación y disponibilidad a través de un sistema de información?",Historia clínica electrónica,Ficha familiar informatizada,Historia clínica informatizada,Ficha electrónica de atención,A
"Personal de salud acude a reunirse con el concejo municipal a fin de sustentar la importancia de contar con una 
ordenanza municipal, para la mejora de los quioscos que venden comidas chatarras en las instituciones educativas, 
a fin de ofrecer alimentos saludables. Finalmente, después de un debate, el concejo municipal aprobó dicha 
ordenanza, debiendo ser aplicado al día siguiente de su publicación. ¿Cómo se llama esta estrategia de promoción 
de la salud?",Abogacía y políticas públicas,Empoderamiento local,Participación ciudadana,Comunicación y educación para la salud,A
"Cuando los servicios de salud llegan a la población, previo diálogo entre los prestadores y usuarios, para acordar 
las características de los servicios de acuerdo a los parámetros culturales, se denomina:",Diálogo comunal,Pertinencia intercultural,Diálogo social,Participación social,B
"El Seguro Integral de Salud garantiza como mínimo el 70% de su presupuesto destinado al Ministerio de Salud y 
a las unidades ejecutoras de los gobiernos regionales para los componentes de reposición, siendo indispensable 
la compra de los insumos, productos farmacéuticos y sanitarios esenciales para los asegurados a nivel nacional. 
¿A qué función esencial de salud pública (FESP) renovada pertenece dicha acción?",Financiamiento de la salud eficiente y equitativo,Asegurar el acceso y el uso racional de medicamentos y otras tecnologías,Gestión y promoción de las intervenciones sobre los determinantes sociales de la salud,Acceso equitativo a intervenciones que buscan promover la salud,B
"En el sector salud para el cuidado integral de salud en el curso de vida, se enfoca en las determinantes sociales 
que comprenden: determinantes intermedios y...",complejos.,ambientales.,estructurales.,sectoriales.,C
"Durante la atención psicológica a niño de 5 años, se observa poco participativo, se apoya en el escritorio, bosteza, 
presenta talla baja y contextura delgada, pálido; se observa la historia clínica y registra bajo peso. Se procede a 
derivar para cumplir con el...",taller de habilidades sociales.,programa de alimentación.,cuidado integral del niño.,taller de autoestima.,C
"En la gestión de calidad, la auditoría …… lo realiza el propio establecimiento, mientras cuando lo hace una instancia 
superior, sea otra IPRESS o comité especial, se denomina auditoría…",externa / dirimente.,propia / general.,simple / especializada.,interna / externa.,D
"¿Cuáles son las pruebas rápidas de elección para el tamizaje en los servicios de atención prenatal, salas de parto, 
emergencias obstétricas y puerperio?",ELISA,Pruebas rápidas (PR),Inmunoensayo en línea,Pruebas rápidas duales (PRD),D
"Este tipo de prevención puede lograrse con la promoción de la salud y con la protección específica, el cual se logra 
con medidas educativas, económicas y sociales, por lo tanto, no está desvinculada de los diferentes sectores de la 
economía y de la realidad sociocultural de una comunidad en particular. ¿A qué nivel de prevención hace referencia 
el enunciado?",Secundaria,Terciaria,Primaria,Cuaternaria,C
"Es la capacidad de mantener a la organización productiva, eficiente y eficaz, a partir del uso adecuado de su recurso 
humano, cuyo objetivo son las personas y sus relaciones en la organización creando un clima favorable de trabajo, 
desarrollando  las habilidades y capacidad de los trabajadores, permitiendo el desarrollo individual y organizacional 
sostenido. ¿A qué corresponde este enunciado?",Gestión,Evaluación,Administración,Planeación,A
"En muchos casos este mundo puede y tiene caminos de diálogo con la ciencia moderna, como en la implementación 
de servicios de salud con pertinencia intercultural para la atención del parto los cuales incorporan, por ejemplo, el 
…… o el uso de plantas medicinales.",internamiento,parto vertical,parto convencional,aborto,B
"El terremoto de Rusia de 8.2, generó una alerta de tsunami en todo el litoral peruano; ante ello, las autoridades 
tomaron medidas preventivas de alerta. ¿Qué tipo de amenaza es dicho suceso?",Mixto,Híbrido,Antropogénico,Natural,D
"Mujer de 15 años llega a consulta mostrando síntomas de bajo peso, delgadez evidente, dificultad para comer, 
amenorrea y pensamientos recurrentes sobre su imagen corporal. ¿Cuáles son los pasos a seguir frente a este 
caso?",Entrevistar - observar - evaluar,Observar - entrevistar - diagnosticar,Aplicar pruebas - interpretar - informar,Evaluar - observar - entrevistar,A
"¿Cómo se denomina a la ausencia, prevención o minimización del daño producido en el proceso de la atención 
sanitaria?",Calidad de atención,Seguridad del paciente,Accesibilidad a los servicios,Adecuación de los sistemas,B
"El proceso que permite describir y analizar la situación con respecto al estado de salud y sus determinantes sociales 
en una población de un espacio geográfico claramente definido, con el fin de identificar necesidades y establecer 
prioridades en salud. Corresponde al:",Análisis situacional,Control epidemiológico,Enfoque transversal,Modelo comunitario,A
"Varón de 30 años, preocupado, ansioso, pide una atención por obstetricia manifestando haber visitado un prostíbulo 
la semana anterior; cree haberse picado el preservativo y haber contraído el VIH. El personal de salud se acerca, 
inmediatamente le aplica la prueba rápida, siendo el resultado negativo; le da el resultado y recomienda tener mayor 
cuidado y asegurarse del uso correcto del preservativo, así como el tener pareja estable. Según normativa. ¿Qué 
paso de la consejería obvió?",Salud mental,Postest,Reducción de riesgos,Pretest,D
"El equipo de psicología del EE.SS. realiza campaña de salud mental en las instituciones educativas de la comunidad 
de su jurisdicción. ¿Qué actividad de prioridad en salud pública está realizando?",Defensa de la salud,Restauración de la salud,Promoción de la salud,Cuidado de la salud,C
"En el establecimiento de salud, el psicólogo toma conocimiento del riesgo de un brote; de acuerdo al flujograma de 
notificación de riesgo. ¿A quién informa para que se realice la notificación correspondiente?",Secretaria del establecimiento,Personal de admisión,Al responsable de vigilancia epidemiológica,Jefe de guardia del establecimiento,C
"¿Cuál es el nivel de prevención que tiene como objetivo evitar la ocurrencia de los factores de riesgo o 
determinantes en una población?",Cuaternaria,Terciaria,Secundaria,Primaria,D
"En el establecimiento de salud, como parte del equipo de protección personal para la consulta externa en psicología 
que tiene contacto directo con los pacientes por la entrevista cara a cara es importante el uso de:",Protector respiratorio según el riesgo,Protección ocular,Guantes quirúrgicos,Protección de calzado,A
"Varón de 38 años viene acompañado por su hermano para pasar atención en establecimiento de salud, solicitando 
referencia para iniciar tratamiento en salud mental por una presunta psicosis. Personal de salud verifica que 
paciente se encuentra en malas condiciones de aseo y vestimenta, negándose a atenderlo hasta que regrese mejor 
vestido y aseado. ¿Qué derecho se le está negando?",Recibir la medicación correspondiente,Recibir información sobre los servicios,Otorgar su consentimiento informado,A no ser discriminado o estigmatizado,D
"Ante tantos casos de cáncer de cuello uterino, mama, colon, próstata, estómago, linfoma y leucemias se ha 
implementado el …… que incluye las políticas públicas sobre aseguramiento universal de salud, descentralización, 
fortalecimiento del primer nivel de atención y la reforma de salud.",Club de paliativos,Juntos por el cáncer,Plan esperanza,Club oncológico,C
"La investigación …… hace uso de test estandarizados con buena validez y confiabilidad, así como contrasta sus 
hipótesis.",cuantitativa,mixta,cualitativa,correlacional,A
"Una de las actividades de la vigilancia en salud ocupacional es implementar la ...... y …… del factor de riesgo, que 
incluyan actividades de educación.",estrategia - eliminación,identificación - ejecución,Intervención – eje,promoción - prevención,D
"El código de ética de la función pública prescribe ocho principios: respeto, probidad, eficiencia, idoneidad, ……, 
lealtad y obediencia, justicia y equidad, así como lealtad al estado de derecho.",compromiso,puntualidad,progreso,veracidad,D
"La …… tiene un papel importante en la difusión de conocimientos, modificaciones o reforzamientos de conductas, 
normas sociales y valores que contribuyen al mejoramiento de la calidad de vida.",Gestión en salud,Vigilancia epidemiológica,Planificación en salud,Comunicación en salud,D
"Está centrado en las personas, familias y comunidades, actúa con la participación protagónica y efectiva de éstas, 
desde la planificación hasta la evaluación de los procesos implementados para la promoción y protección de la 
salud mental y para los cuidados de la salud de las personas, familias y colectividades con problemas psicosociales 
y/o trastornos mentales en cada territorio. ¿A qué modelo corresponde?",Atención integral de salud,Hogares protegidos,Salud mental comunitario,Plan esperanza,C
"El equipo multidisciplinario del establecimiento de salud, acuerda efectuar actividades relacionadas con: 
alimentación y nutrición saludable; higiene y ambiente; actividad física; salud mental; salud sexual y reproductiva. 
Este acuerdo implica que se están abordando los…",escenarios.,programas de intervención.,ejes temáticos.,enfoques transversales.,C
"En la atención psicológica a mujer de 30 años, el ambiente del consultorio de psicología es compartido por dos 
profesionales, separado por un biombo. ¿Qué aspecto de la entrevista no se cumple?",Uso del espacio físico,Control en la atención,Manejo del tiempo,Duración de la entrevista,A
"Se tiene que impartir una terapia de familia a un niño que ha presentado miedos nocturnos por sus pensamientos 
de muerte; su padre está laborando en la mina y para lograr su participación. ¿Qué eje de la telesalud se debe 
brindar para la atención?",Telegestión,Telemonitoreo,Teleconsulta,Teleinterconsulta,C
"Al psicólogo se le solicita trabajar el clima organizacional del establecimiento de salud. La adecuación de la 
encuesta, así como la preparación técnica de la medición del clima organizacional, forman parte de la fase de…",evaluación.,seguimiento.,planificación.,intervención.,C
